セクション,項目,福特烈马 2026款 2.3T 远湾,福特烈马 2026款 2.3T 墨钻,福特烈马 2026款 2.3T 墨钻大脚越野版,福特烈马 2026款 2.3T 长滩,福特烈马 2026款 2.3T 长滩大脚越野版,福特烈马 2026款 2.3T 荒地,福特烈马 2025款 2.3T 1966标准版,福特烈马 2025款 2.3T 1966大脚版,福特烈马 2025款 2.3T 大沙丘限量定制版,福特烈马 2024款 2.3T 远湾,福特烈马 2024款 2.3T 墨钻,福特烈马 2024款 2.3T 墨钻大脚越野版,福特烈马 2024款 2.3T 长滩,福特烈马 2024款 2.3T 长滩大脚越野版,福特烈马 2024款 2.3T 荒地
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
互联/智能化,语音助手唤醒词,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特
互联/智能化,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
互联/智能化,语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,可见即可说,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,车载智能系统,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+
互联/智能化,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
互联/智能化,车机系统内存(GB),● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16
互联/智能化,车机系统存储(GB),● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256
互联/智能化,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车辆启动
● 空调控制","● 车辆启动
● 空调控制","● 车辆启动
● 空调控制","● 车辆启动
● 空调控制","● 车辆启动
● 空调控制","● 车辆启动
● 空调控制","● 车辆启动
● 空调控制","● 车辆启动
● 空调控制","● 车辆启动
● 空调控制","● 车辆启动
● 空调控制","● 车辆启动
● 空调控制","● 车辆启动
● 空调控制","● 车辆启动
● 空调控制","● 车辆启动
● 空调控制","● 车辆启动
● 空调控制"
互联/智能化,车载KTV,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,●,●,●,●,●,●,-,-,-,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个
车内充电,220V/230V电源,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,● 前排,● 前排,● 前排
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,"● 真皮
● 仿皮","● 真皮
● 仿皮","● 真皮
● 仿皮","● 真皮
● 仿皮","● 真皮
● 仿皮",● 皮/翻毛材质混搭,● 仿皮,● 仿皮,● 仿皮,"● 真皮
● 仿皮","● 真皮
● 仿皮","● 真皮
● 仿皮"
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,● Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen,-,-,-,● Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 6喇叭,● 10喇叭,● 10喇叭,● 10喇叭,● 10喇叭,● 10喇叭,● 10喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 10喇叭,● 10喇叭,● 10喇叭
音响/车内灯光,车内环境氛围灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,越野包1,-,○ 选配 (7000元),○ 选配 (7000元),-,-,-,-,-,-,-,○ 选配 (7000元),○ 选配 (7000元),-,-,-
选装包,越野包2,-,-,-,○ 选配 (8000元),○ 选配 (8000元),-,○ 选配 (8000元),○ 选配 (8000元),-,-,-,-,○ 选配 (8000元),○ 选配 (8000元),-
