セクション,項目,星海S7 2026款 565轻享版,星海S7 2026款 565悦享版,星海S7 2026款 565 星享版,星海S7 2026款 565 共创版,星海S7 2026款 565 星创版,星海S7 2026款 650超快充奢享版,星海S7 2026款 650超快充至尊版,星海S7 2025款 235增程 悦享版,星海S7 2025款 235增程 奢享版,星海S7 2025款 235增程 行政版,星海S7 2025款 235增程 尊贵版,星海S7 2025款 235增程 尊誉版,星海S7 2025款 555星创版,星海S7 2025款 565 星创版,星海S7 2024款 555行政版,星海S7 2024款 650行政版,星海S7 2024款 555悦享版,星海S7 2024款 555奢享版,星海S7 2024款 650至尊版
基本参数,长*宽*高(mm),4935*1915*1510,4935*1915*1510,4935*1915*1510,4935*1915*1510,4935*1915*1510,4935*1915*1510,4935*1915*1510,4935*1915*1495,4935*1915*1495,4935*1915*1495,4935*1915*1495,4935*1915*1495,4935*1915*1495,4935*1915*1510,4935*1915*1495,4935*1915*1495,4935*1915*1495,4935*1915*1495,4935*1915*1495
基本参数,官方0-100km/h加速(s),6.7,6.7,6.7,6.7,6.7,5.9,5.9,7.2,7.2,7.2,7.2,7.2,6.67,6.67,6.67,5.9,6.67,6.67,5.9
基本参数,最高车速(km/h),165,165,165,165,165,190,190,165,165,165,165,165,165,165,165,165,165,165,165
基本参数,电能当量燃料消耗量(L/100km),1.38,1.38,1.38,1.38,1.38,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.44,1.35,1.35,1.44
基本参数,整车质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或12万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
基本参数,整备质量(kg),1730,1730,1730,1730,1730,1850,1850,1810,1810,1810,1810,1810,1730,1730,1730,1835,1730,1730,1835
基本参数,最大满载质量(kg),2105,2105,2105,2105,2105,2225,2225,2185,2185,2185,2185,2185,2105,2105,2105,2210,2105,2105,2210
车身,长度(mm),4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935
车身,宽度(mm),1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915
车身,高度(mm),1510,1510,1510,1510,1510,1510,1510,1495,1495,1495,1495,1495,1495,1510,1495,1495,1495,1495,1495
车身,轴距(mm),2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915
车身,前轮距(mm),1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640
车身,后轮距(mm),1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650
车身,接近角(°),15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14
车身,离去角(°),16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
车身,最小转弯半径(m),5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45
车身,车身结构,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),-,-,-,-,-,-,-,45,45,45,45,45,-,-,-,-,-,-,-
车身,后备厢容积(L),541-1303,541-1303,541-1303,541-1303,541-1303,541-1303,541-1303,496-1293,496-1293,496-1293,496-1293,496-1293,541-1303,541-1303,541-1303,541-1303,541-1303,541-1303,541-1303
车身,风阻系数(Cd),0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191
发动机,发动机型号,-,-,-,-,-,-,-,DFMC15DE,DFMC15DE,DFMC15DE,DFMC15DE,DFMC15DE,-,-,-,-,-,-,-
发动机,排量(mL),-,-,-,-,-,-,-,1497,1497,1497,1497,1497,-,-,-,-,-,-,-
发动机,排量(L),-,-,-,-,-,-,-,1.5,1.5,1.5,1.5,1.5,-,-,-,-,-,-,-
发动机,进气形式,-,-,-,-,-,-,-,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,-,-,-,-,-,-,-
发动机,发动机布局,-,-,-,-,-,-,-,横置,横置,横置,横置,横置,-,-,-,-,-,-,-
发动机,气缸排列形式,-,-,-,-,-,-,-,L,L,L,L,L,-,-,-,-,-,-,-
发动机,气缸数(个),-,-,-,-,-,-,-,4,4,4,4,4,-,-,-,-,-,-,-
发动机,每缸气门数(个),-,-,-,-,-,-,-,4,4,4,4,4,-,-,-,-,-,-,-
发动机,配气机构,-,-,-,-,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-,-
发动机,最大马力(Ps),-,-,-,-,-,-,-,105,105,105,105,105,-,-,-,-,-,-,-
发动机,最大功率(kW),-,-,-,-,-,-,-,77,77,77,77,77,-,-,-,-,-,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,5500,5500,5500,5500,5500,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-,137,137,137,137,137,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),-,-,-,-,-,-,-,74,74,74,74,74,-,-,-,-,-,-,-
发动机,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
发动机,燃油标号,-,-,-,-,-,-,-,92号,92号,92号,92号,92号,-,-,-,-,-,-,-
发动机,供油方式,-,-,-,-,-,-,-,直喷,直喷,直喷,直喷,直喷,-,-,-,-,-,-,-
发动机,缸盖材料,-,-,-,-,-,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-
发动机,缸体材料,-,-,-,-,-,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-
发动机,环保标准,-,-,-,-,-,-,-,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,-,-
电动机,后电动机品牌,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技
电动机,后电动机型号,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ225XYH01,TZ225XYH01,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F1,TZ200XS3F0,TZ200XS3F0,TZ200XS3F1
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),160,160,160,160,160,230,230,160,160,160,160,160,160,160,160,200,160,160,200
电动机,电动机总马力(Ps),218,218,218,218,218,313,313,218,218,218,218,218,218,218,218,272,218,218,272
电动机,电动机总扭矩(N·m),310,310,310,310,310,395,395,310,310,310,310,310,310,310,310,320,310,310,320
电动机,后电动机最大功率(kW),160,160,160,160,160,230,230,160,160,160,160,160,160,160,160,200,160,160,200
电动机,后电动机最大扭矩(N·m),310,310,310,310,310,395,395,310,310,310,310,310,310,310,310,320,310,310,320
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机,三电系统质保,-,-,-,-,● 五年或50万公里,-,-,-,-,-,-,-,● 五年或50万公里,● 五年或50万公里,-,-,-,-,-
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟,● 欣旺达,● 欣旺达,● 中创新航,● 中创新航,● 中创新航,● 中创新航,● 中创新航,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),565,565,565,565,565,650,650,235,235,235,235,235,555,565,555,650,555,555,650
电池/充电,电池能量(kWh),59.4,59.4,59.4,59.4,59.4,68.2,68.2,28.4,28.4,28.4,28.4,28.4,56.8,59.4,56.8,70.26,56.8,56.8,70.26
电池/充电,百公里耗电量(kWh/100km),11.9,11.9,11.9,11.9,11.9,11.6,11.6,12.3,12.3,12.3,12.3,12.3,11.9,11.9,11.9,12.4,11.9,11.9,12.4
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,高压快充,-,-,-,-,-,支持,支持,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,高压平台（V）,-,-,-,-,-,800,800,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5,0.24,0.24,0.5,0.5,0.5,0.5,0.5,0.43,0.47,0.43,0.43,0.43,0.43,0.43
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,6,6,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/50 R18,● 235/45 R19,● 235/50 R18,● 235/45 R19,"● 235/50 R18
○ 235/45 R19",● 235/45 R19,● 235/45 R19,"● 235/50 R18
○ 235/45 R19","● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20","● 235/50 R18
○ 235/45 R19","● 235/50 R18
○ 235/45 R19","● 235/45 R19
○ 235/40 R20",● 235/45 R19,"● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20"
车轮制动,后轮胎规格,● 235/50 R18,● 235/45 R19,● 235/50 R18,● 235/45 R19,"● 235/50 R18
○ 235/45 R19",● 235/45 R19,● 235/45 R19,"● 235/50 R18
○ 235/45 R19","● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20","● 235/50 R18
○ 235/45 R19","● 235/50 R18
○ 235/45 R19","● 235/45 R19
○ 235/40 R20",● 235/45 R19,"● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20"
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ○ /后-,前 ● /后-,前 ○ /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,前 ● /后 ●,前 ● /后 ●,-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压显示,● 胎压报警,● 胎压显示,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,○,●,○,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,○,●,○,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,●,-,-,-,-,-,-,-,●,●,-,●,●
主动安全,DOW开门预警,-,-,-,-,-,-,●,-,-,-,-,-,-,-,●,●,-,●,●
主动安全,前方碰撞预警,○,●,○,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,-,-,-,-,-,-,●,-,-,-,-,-,-,-,●,●,-,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,-,●,-,●,-,●,●,-,-,-,-,○,-,-,●,●,-,●,●
主动安全,道路救援呼叫,●,●,●,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●
主动安全,防侧翻系统,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,○ 悬架软硬调节,○ 悬架软硬调节,● 悬架软硬调节,○ 悬架软硬调节,○ 悬架软硬调节,○ 悬架软硬调节,○ 悬架软硬调节,○ 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,○ 悬架软硬调节,○ 悬架软硬调节,-,● 悬架软硬调节,-,-,● 悬架软硬调节
驾驶硬件,前/后驻车雷达,-,前-/后 ●,-,前-/后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,○ 单目,● 单目,○ 单目,● 单目,● 单目,● 单目,● 单目,-,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,"● 1个
○ 2个",● 5个,"● 1个
○ 2个",● 5个,● 2个,● 5个,● 5个,● 4个,● 5个,● 5个,● 5个,● 5个,● 2个,● 2个,● 6个,● 5个,● 5个,● 5个,● 5个
驾驶硬件,前方感知摄像头像素,○ 170万,● 170万,○ 170万,● 170万,● 170万,● 170万,● 170万,-,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万
