セクション,セクション_ja,項目,項目_ja,2026年モデル 565 ライトエディション,2026年モデル 565 プレミアムエディション,2026年モデル 565 スターエディション,2026年モデル 565 コラボレーションエディション,2026年モデル 565 スタークリエイトエディション,2026年モデル 650 超急速充電 ラグジュアリーエディション,2026年モデル 650 超急速充電 プレミアムエディション,2025年モデル 235 増程 プレミアムエディション,2025年モデル 235 増程 ラグジュアリーエディション,2025年モデル 235 増程 エグゼクティブエディション,2025年モデル 235 増程 プレミアムグレード,2025年モデル 235 増程 プレミアムプレステージエディション,2025年モデル 555 スタークリエイトエディション,2025年モデル 565 スタークリエイトエディション,2024年モデル 555 エグゼクティブエディション,2024年モデル 650 エグゼクティブエディション,2024年モデル 555 プレミアムエディション,2024年モデル 555 ラグジュアリーエディション,2024年モデル 650 プレミアムエディション
基本参数,基本仕様,最大功率(kW),最大出力(kW),160,160,160,160,160,230,230,160,160,160,160,160,160,160,160,200,160,160,200
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),310,310,310,310,310,395,395,310,310,310,310,310,310,310,310,320,310,310,320
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,发动机,エンジン,-,-,-,-,-,-,-,レンジエクステンダー 105馬力,レンジエクステンダー 105馬力,レンジエクステンダー 105馬力,レンジエクステンダー 105馬力,レンジエクステンダー 105馬力,-,-,-,-,-,-,-
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),218,218,218,218,218,313,313,218,218,218,218,218,218,218,218,272,218,218,272
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4935×1915×1510,4935×1915×1510,4935×1915×1510,4935×1915×1510,4935×1915×1510,4935×1915×1510,4935×1915×1510,4935×1915×1495,4935×1915×1495,4935×1915×1495,4935×1915×1495,4935×1915×1495,4935×1915×1495,4935×1915×1510,4935×1915×1495,4935×1915×1495,4935×1915×1495,4935×1915×1495,4935×1915×1495
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),6.7,6.7,6.7,6.7,6.7,5.9,5.9,7.2,7.2,7.2,7.2,7.2,6.67,6.67,6.67,5.9,6.67,6.67,5.9
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),165,165,165,165,165,190,190,165,165,165,165,165,165,165,165,165,165,165,165
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.38,1.38,1.38,1.38,1.38,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.44,1.35,1.35,1.44
基本参数,基本仕様,整车质保,車両保証,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または12万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1730,1730,1730,1730,1730,1850,1850,1810,1810,1810,1810,1810,1730,1730,1730,1835,1730,1730,1835
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2105,2105,2105,2105,2105,2225,2225,2185,2185,2185,2185,2185,2105,2105,2105,2210,2105,2105,2210
车身,車体,长度(mm),全長(mm),4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935
车身,車体,宽度(mm),全幅(mm),1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915,1915
车身,車体,高度(mm),全高(mm),1510,1510,1510,1510,1510,1510,1510,1495,1495,1495,1495,1495,1495,1510,1495,1495,1495,1495,1495
车身,車体,轴距(mm),ホイールベース(mm),2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915
车身,車体,前轮距(mm),前トレッド(mm),1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640
车身,車体,后轮距(mm),後トレッド(mm),1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650
车身,車体,接近角(°),アプローチアングル(°),15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
车身,車体,最小转弯半径(m),最小回転半径(m),5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),-,-,-,-,-,-,-,45,45,45,45,45,-,-,-,-,-,-,-
车身,車体,后备厢容积(L),トランク容量(L),541-1303,541-1303,541-1303,541-1303,541-1303,541-1303,541-1303,496-1293,496-1293,496-1293,496-1293,496-1293,541-1303,541-1303,541-1303,541-1303,541-1303,541-1303,541-1303
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191
发动机,エンジン,发动机型号,エンジン型式,-,-,-,-,-,-,-,DFMC15DE,DFMC15DE,DFMC15DE,DFMC15DE,DFMC15DE,-,-,-,-,-,-,-
发动机,エンジン,排量(mL),排気量(mL),-,-,-,-,-,-,-,1497,1497,1497,1497,1497,-,-,-,-,-,-,-
发动机,エンジン,排量(L),排気量(L),-,-,-,-,-,-,-,1.5,1.5,1.5,1.5,1.5,-,-,-,-,-,-,-
发动机,エンジン,进气形式,過給形式,-,-,-,-,-,-,-,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,-,-,-,-,-,-,-
发动机,エンジン,发动机布局,エンジン配置,-,-,-,-,-,-,-,横置き,横置き,横置き,横置き,横置き,-,-,-,-,-,-,-
发动机,エンジン,气缸排列形式,シリンダー配列,-,-,-,-,-,-,-,L,L,L,L,L,-,-,-,-,-,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),-,-,-,-,-,-,-,4,4,4,4,4,-,-,-,-,-,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),-,-,-,-,-,-,-,4,4,4,4,4,-,-,-,-,-,-,-
发动机,エンジン,配气机构,バルブ機構,-,-,-,-,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),-,-,-,-,-,-,-,105,105,105,105,105,-,-,-,-,-,-,-
发动机,エンジン,最大功率(kW),最大出力(kW),-,-,-,-,-,-,-,77,77,77,77,77,-,-,-,-,-,-,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,5500,5500,5500,5500,5500,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,137,137,137,137,137,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大正味出力(kW),-,-,-,-,-,-,-,74,74,74,74,74,-,-,-,-,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動,純電動,純電動
发动机,エンジン,燃油标号,燃料オクタン価,-,-,-,-,-,-,-,92号,92号,92号,92号,92号,-,-,-,-,-,-,-
发动机,エンジン,供油方式,燃料供給方式,-,-,-,-,-,-,-,直噴,直噴,直噴,直噴,直噴,-,-,-,-,-,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,-,-,-,-,-,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,-,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,-,-,-,-,-,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,-,-,-
发动机,エンジン,环保标准,環境基準,-,-,-,-,-,-,-,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,-,-
电动机,モーター,后电动机品牌,後モーターブランド,智新テクノロジー,智新テクノロジー,智新テクノロジー,智新テクノロジー,智新テクノロジー,智新テクノロジー,智新テクノロジー,智新テクノロジー,智新テクノロジー,智新テクノロジー,智新テクノロジー,智新テクノロジー,智新テクノロジー,智新テクノロジー,智新テクノロジー,智新テクノロジー,智新テクノロジー,智新テクノロジー,智新テクノロジー
电动机,モーター,后电动机型号,後モーター型式,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ225XYH01,TZ225XYH01,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F1,TZ200XS3F0,TZ200XS3F0,TZ200XS3F1
电动机,モーター,电机类型,モーター種類,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),160,160,160,160,160,230,230,160,160,160,160,160,160,160,160,200,160,160,200
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),218,218,218,218,218,313,313,218,218,218,218,218,218,218,218,272,218,218,272
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),310,310,310,310,310,395,395,310,310,310,310,310,310,310,310,320,310,310,320
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),160,160,160,160,160,230,230,160,160,160,160,160,160,160,160,200,160,160,200
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),310,310,310,310,310,395,395,310,310,310,310,310,310,310,310,320,310,310,320
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,後置き,後置き,後置き,後置き,後置き,後置き,後置き,後置き,後置き,後置き,後置き,後置き,後置き,後置き,後置き,後置き,後置き,後置き,後置き
电动机,モーター,三电系统质保,三電システム保証,-,-,-,-,● 5年または50万km,-,-,-,-,-,-,-,● 5年または50万km,● 5年または50万km,-,-,-,-,-
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）,-,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）,-,-,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 東昱欣晟,● 東昱欣晟,● 東昱欣晟,● 東昱欣晟,● 東昱欣晟,● 欣旺達,● 欣旺達,● 中創新航,● 中創新航,● 中創新航,● 中創新航,● 中創新航,● 東昱欣晟,● 東昱欣晟,● 東昱欣晟,● 東昱欣晟,● 東昱欣晟,● 東昱欣晟,● 東昱欣晟
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),565,565,565,565,565,650,650,235,235,235,235,235,555,565,555,650,555,555,650
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),59.4,59.4,59.4,59.4,59.4,68.2,68.2,28.4,28.4,28.4,28.4,28.4,56.8,59.4,56.8,70.26,56.8,56.8,70.26
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),11.9,11.9,11.9,11.9,11.9,11.6,11.6,12.3,12.3,12.3,12.3,12.3,11.9,11.9,11.9,12.4,11.9,11.9,12.4
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压快充,高圧急速充電,-,-,-,-,-,対応,対応,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム（V）,-,-,-,-,-,800,800,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5,0.5,0.24,0.24,0.5,0.5,0.5,0.5,0.5,0.43,0.47,0.43,0.43,0.43,0.43,0.43
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車左後側,車左後側,車左後側,車左後側,車左後側,車左後側,車左後側,車右後側,車右後側,車右後側,車右後側,車右後側,車左後側,車左後側,車左後側,車左後側,車左後側,車左後側,車左後側
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車左後側,車左後側,車左後側,車左後側,車左後側,車左後側,車左後側,車右後側,車右後側,車右後側,車右後側,車右後側,車左後側,車左後側,車左後側,車左後側,車左後側,車左後側,車左後側
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,3.3,3.3,3.3,6,6,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定歯比変速機,固定歯比変速機,固定歯比変速機,固定歯比変速機,固定歯比変速機,固定歯比変速機,固定歯比変速機,固定歯比変速機,固定歯比変速機,固定歯比変速機,固定歯比変速機,固定歯比変速機,固定歯比変速機,固定歯比変速機,固定歯比変速機,固定歯比変速機,固定歯比変速機,固定歯比変速機,固定歯比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,キャリー式,キャリー式,キャリー式,キャリー式,キャリー式,キャリー式,キャリー式,キャリー式,キャリー式,キャリー式,キャリー式,キャリー式,キャリー式,キャリー式,キャリー式,キャリー式,キャリー式,キャリー式,キャリー式
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/50 R18,● 235/45 R19,● 235/50 R18,● 235/45 R19,"● 235/50 R18
○ 235/45 R19",● 235/45 R19,● 235/45 R19,"● 235/50 R18
○ 235/45 R19","● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20","● 235/50 R18
○ 235/45 R19","● 235/50 R18
○ 235/45 R19","● 235/45 R19
○ 235/40 R20",● 235/45 R19,"● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20"
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/50 R18,● 235/45 R19,● 235/50 R18,● 235/45 R19,"● 235/50 R18
○ 235/45 R19",● 235/45 R19,● 235/45 R19,"● 235/50 R18
○ 235/45 R19","● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20","● 235/50 R18
○ 235/45 R19","● 235/50 R18
○ 235/45 R19","● 235/45 R19
○ 235/40 R20",● 235/45 R19,"● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20","● 235/45 R19
○ 235/40 R20"
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
