セクション,項目,212 T01 2026款 2.0T 柴油版 长风,212 T01 2026款 2.0T 高地,212 T01 2026款 2.0T 机械师,212 T01 2026款 2.0T 检阅官,212 T01 2026款 2.0T 长风,212 T01 2026款 改款 2.0T 高地,212 T01 2026款 2.0T METTA,212 T01 2026款 2.0T METTA 巴丹吉林,212 T01 2025款 2.0T 柴油版,212 T01 2025款 2.0T 长风,212 T01 2025款 2.0T 检阅官,212 T01 2024款 2.0T 机械师,212 T01 2024款 2.0T 探险家
基本参数,长*宽*高(mm),4749*1945*1999,4811*1945*1999,4705*1895*1936,4705*1895*1936,4749*1945*1999,4811*1945*1999,4740*1945*1936,4740*1945*1991,4705*1895*1936,4749*1945*1999,4705*1895*1936,4705*1895*1936,4705*1895*1936
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),155,170,170,170,170,170,170,170,160,170,170,170,170
基本参数,WLTC综合油耗(L/100km),8.9,11.3,10.9,10.9,11.3,11.3,10.9,11.3,8.5,11.3,10.9,10.9,10.9
基本参数,整车质保,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里
基本参数,首任车主质保政策,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）
基本参数,整备质量(kg),2390,2265,2150,2150,2265,2265,2265,2265,2235,2265,2150,2150,2150
基本参数,最大满载质量(kg),2825,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640
基本参数,准拖挂车总质量(kg),2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
车身,长度(mm),4749,4811,4705,4705,4749,4811,4740,4740,4705,4749,4705,4705,4705
车身,宽度(mm),1945,1945,1895,1895,1945,1945,1945,1945,1895,1945,1895,1895,1895
车身,高度(mm),1999,1999,1936,1936,1999,1999,1936,1991,1936,1999,1936,1936,1936
车身,轴距(mm),2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860
车身,前轮距(mm),1640,1640,1598,1598,1640,1640,1627,1640,1598,1640,1598,1598,1598
车身,后轮距(mm),1640,1640,1598,1598,1640,1640,1627,1640,1598,1640,1598,1598,1598
车身,满载最小离地间隙(mm),256,256,235,235,256,256,234.6,256,235,256,235,235,235
车身,接近角(°),43,42,40,40,43,42,38,42,40,43,40,40,40
车身,离去角(°),39,38,36,36,39,38,33,36,36,39,36,36,36
车身,纵向通过角(°),28.1,28.1,23.6,23.6,28.1,28.1,23.6,28.1,23.6,28.1,23.6,23.6,23.6
车身,最大爬坡度(%),100,100,100,100,100,100,100,100,100,100,100,100,100
车身,最大涉水深度(mm),910,910,850,850,910,910,850,910,850,910,850,850,850
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),80,80,80,80,80,80,80,80,80,80,80,80,80
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,4F20TC53,N20TG,N20TG,N20TG,N20TG,N20TG,N20TG,N20TG,4F20TC53,N20TG,N20TG,N20TG,N20TG
发动机,排量(mL),1968,1998,1998,1998,1998,1998,1998,1998,1968,1998,1998,1998,1998
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),170,252,252,252,252,252,252,252,170,252,252,252,252
发动机,最大功率(kW),125,185,185,185,185,185,185,185,125,185,185,185,185
发动机,最大功率转速(rpm),-,5500,5500,5500,5500,5500,5500,5500,-,5500,5500,5500,5500
发动机,最大扭矩(N·m),415,410,410,410,410,410,410,410,415,410,410,410,410
发动机,最大扭矩转速(rpm),-,1900-3300,1900-3300,1900-3300,1900-3300,1900-3300,1900-3300,1900-3300,-,1900-3300,1900-3300,1900-3300,1900-3300
发动机,最大净功率(kW),122,175,175,175,175,175,175,175,122,175,175,175,175
发动机,能源类型,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,汽油,汽油,汽油,汽油
发动机,燃油标号,0号,92号,92号,92号,92号,92号,92号,92号,0号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
变速箱,挡位个数,8,8,8,8,8,8,8,8,8,8,8,8,8
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱
底盘转向,前悬架类型,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架
底盘转向,后悬架类型,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架,● 五连杆整体桥式非独立悬架
底盘转向,助力类型,● 电动液压助力,● 电动液压助力,● 电动液压助力,● 电动液压助力,● 电动液压助力,● 电动液压助力,● 电动液压助力,● 电动液压助力,● 电动液压助力,● 电动液压助力,● 电动液压助力,● 电动液压助力,● 电动液压助力
底盘转向,车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 285/70 R17,● 285/70 R17,● 265/70 R17,● 265/70 R17,● 285/70 R17,● 285/70 R17,● 285/65 R17,● 285/70 R17,● 265/70 R17,● 285/70 R17,● 265/65 R18,● 265/70 R17,● 265/70 R17
车轮制动,后轮胎规格,● 285/70 R17,● 285/70 R17,● 265/70 R17,● 265/70 R17,● 285/70 R17,● 285/70 R17,● 285/65 R17,● 285/70 R17,● 265/70 R17,● 285/70 R17,● 265/65 R18,● 265/70 R17,● 265/70 R17
车轮制动,备胎规格,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸
车轮制动,备胎放置方式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,-,前 ● /后-,-,前 ● /后-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,-,●,●,●,●,●,-,●,●,-,●
主动安全,主动刹车/主动安全系统,●,●,-,●,●,●,●,●,-,●,●,-,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,前方碰撞预警,●,●,-,●,●,●,●,●,-,●,●,-,●
主动安全,内置行车记录仪,-,●,-,●,●,●,●,●,-,-,●,-,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地"
驾驶操控,发动机启停技术,-,●,-,-,-,-,-,-,-,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,中央差速器锁止功能,●,●,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,限滑差速器/差速锁,"● 前桥差速锁
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁",○ 后桥差速锁,"● 前桥差速锁
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁",○ 后桥差速锁,"○ 前桥差速锁
● 后桥差速锁"
四驱/越野,低速四驱,●,●,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,蠕行模式,●,-,●,●,●,●,●,●,●,-,-,-,-
四驱/越野,坦克转弯,●,-,●,●,●,●,-,-,●,-,-,-,-
四驱/越野,涉水喉,○,●,-,-,●,●,●,●,-,●,-,-,-
四驱/越野,绞盘,-,-,-,-,-,-,-,-,-,○ 前部,-,○ 前部,○ 前部
四驱/越野,拖挂钩,○ 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,○ 手动,● 手动,○ 手动,○ 手动,○ 手动
四驱/越野,拖车取电口,○,●,●,●,●,●,●,●,○,●,○,○,○
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,-,●
驾驶硬件,前方感知摄像头,● 单目,● 单目,-,● 单目,● 单目,● 单目,● 单目,● 单目,-,● 单目,● 单目,-,● 单目
驾驶硬件,摄像头数量,● 5个,● 5个,● 4个,● 5个,● 5个,● 5个,● 5个,● 5个,● 4个,● 5个,● 5个,● 1个,● 5个
驾驶硬件,超声波雷达数量,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个
驾驶功能,巡航系统,● 自适应巡航,● 自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 自适应巡航,● 自适应巡航,● 定速巡航,● 自适应巡航
驾驶功能,辅助驾驶等级,-,-,-,-,-,-,● L2,● L2,-,-,-,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 百度,● 百度,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 百度,● 百度,● 百度,● 百度,● 百度
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,道路交通标识识别,●,●,-,●,●,●,●,●,-,●,●,-,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车侧脚踏板,● 固定,● 固定,● 固定,● 固定,● 固定,● 固定,● 电动,● 电动,● 固定,● 固定,● 电动,● 固定,● 固定
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,-,●,●,●,●,●,-,●,●,-,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,转向辅助灯,-,-,-,●,●,-,●,●,●,-,●,-,●
车外灯光,车前雾灯,● LED,-,-,● LED,● LED,-,● LED,● LED,● LED,-,● LED,-,● LED
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,○ 电动天窗,● 电动天窗,○ 电动天窗,● 电动天窗,○ 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,○ 电动天窗,● 电动天窗,○ 电动天窗,● 电动天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,后排侧隐私玻璃,-,-,-,●,-,-,●,-,-,-,●,-,-
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,● 原厂互联/映射,● 原厂互联/映射,"● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink",● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
互联/智能化,语音助手唤醒词,● 你好，小二,● 你好，小二,● 你好，小二,● 你好，小二,● 你好，小二,● 你好，小二,-,-,● 你好，小二,● 你好，小二,● 你好，小二,● 你好，小二,● 你好，小二
互联/智能化,语音分区域唤醒识别,● 双区域,● 单区域,● 双区域,● 双区域,● 双区域,● 双区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域
互联/智能化,语音连续识别,●,-,●,●,●,●,-,-,-,-,-,-,-
互联/智能化,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,-,-,-,-,-,-,●,●,●,●,●
