セクション,セクション_ja,項目,項目_ja,2026年モデル Pure,2026年モデル Pure SE,Unnamed 4
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,–
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,–
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 235/50 R19
○ 235/45 R20（タイヤサイズ）",● 235/45 R20（タイヤサイズ）,–
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 235/50 R19
○ 235/45 R20（タイヤサイズ）",● 235/45 R20（タイヤサイズ）,–
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,–
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,–
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前輪 ● / 後輪,前輪 ● / 後輪,–
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●,–
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,–
被动安全,衝突安全,缺气保用轮胎,パンク応急用タイヤ,●,●,–
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,–
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,–
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,–
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,–
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,–
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,–
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車両対応,● 全車両対応,–
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,–
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,–
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,–
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,–
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,–
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,–
主动安全,アクティブセーフティ,哨兵模式/千里眼,セキュリティモード/監視機能,●,●,–
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,–
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,–
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,–
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● 標準／コンフォート
● カスタム／パーソナライズ","● スポーツ
● 標準／コンフォート
● カスタム／パーソナライズ",–
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,–
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,–
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,–
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●,–
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● 360度全方位カメラ
● サイドブラインドスポットカメラ","● 360度全方位カメラ
● サイドブラインドスポットカメラ",–
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,–
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● Horizon Journey J6M（プロセッサ）,● Horizon Journey J6M（プロセッサ）,–
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 128 TOPS（演算性能）,● 128 TOPS（演算性能）,–
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,–
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 6個（センサー数）,● 6個（センサー数）,–
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,● 1個（センサー数）,● 1個（センサー数）,–
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個（スピーカー数）,● 12個（スピーカー数）,–
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 1個（センサー数）,● 1個（センサー数）,–
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,–
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● Xingyunインテリジェント運転支援,● Xingyunインテリジェント運転支援,–
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2（自動運転レベル）,● レベル2（自動運転レベル）,–
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,–
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,–
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,–
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）,–
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,–
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,–
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,–
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,–
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,–
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,–
驾驶功能,運転機能,记忆泊车,メモリーパーク,●,●,–
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,●,●,–
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,–
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,● 高速道路対応,● 高速道路対応,–
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金ホイール,● アルミ合金ホイール,–
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,●,–
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,●,–
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,●,–
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,–
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"○ リモコンキー
● Bluetoothキー
● UWBデジタルキー
● NFC/RFIDキー","○ リモコンキー
● Bluetoothキー
● UWBデジタルキー
● NFC/RFIDキー",–
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,–
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 全車両対応,● 全車両対応,–
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,–
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブクローズグリル,●,●,–
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,–
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,–
外观/防盗,エクステリア・盗難防止,对外放电,外部放電,●,●,–
车外灯光,外部照明,近光灯光源,ロービーム光源,● LEDライト,● LEDライト,–
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LEDライト,● LEDライト,–
车外灯光,外部照明,灯光特色功能,ライト特別機能,-,● マトリクス式ヘッドライト,–
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,–
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,–
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,–
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,–
车外灯光,外部照明,前大灯雨雾模式,ヘッドライト雨霧モード,●,●,–
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,–
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,–
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉可能パノラマサンルーフ,–
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●,–
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降機能,● 全車両対応,● 全車両対応,–
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,–
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯",–
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,–
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,● 雨量感知式ワイパー,● 雨量感知式ワイパー,–
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納",–
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ式液晶ディスプレイ,● タッチ式液晶ディスプレイ,–
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 15インチ,● 15インチ,–
互联/智能化,コネクティビティ/スマート機能,中控屏幕类型,センターコンソール画面タイプ,● LCD,● LCD,–
互联/智能化,コネクティビティ/スマート機能,中控屏幕分辨率,センターコンソール画面解像度,● 2K,● 2K,–
互联/智能化,コネクティビティ/スマート機能,副驾娱乐屏尺寸,助手席エンターテインメント画面サイズ,● 12インチ,● 12インチ,–
互联/智能化,コネクティビティ/スマート機能,副驾屏幕类型,助手席画面タイプ,● LCD,● LCD,–
互联/智能化,コネクティビティ/スマート機能,副驾屏幕分辨率,助手席画面解像度,● 2K,● 2K,–
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth／車載電話,●,●,–
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応
● Carlink対応",–
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● シートヒーター
● シートマッサージ",–
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、大衆,● こんにちは、大衆,–
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,音声起動ワード不要機能,●,●,–
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 4ゾーン,–
互联/智能化,コネクティビティ/スマート機能,语音连续识别,音声連続認識機能,●,●,–
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話せる機能,●,●,–
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,●,●,–
互联/智能化,コネクティビティ/スマート機能,车载智能系统,車載インテリジェントシステム,● VW OS,● VW OS,–
互联/智能化,コネクティビティ/スマート機能,车机智能芯片,車載スマートチップ,● MT8676,● MT8676,–
互联/智能化,コネクティビティ/スマート機能,车联网,車載ネットワーク（コネクテッドカー）,●,●,–
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,–
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,–
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,–
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約",–
互联/智能化,コネクティビティ/スマート機能,车载KTV,車載KTV機能,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,–
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 回転式電子シフトレバー,● 回転式電子シフトレバー,–
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,–
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,–
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,–
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,● 27インチ,● 27インチ,–
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩,● 自動防眩,–
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ （200元）,○ （200元）,–
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,–
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,–
车内充电,車内充電設備,USB/Type-C最大充电功率,USB／Type-C最大充電出力,● 45W,● 45W,–
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,–
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,–
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジルーム12V電源ポート,●,●,–
座椅配置,シート装備,座椅材质,シート素材,"● 合成皮革
○ レザー／スエード素材の組み合わせ",● レザー／スエード素材の組み合わせ,–
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,–
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）",–
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）",–
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,–
座椅配置,シート装備,前排座椅功能,フロントシート機能,● マッサージ,"● ヒーター
● マッサージ",–
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席",–
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,–
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,–
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方式,● 分割可倒式,● 分割可倒式,–
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● ／後席 ○,前輪 ● / 後輪 ●,–
座椅配置,シート装備,后排杯架,後席カップホルダー,○,●,–
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,–
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,"● 9スピーカー
○ 12スピーカー（4000元）","● 9スピーカー
○ 12スピーカー（4000元）",–
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色,● 多色,–
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,–
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,–
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,–
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,–
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,–
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,–
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,-,●,–
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,–
颜色,カラー,外观颜色,外装色,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–
选装包,オプションパッケージ,金色扩展装饰套件,ゴールドエクステリア装飾キット,○ オプション（4000元）,-,–
选装包,オプションパッケージ,内饰舒享套装,インテリア快適パッケージ,○ オプション（5000元）,-,–
选装包,オプションパッケージ,金色装饰套件,ゴールド装飾キット,-,○ オプション（2000元）,–
