セクション,項目,eπ008 2026款 五座增程超阔版,eπ008 2026款 五座增程超尊版,eπ008 2026款 六座增程家悦版,eπ008 2026款 六座增程家享版,eπ008 2026款 六座增程行政版,eπ008 2026款 五座纯电超阔版,eπ008 2026款 五座纯电超尊版,eπ008 2026款 六座纯电家悦版,eπ008 2026款 六座纯电家享版,eπ008 2026款 六座纯电行政版,eπ008 2025款 210Ultra如奕版 5座,eπ008 2026款 纯电 基本型,eπ008 2026款 增程 基本型
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 6,● 6,● 6,● 5,● 5,● 6,● 6,● 6,● 5,● 6,● 6
车身,油箱容积(L),51,51,51,51,51,-,-,-,-,-,51,-,51
车身,后备厢容积(L),495,495,-,-,-,495,495,-,-,-,-,-,-
车身,风阻系数(Cd),0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.268,0.28,0.28
发动机,发动机型号,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,-,-,-,-,-,DFMC15TE3,-,DFMC15TPE
发动机,排量(mL),1497,1497,1497,1497,1497,-,-,-,-,-,1497,-,1497
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,-,-,-,-,-,1.5,-,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-,涡轮增压,-,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,-,-,-,-,-,横置,-,横置
发动机,气缸排列形式,L,L,L,L,L,-,-,-,-,-,L,-,L
发动机,气缸数(个),4,4,4,4,4,-,-,-,-,-,4,-,4
发动机,每缸气门数(个),4,4,4,4,4,-,-,-,-,-,4,-,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,DOHC,-,DOHC
发动机,最大马力(Ps),147,147,147,147,147,-,-,-,-,-,147,-,129
发动机,最大功率(kW),108,108,108,108,108,-,-,-,-,-,108,-,95
发动机,最大功率转速(rpm),4500,4500,4500,4500,4500,-,-,-,-,-,4500,-,-
发动机,最大扭矩(N·m),210,210,210,210,210,-,-,-,-,-,210,-,-
发动机,最大扭矩转速(rpm),2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,-,-,-,-,-,2000-4500,-,-
发动机,最大净功率(kW),105,105,105,105,105,-,-,-,-,-,105,-,90
发动机,能源类型,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,增程式,纯电动,增程式
发动机,燃油标号,92号,92号,92号,92号,92号,-,-,-,-,-,92号,-,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,-,-,-,-,-,直喷,-,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,铝合金,-,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,铝合金,-,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,国VI,-,国VI
电动机,后电动机品牌,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,-
电动机,后电动机型号,TZ200XS3ZX,TZ200XS3ZX,TZ200XS3ZX,TZ200XS3ZX,TZ200XS3ZX,TZ200XS3ZX,TZ200XS3ZX,TZ200XS3ZX,TZ200XS3ZX,TZ200XS3ZX,TZ200XS3ZX,TZ225XYH01,-
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),200,200,200,200,200,200,200,200,200,200,200,230,215
电动机,电动机总马力(Ps),272,272,272,272,272,272,272,272,272,272,272,313,292
电动机,电动机总扭矩(N·m),340,340,340,340,340,340,340,340,340,340,340,-,-
电动机,后电动机最大功率(kW),200,200,200,200,200,200,200,200,200,200,200,230,215
电动机,后电动机最大扭矩(N·m),340,340,340,340,340,340,340,340,340,340,340,-,-
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 中创新航,● 中创新航,● 中创新航,● 中创新航,● 中创新航,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟,● 中创新航,● 宁德时代,● 欣旺达
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),150,150,150,150,150,-,-,-,-,-,150,-,-
电池/充电,CLTC纯电续航里程(km),202,202,202,202,202,610,620,610,620,610,210,-,-
电池/充电,CLTC综合续航(km),1220,1220,1220,1220,1220,-,-,-,-,-,1300,-,-
电池/充电,电池能量(kWh),34.32,34.32,34.32,34.32,34.32,82.28,82.28,82.28,82.28,82.28,34.32,-,-
电池/充电,百公里耗电量(kWh/100km),16.6,16.6,16.6,16.6,16.6,15.5,15.1,15.5,15.1,15.5,15.8,-,-
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),91,91,91,91,91,108,108,108,108,108,-,-,-
电池/充电,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.47,0.47,0.47,0.47,0.47,0.43,-,-
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,-,-
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
电池/充电,对外直流放电功率(kW),6,6,6,6,6,6,6,6,6,6,6,6,6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 265/45 R21,● 265/45 R21,● 265/45 R21,● 265/45 R21,● 255/50 R20,● 265/45 R21,● 265/45 R21,● 265/45 R21,● 265/45 R21,● 255/50 R20,● 265/45 R21,● 265/45 R21,● 265/45 R21
车轮制动,后轮胎规格,● 265/45 R21,● 265/45 R21,● 265/45 R21,● 265/45 R21,● 255/50 R20,● 265/45 R21,● 265/45 R21,● 265/45 R21,● 265/45 R21,● 255/50 R20,● 265/45 R21,● 265/45 R21,● 265/45 R21
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,-,-
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,-,-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,-,-
主动安全,安全带未系提醒,● 全车,● 全车,"● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排",● 全车,● 全车,"● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排",● 全车,-,-
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,疲劳驾驶提示,●,●,●,●,-,●,●,●,●,-,●,-,-
主动安全,DOW开门预警,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●,●,●,-,-,-
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适",-,-
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,-,-
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,-,-
驾驶硬件,摄像头数量,● 5个,● 10个,● 5个,● 10个,● 5个,● 5个,● 10个,● 5个,● 10个,● 5个,● 5个,-,-
驾驶硬件,车内摄像头数量,● 2个,● 3个,● 2个,● 3个,-,● 2个,● 3个,● 2个,● 3个,-,● 2个,-,-
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,-,-
驾驶硬件,毫米波雷达数量,● 2个,● 5个,● 2个,● 5个,● 2个,● 2个,● 5个,● 2个,● 5个,● 2个,● 2个,-,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,-,-
驾驶功能,辅助驾驶系统,● eπ Pilot,● eπ Pilot,● eπ Pilot,● eπ Pilot,● eπ Pilot,● eπ Pilot,● eπ Pilot,● eπ Pilot,● eπ Pilot,● eπ Pilot,● eπ Pilot,-,-
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,-,-
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,-,-
驾驶功能,高精地图,-,●,-,●,-,-,●,-,●,-,-,-,-
驾驶功能,并线辅助,-,●,-,●,-,-,●,-,●,-,●,-,-
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,辅助泊车入位,●,●,●,●,-,●,●,●,●,-,●,-,-
驾驶功能,遥控泊车,●,●,●,●,-,●,●,●,●,-,●,-,-
驾驶功能,记忆泊车,-,●,-,●,-,-,●,-,●,-,-,-,-
驾驶功能,循迹倒车,●,●,●,●,-,●,●,●,●,-,-,-,-
驾驶功能,辅助变道,-,●,-,●,-,-,●,-,●,-,-,-,-
驾驶功能,辅助匝道自动驶出(入),-,●,-,●,-,-,●,-,●,-,-,-,-
驾驶功能,辅助驾驶路段,-,● 高速路段,-,● 高速路段,-,-,● 高速路段,-,● 高速路段,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,-,-
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,发动机电子防盗,●,●,●,●,●,-,-,-,-,-,●,-,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙",-,-
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-,-
外观/防盗,隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,场景灯语,-,-,●,●,●,-,-,●,●,●,●,-,-
天窗/玻璃,天窗类型,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,-,-
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-,-
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,-,-
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","○ 前排
○ 后排",-,-
天窗/玻璃,后排侧窗遮阳帘,○ 手动,○ 手动,○ 手动,○ 手动,-,○ 手动,○ 手动,○ 手动,○ 手动,-,○ 手动,-,-
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,-,●,●,●,●,-,-,-,-
