セクション,項目,逍客 2025款 改款 荣誉 2.0L CVT XV真心版,逍客 2025款 改款 荣誉 2.0L CVT XV+领先版,逍客 2023款 1.3T CVT精英版,逍客 2023款 1.3T CVT豪华版,逍客 2023款 1.3T CVT黑金版,逍客 2023款 1.3T CVT领航版,逍客 2023款 1.3T CVT旗舰版
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,●,●,●,●
主动安全,主动刹车/主动安全系统,-,-,-,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,●,●,●,●
主动安全,前方碰撞预警,-,-,-,●,●,●,●
主动安全,后方碰撞预警,-,-,-,-,-,●,●
主动安全,移动物体预警系统,-,-,-,-,-,●,●
主动安全,内置行车记录仪,○,○,-,-,-,-,-
主动安全,道路救援呼叫,-,-,-,●,●,●,●
驾驶操控,驾驶模式切换,● 经济,● 经济,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,发动机启停技术,-,-,●,●,●,●,●
驾驶操控,自动驻车,-,-,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前-/后 ○,前-/后 ○,-,-,-,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,○ 倒车影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,-,-,-,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,○ 1个,● 4个,● 1个,● 2个,● 2个,● 5个,● 5个
驾驶硬件,超声波雷达数量,-,-,-,-,-,● 8个,● 8个
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,-,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,-,-,● ProPILOT,● ProPILOT,● ProPILOT,● ProPILOT
驾驶功能,辅助驾驶等级,-,-,-,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,-,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,-,●,●,●,●
驾驶功能,车道保持辅助系统,-,-,-,●,●,●,●
驾驶功能,车道居中保持,-,-,-,●,●,●,●
驾驶功能,道路交通标识识别,-,-,-,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,车顶行李架,-,-,-,○,○,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,-,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,-,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 不可开启全景天窗,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 驾驶位,● 驾驶位,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式
外后视镜,外后视镜功能,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,-,-,-,-,-,-,-
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热"
互联/智能化,语音免唤醒词,●,●,●,●,●,●,●
互联/智能化,语音连续识别,-,-,●,●,●,●,●
互联/智能化,声纹识别,-,-,●,●,●,●,●
互联/智能化,车载智能系统,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联
互联/智能化,车联网,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车灯控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 车灯控制
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 塑料,● 皮质,● 塑料,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,-,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,●,●
方向盘/内后视镜,液晶仪表尺寸,● 5英寸,● 5英寸,● 7英寸,● 7英寸,● 7英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,-,-,●
方向盘/内后视镜,内后视镜功能,"● 手动防眩目
○ 流媒体","● 手动防眩目
○ 流媒体",● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,● USB,● USB,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排1个,● 前排1个,● 前排2个/后排1个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,-,-,-,● 前排,● 前排
座椅配置,座椅材质,● 仿皮,● 仿皮,● 织物,● 皮/织物混搭,● 仿皮,● 皮/织物混搭,● 真皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,主 ● /副-,-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副 ●
座椅配置,前排座椅功能,-,-,-,-,"● 加热
● 通风",-,● 加热
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,-,-,-,-,-,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 4喇叭,● 4喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,● 单色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 手动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,-,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●
颜色,外观颜色,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–
