セクション,項目,宝马5系新能源 2022款 535Le 豪华套装,宝马5系新能源 2022款 535Le M运动套装,宝马5系新能源 2022款 改款 535Le 豪华套装,宝马5系新能源 2022款 改款 535Le M运动套装,宝马5系新能源 2022款 改款二 535Le 豪华套装,宝马5系新能源 2022款 改款二 535Le M运动套装,宝马5系新能源 2022款 535Le 先锋版M运动套装,宝马5系新能源 2022款 改款 535Le 先锋版M运动套装,宝马5系新能源 2022款 改款二 535Le 先锋版M运动套装,宝马5系新能源 2022款 改款三 535Le 先锋版M运动套装
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),-,-,2005,2005,2005,2005,-,-,2005,2005
基本参数,最大满载质量(kg),-,-,2540,2540,2540,2540,-,-,2540,2540
车身,长度(mm),5106,5106,5106,5106,5106,5106,5106,5106,5106,5106
车身,宽度(mm),1868,1868,1868,1868,1868,1868,1868,1868,1868,1868
车身,高度(mm),1490,1490,1490,1490,1490,1490,1490,1490,1490,1490
车身,轴距(mm),3105,3105,3105,3105,3105,3105,3105,3105,3105,3105
车身,前轮距(mm),1598,1598,1598,1598,1598,1598,1598,1598,1598,1598
车身,后轮距(mm),1622,1622,1622,1622,1622,1622,1622,1622,1622,1622
车身,接近角(°),17,17,17,17,17,17,17,17,17,17
车身,离去角(°),17,17,17,17,17,17,17,17,17,17
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),46,46,46,46,46,46,46,46,46,46
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,B48B20C,B48B20C,B48B20C,B48B20C,B48B20C,B48B20C,B48B20C,B48B20C,B48B20C,B48B20C
发动机,排量(mL),1998,1998,1998,1998,1998,1998,1998,1998,1998,1998
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),184,184,184,184,184,184,184,184,184,184
发动机,最大功率(kW),135,135,135,135,135,135,135,135,135,135
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),135,135,135,135,135,135,135,135,135,135
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),80,80,80,80,80,80,80,80,80,80
电动机,电动机总马力(Ps),109,109,109,109,109,109,109,109,109,109
电动机,电动机总扭矩(N·m),265,265,265,265,265,265,265,265,265,265
电动机,系统综合功率(kW),215,215,215,215,215,215,215,215,215,215
电动机,系统综合马力(Ps),292,292,292,292,292,292,292,292,292,292
电动机,系统综合扭矩(N·m),420,420,420,420,420,420,420,420,420,420
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,-,-,前置,前置,前置,前置,-,-,前置,前置
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,NEDC纯电续航里程(km),95,95,95,95,95,95,95,95,95,95
电池/充电,WLTC纯电续航里程(km),73,73,73,73,73,73,73,73,73,73
电池/充电,电池能量(kWh),17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7
电池/充电,百公里耗电量(kWh/100km),15,15,15,15,15,15,15,15,15,15
电池/充电,电池组质保,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里
电池/充电,快充功能,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
电池/充电,电池慢充时间(小时),3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
变速箱,简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
变速箱,挡位个数,8,8,8,8,8,8,8,8,8,8
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 245/45 R18,● 245/45 R18,● 245/45 R18,● 245/45 R18,-,-,● 245/45 R18,● 245/45 R18,● 245/45 R18,-
车轮制动,后轮胎规格,● 245/45 R18,● 245/45 R18,● 245/45 R18,● 245/45 R18,-,-,● 245/45 R18,● 245/45 R18,● 245/45 R18,-
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,被动行人保护,●,●,●,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,○,○,○,○,○,○,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,-,-,●,●,●,●,-,-,●,●
主动安全,低速行车警告,-,-,●,●,●,●,-,-,●,●
主动安全,内置行车记录仪,-,-,-,-,○ (1800元),○ (1800元),-,-,-,○ (1800元)
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,能量回收系统,-,-,●,●,●,●,-,-,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节
驾驶操控,空气悬架,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,"● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像"
驾驶硬件,摄像头数量,-,-,"● 2个
○ 4个","● 2个
○ 4个","● 2个
○ 4个","● 2个
○ 4个",-,-,● 4个,● 4个
驾驶硬件,超声波雷达数量,-,-,● 8个,● 12个,● 8个,● 12个,-,-,● 12个,● 12个
驾驶硬件,毫米波雷达数量,-,-,○ 5个,○ 5个,○ 5个,○ 5个,-,-,● 5个,● 5个
驾驶功能,巡航系统,"● 定速巡航
○ 自适应巡航
○ 全速自适应巡航","● 定速巡航
○ 自适应巡航
○ 全速自适应巡航","● 定速巡航
○ 自适应巡航
○ 全速自适应巡航","● 定速巡航
○ 自适应巡航
○ 全速自适应巡航","● 定速巡航
○ 自适应巡航
○ 全速自适应巡航","● 定速巡航
○ 自适应巡航
○ 全速自适应巡航",● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,-,-,○ L2,○ L2,○ L2,○ L2,-,-,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,○,○,○,○,-,-,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●
驾驶功能,并线辅助,○,○,○,○,○,○,●,●,●,●
驾驶功能,车道保持辅助系统,○,○,○,○,○,○,●,●,●,●
驾驶功能,车道居中保持,-,-,○,○,○,○,-,-,●,●
驾驶功能,道路交通标识识别,○,○,○,○,○,○,●,●,●,●
驾驶功能,辅助泊车入位,○,○,○,○,○,○,●,○,○,○
驾驶功能,循迹倒车,-,-,○,○,○,○,-,-,○,○
驾驶功能,辅助变道,-,-,○,○,○,○,-,-,●,●
外观/防盗,外观套件,-,● 运动风格,-,● 运动风格,-,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●,●
外观/防盗,感应后备厢,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● NFC/RFID钥匙","● 遥控钥匙
● NFC/RFID钥匙","● 遥控钥匙
● NFC/RFID钥匙","● 遥控钥匙
● NFC/RFID钥匙",● 遥控钥匙,"● 遥控钥匙
● NFC/RFID钥匙","● 遥控钥匙
● NFC/RFID钥匙","● 遥控钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,"● LED
○ 激光 (1.20万元)","● LED
○ 激光 (1.20万元)","● LED
○ 激光 (1.20万元)","● LED
○ 激光 (1.20万元)"
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●
车外灯光,转向辅助灯,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗
天窗/玻璃,星空天窗,-,-,○ (10000元),○ (10000元),○ (10000元),○ (10000元),-,-,○,○
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯
● 后排+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯
● 后排+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯
● 后排+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯
● 后排+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯
● 后排+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯
● 后排+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯
● 后排+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯
● 后排+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯
● 后排+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯
● 后排+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目 (2500元)","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目 (2500元)","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目 (2500元)","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目 (2500元)","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目 (2500元)","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目 (2500元)","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife"
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
互联/智能化,手势控制,-,-,-,-,○,○,○,○,○,○
互联/智能化,车载智能系统,-,-,● iDrive,● iDrive,● iDrive,● iDrive,-,-,● iDrive,● iDrive
互联/智能化,后排液晶屏幕,-,-,-,-,-,-,○ (2.60万元),○ (2.60万元),○ (2.60万元),○ (2.60万元)
互联/智能化,后排控制多媒体,-,-,-,-,-,-,●,●,-,-
互联/智能化,车载CD/DVD,-,-,-,-,-,-,○ 单碟DVD,○ 单碟DVD,○ 单碟DVD,○ 单碟DVD
互联/智能化,车联网,●,●,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,-,-,● 4G,● 4G,● 4G,● 4G,-,-,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,-,-,●,●,●,●,-,-,●,●
互联/智能化,手机APP远程功能,-,-,"● 车门控制
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车",-,-,"● 车门控制
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,-,-,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,-,-,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,○ (1.16万元),○ (1.16万元),○ (1.16万元),○ (1.16万元),○ (1.16万元),○ (1.16万元),○ (1.16万元),○ (1.16万元),○ (1.16万元),○ (1.16万元)
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
○ HDMI
● Type-C","● USB
○ HDMI
● Type-C","● USB
○ HDMI
● Type-C","● USB
○ HDMI
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,"● 前排2个/后排2个
○ 前排2个/后排4个","● 前排2个/后排2个
○ 前排2个/后排4个","● 前排2个/后排2个
○ 前排2个/后排4个","● 前排2个/后排2个
○ 前排2个/后排4个"
