セクション,項目,极狐 阿尔法S5 2026款 1450 悦享版 200kW,极狐 阿尔法S5 2026款 1450 睿享版 200kW,极狐 阿尔法S5 2026款 1450 元境智行版 200kW,极狐 阿尔法S5 2026款 630 元境睿行版 185kW,极狐 阿尔法S5 2026款 630 元境智行版 185kW,极狐 阿尔法S5 2026款 720 元境神行版 200kW,极狐 阿尔法S5 2026款 650 元境四驱版 390kW,极狐 阿尔法S5 2025款 560PRO 185kW,极狐 阿尔法S5 2025款 改款 560PRO 185kW,极狐 阿尔法S5 2025款 560MAX 185kW,极狐 阿尔法S5 2025款 改款 560MAX 185kW,极狐 阿尔法S5 2025款 668MAX神行版 200kW,极狐 阿尔法S5 2025款 改款 668MAX神行版 200kW,极狐 阿尔法S5 2025款 708MAX 200kW,极狐 阿尔法S5 2025款 改款 708MAX 200kW,极狐 阿尔法S5 2025款 630ULTRA神行版 390kW
基本参数,电能当量燃料消耗量(L/100km),1.75,1.75,1.75,1.44,1.44,1.43,1.61,1.54,1.54,1.54,1.54,1.5,1.5,1.44,1.44,1.63
基本参数,油电综合燃料消耗量(L/100km),2.26,2.26,2.26,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,整车质保,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里
基本参数,首任车主质保政策,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里
基本参数,整备质量(kg),1880,1880,1880,1885,1885,1995,2120,1920,1885,1920,1885,1995,1995,1920,1920,2120
基本参数,最大满载质量(kg),2275,2275,2275,2260,2260,2370,2495,2295,2260,2295,2260,2370,2370,2295,2295,2495
车身,长度(mm),4886,4886,4886,4886,4886,4886,4886,4820,4820,4820,4820,4820,4820,4820,4820,4820
车身,宽度(mm),1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930
车身,高度(mm),1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480
车身,轴距(mm),2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
车身,前轮距(mm),1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643
车身,后轮距(mm),1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656
车身,接近角(°),14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
车身,离去角(°),17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),47,47,47,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,后备厢容积(L),430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
车身,风阻系数(Cd),-,-,-,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925
发动机,发动机型号,A156A1,A156A1,A156A1,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,排量(mL),1498,1498,1498,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,排量(L),1.5,1.5,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,进气形式,自然吸气,自然吸气,自然吸气,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机布局,横置,横置,横置,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,气缸排列形式,L,L,L,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,气缸数(个),4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,每缸气门数(个),4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,压缩比,14:1,14:1,14:1,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大马力(Ps),105,105,105,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大功率(kW),77,77,77,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大功率转速(rpm),6000,6000,6000,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),132,132,132,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),4500,4500,4500,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),71,71,71,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,能源类型,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
发动机,燃油标号,92号,92号,92号,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,供油方式,多点电喷,多点电喷,多点电喷,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,环保标准,国VI,国VI,国VI,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机,前电动机品牌,-,-,-,海纳川浩夫尔,海纳川浩夫尔,北京新能源,北京新能源,北京新能源,海纳川浩夫尔,北京新能源,海纳川浩夫尔,北京新能源,北京新能源,北京新能源,北京新能源,北京新能源
电动机,后电动机品牌,-,-,-,-,-,-,北京新能源,-,-,-,-,-,-,-,-,北京新能源
电动机,前电动机型号,-,-,-,TZ220XS460,TZ220XS460,TZ220XS646,TZ220XS646,TZ220XS645,TZ220XS460,TZ220XS645,TZ220XS460,TZ220XS646,TZ220XS646,TZ220XS646,TZ220XS646,TZ220XS646
电动机,后电动机型号,TZ220XS504,TZ220XS504,TZ220XS504,-,-,-,YS220XS560,-,-,-,-,-,-,-,-,YS220XS560
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,前永磁/同步 后交流/异步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,前永磁/同步 后交流/异步
电动机,电动机总功率(kW),200,200,200,185,185,200,390,185,185,185,185,200,200,200,200,390
电动机,电动机总马力(Ps),272,272,272,252,252,272,530,252,252,252,252,272,272,272,272,530
电动机,电动机总扭矩(N·m),365,365,365,320,320,360,690,360,320,360,320,360,360,360,360,690
电动机,前电动机最大功率(kW),-,-,-,185,185,200,200,185,185,185,185,200,200,200,200,200
电动机,前电动机最大扭矩(N·m),-,-,-,320,320,360,360,360,320,360,320,360,360,360,360,360
电动机,后电动机最大功率(kW),200,200,200,-,-,-,190,-,-,-,-,-,-,-,-,190
电动机,后电动机最大扭矩(N·m),365,365,365,-,-,-,330,-,-,-,-,-,-,-,-,330
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,双电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,双电机
电动机,电机布局,后置,后置,后置,前置,前置,前置,前置+后置,前置,前置,前置,前置,前置,前置,前置,前置,前置+后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池特有技术,极光电池,极光电池,极光电池,极光电池,极光电池,神行电池,神行电池,极光电池,极光电池,极光电池,极光电池,神行电池,神行电池,极光电池,极光电池,神行电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),175,175,175,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,CLTC纯电续航里程(km),230,230,230,630,630,720,650,560,560,560,560,668,668,708,708,630
电池/充电,WLTC综合续航(km),1220,1220,1220,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,CLTC综合续航(km),1450,1450,1450,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,电池能量(kWh),27.4,27.4,27.4,64.8,64.8,74.4,74.4,64.8,64.8,64.8,64.8,74.4,74.4,79.2,79.2,74.4
电池/充电,百公里耗电量(kWh/100km),15.1,15.1,15.1,12.4,12.4,12.3,13.9,13.6,13.6,13.6,13.6,12.9,12.9,12.8,12.8,14
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),-,-,-,215,215,404,404,160,160,160,160,404,404,230,230,404
电池/充电,高压快充,-,-,-,-,-,支持,支持,-,-,-,-,支持,支持,支持,支持,支持
电池/充电,高压平台（V）,-,-,-,400,400,800,800,400,400,400,400,800,800,800,800,800
电池/充电,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.38,0.38,0.38,0.38,0.15,0.15,0.28,0.28,0.15
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充时间(小时),4,4,4,11.3,11.3,12.2,12.2,11.3,11.3,11.3,11.3,12.2,12.2,12.9,12.9,12.2
电池/充电,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),-,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
电池/充电,对外放电最低允许值(%),-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 前置前驱,● 前置前驱,● 前置前驱,● 双电机四驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 双电机四驱
底盘转向,四驱形式,-,-,-,-,-,-,● 电动四驱,-,-,-,-,-,-,-,-,● 电动四驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/50 R18,● 235/50 R18,● 235/45 R19,● 235/50 R18,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 235/50 R18,● 235/50 R18,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19
车轮制动,后轮胎规格,● 235/50 R18,● 235/50 R18,● 235/45 R19,● 235/50 R18,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 235/50 R18,● 235/50 R18,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),-,-,前 ● /后 ●,-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
主动安全,DOW开门预警,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化"
驾驶操控,单踏板模式,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,-,● 单目,● 双目,● 双目,● 双目,● 双目,● 双目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 4个,● 5个,● 7个,● 7个,● 7个,● 7个,● 7个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个
驾驶硬件,车内摄像头数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 8个,● 8个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,-,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个
