セクション,項目,哈弗H9 2026款 2.4T 柴油四驱拓境版,哈弗H9 2026款 2.4T 柴油四驱极境版,哈弗H9 2026款 2.0T 汽油四驱探境版,哈弗H9 2026款 2.0T 汽油四驱拓境版,哈弗H9 2026款 2.0T 汽油四驱极境版,哈弗H9 2025款 2.4T 柴油四驱穿越版,哈弗H9 2025款 2.0T 汽油四驱勇士版,哈弗H9 2025款 2.4T 柴油四驱勇士版,哈弗H9 2024款 2.0T 汽油四驱探境版,哈弗H9 2024款 2.0T 汽油四驱拓境版,哈弗H9 2024款 2.0T 汽油四驱极境版,哈弗H9 2024款 2.4T 柴油四驱拓境版,哈弗H9 2024款 2.4T 柴油四驱极境版
基本参数,WLTC综合油耗(L/100km),9,9,10.7,10.7,10.7,9.3,10.7,8.9,10.7,10.7,10.7,8.8,8.8
基本参数,整车质保,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里
基本参数,首任车主质保政策,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）
基本参数,整备质量(kg),2435,2435,2300,2300,2300,2495,2330,2410,2250,2250,2330,2370,2410
基本参数,最大满载质量(kg),3050,3050,2915,2915,2915,3105,2890,2870,2890,2890,2890,2870,2870
基本参数,准拖挂车总质量(kg),2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
车身,长度(mm),5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070
车身,宽度(mm),1976,1960,1976,1976,1960,1976,1960,1960,1976,1976,1960,1976,1960
车身,高度(mm),1950,1950,1950,1950,1950,1960,1930,1930,1930,1930,1930,1930,1930
车身,轴距(mm),2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850
车身,前轮距(mm),1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635
车身,后轮距(mm),1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635
车身,空载最小离地间隙(mm),226,226,226,226,226,235,224,224,224,224,224,224,224
车身,接近角(°),32,32,32,32,32,33,31,31,31,31,31,31,31
车身,离去角(°),26,26,26,26,26,26,26,26,26,26,26,26,26
车身,纵向通过角(°),24,24,24,24,24,-,-,-,-,-,-,-,-
车身,最小转弯半径(m),5.6,5.6,5.6,5.6,5.6,-,-,-,-,-,-,-,-
车身,最大涉水深度(mm),800,800,800,800,800,800,800,800,800,800,800,800,800
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),"● 5
○ 7 (8000元)","● 5
○ 7 (8000元)",● 5,"● 5
○ 7 (8000元)","● 5
○ 7 (8000元)","● 5
○ 7 (8000元)","● 5
○ 7 (8000元)","● 5
○ 7 (8000元)",● 5,"● 5
○ 7 (8000元)","● 5
○ 7 (8000元)","● 5
○ 7 (8000元)","● 5
○ 7 (8000元)"
车身,油箱容积(L),78,78,80,80,80,131,80,78,80,80,80,78,78
车身,后备厢容积(L),791-1814,791-1814,791-1814,791-1814,791-1814,791,791,791,791,791,791,791,791
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,GW4D24,GW4D24,GW4C20B,GW4C20B,GW4C20B,GW4D24,GW4C20B,GW4D24,GW4C20B,GW4C20B,GW4C20B,GW4D24,GW4D24
发动机,排量(mL),2370,2370,1967,1967,1967,2370,1967,2370,1967,1967,1967,2370,2370
发动机,排量(L),2.4,2.4,2.0,2.0,2.0,2.4,2.0,2.4,2.0,2.0,2.0,2.4,2.4
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),186,186,224,224,224,186,224,186,224,224,224,186,186
发动机,最大功率(kW),137,137,165,165,165,137,165,137,165,165,165,137,137
发动机,最大功率转速(rpm),3600,3600,5500,5500,5500,3600,5500,3600,5500,5500,5500,3600,3600
发动机,最大扭矩(N·m),490,490,385,385,385,490,385,490,385,385,385,490,490
发动机,最大扭矩转速(rpm),1500-2500,1500-2500,1800-3600,1800-3600,1800-3600,1500-2500,1800-3600,1500-2500,1800-3600,1800-3600,1800-3600,1500-2500,1500-2500
发动机,最大净功率(kW),135,135,160,160,160,135,160,135,160,160,160,135,135
发动机,能源类型,柴油,柴油,汽油,汽油,汽油,柴油,汽油,柴油,汽油,汽油,汽油,柴油,柴油
发动机,燃油标号,0号,0号,92号,92号,92号,0号,92号,0号,92号,92号,92号,0号,0号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,9挡手自一体,9挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,9挡手自一体,8挡手自一体,9挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,9挡手自一体,9挡手自一体
变速箱,挡位个数,9,9,8,8,8,9,8,9,8,8,8,9,9
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱
底盘转向,中央差速器结构,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 265/60 R18,"● 265/55 R19
○ 265/60 R18","● 265/65 R17
○ 265/60 R18",● 265/60 R18,"● 265/55 R19
○ 265/60 R18",● 265/65 R18,● 265/60 R18,● 265/60 R18,● 265/65 R17,● 265/60 R18,● 265/55 R19,● 265/60 R18,● 265/55 R19
车轮制动,后轮胎规格,● 265/60 R18,"● 265/55 R19
○ 265/60 R18","● 265/65 R17
○ 265/60 R18",● 265/60 R18,"● 265/55 R19
○ 265/60 R18",● 265/65 R18,● 265/60 R18,● 265/60 R18,● 265/65 R17,● 265/60 R18,● 265/55 R19,● 265/60 R18,● 265/55 R19
车轮制动,备胎规格,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸
车轮制动,备胎放置方式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,"● 背负式
○ 底挂式 (2000元)","● 背负式
○ 底挂式 (2000元)","● 背负式
○ 底挂式 (2000元)","● 背负式
○ 底挂式 (2000元)","● 背负式
○ 底挂式 (2000元)"
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,"● 前排
● 第二排",● 前排,● 前排,"● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排",● 前排,● 前排,"● 前排
● 第二排",● 前排,"● 前排
● 第二排"
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,-,●,●,●,●,●,-,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,-,●,●,●,●,●,-,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,-,-,-,-,-,-,-,-
主动安全,DOW开门预警,●,●,-,●,●,●,●,●,-,●,●,●,●
主动安全,前方碰撞预警,●,●,-,●,●,●,●,●,-,●,●,●,●
主动安全,后方碰撞预警,●,●,-,●,●,●,●,●,-,●,●,●,●
主动安全,内置行车记录仪,●,●,-,●,●,●,●,●,-,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地"
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,中央差速器锁止功能,●,●,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,限滑差速器/差速锁,○ 后桥差速锁,"○ 前桥差速锁
● 后桥差速锁",○ 后桥差速锁,○ 后桥差速锁,"○ 前桥差速锁
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
○ 后桥差速锁","○ 前桥差速锁
○ 后桥差速锁","○ 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
○ 后桥差速锁","○ 前桥差速锁
● 后桥差速锁"
四驱/越野,低速四驱,●,●,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,蠕行模式,●,●,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,坦克转弯,●,●,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,拖挂钩,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,○ 手动,○ 手动,○ 手动,○ 手动,○ 手动
四驱/越野,拖车取电口,●,●,●,●,●,●,●,●,○,○,○,○,○
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 单目,● 单目,-,● 单目,● 单目,● 单目,● 单目,● 单目,-,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 5个,● 5个,● 4个,● 5个,● 5个,● 5个,● 5个,● 5个,● 4个,● 5个,● 5个,● 5个,● 5个
驾驶硬件,超声波雷达数量,● 8个,"● 8个
○ 12个",● 4个,● 8个,"● 8个
○ 12个",● 8个,● 12个,● 12个,● 4个,● 8个,"● 8个
○ 12个",● 8个,"● 8个
○ 12个"
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,● L2,● L2,-,● L2,● L2,● L2,● L2,● L2,-,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,-,●,●,●,●,●,-,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,●,●,-,●,●,●,●,●,-,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,-,●,●,●,●,●,-,●,●,●,●
驾驶功能,车道居中保持,●,●,-,●,●,●,●,●,-,●,●,●,●
驾驶功能,道路交通标识识别,●,●,-,●,●,●,●,●,-,●,●,●,●
驾驶功能,辅助泊车入位,-,○,-,-,○,-,●,●,-,-,○,-,○
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,● 尾门,● 尾门,● 尾门,● 尾门,● 尾门,-,-,-,-,-,-,-,-
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车侧脚踏板,● 固定,● 电动,● 固定,● 固定,● 电动,● 固定,● 电动,● 电动,● 固定,● 固定,● 电动,● 固定,● 电动
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,-,●,●,●,●,●,-,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 电动天窗,● 可开启全景天窗,● 可开启全景天窗,● 电动天窗,● 可开启全景天窗,● 可开启全景天窗,● 电动天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 驾驶位,● 全车,● 全车,● 全车,● 全车,● 全车,● 驾驶位,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,后排侧隐私玻璃,-,●,-,-,●,●,●,●,-,-,●,-,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
