セクション,項目,奥迪Q5L 2026款 45周年典藏版 40 TFSI 时尚动感型,奥迪Q5L 2026款 45周年典藏版 40 TFSI 豪华动感型,奥迪Q5L 2026款 智混豪华型,奥迪Q5L 2026款 千万用户专享版,奥迪Q5L 2026款 45周年典藏版 45 TFSI 豪华动感型,奥迪Q5L 2026款 智混尊享型,奥迪Q5L 2026款 智混旗舰型,奥迪Q5L 2025款 45周年典藏版 40 TFSI 时尚动感型,奥迪Q5L 2025款 45周年典藏版 40 TFSI 豪华动感型,奥迪Q5L 2025款 45周年典藏版 45 TFSI 豪华动感型,奥迪Q5L 2025款 45周年典藏版 45 TFSI 臻选动感型
车轮制动,后轮胎规格,"● 235/55 R19
○ 255/45 R20 (2000元)",● 255/45 R20,"● 235/55 R19
○ 255/40 R21
○ 255/45 R20","● 255/45 R20
○ 255/40 R21",● 255/45 R20,"● 255/45 R20
○ 255/40 R21",● 255/40 R21,"● 235/55 R19
○ 255/45 R20 (2000元)","● 235/55 R19
○ 255/45 R20 (2000元)",● 255/45 R20,● 255/45 R20
车轮制动,备胎规格,● 补胎工具,● 补胎工具,-,-,● 补胎工具,-,-,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后 ○ (1600元),前 ● / 后 ○ (1600元),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ○ (1600元),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ○ (1600元),前 ● / 后 ○ (1600元),前 ● / 后 ○ (1600元),前 ● / 后 ○ (1600元)
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 前排,● 前排,● 全车,● 全车,● 前排,● 全车,● 全车,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●,●,●,●,-,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,●,●,-,●,●,-,-,-,-
主动安全,DOW开门预警,○,○,●,●,○,●,●,○,○,○,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,○ (1200元),○ (1200元),●,●,○ (1200元),●,●,○ (1200元),○ (1200元),○ (1200元),●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 自定义/个性化"
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,能量回收系统,-,-,●,●,-,●,●,-,-,-,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,-,"○ 悬架软硬调节
○ 悬架高低调节","○ 悬架软硬调节
○ 悬架高低调节",-,"○ 悬架软硬调节
○ 悬架高低调节","○ 悬架软硬调节
○ 悬架高低调节",-,-,-,-
驾驶操控,空气悬架,-,-,○ (1.30万元),○ (1.30万元),-,○ (1.30万元),○ (1.30万元),-,-,-,-
驾驶操控,可变转向比,-,-,●,●,-,●,●,-,-,-,-
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,"● 倒车影像
○ 360度全景影像 (3700元)","● 倒车影像
○ 360度全景影像 (3700元)","● 倒车影像
○ 360度全景影像 (4000元)",● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,"● 倒车影像
○ 360度全景影像 (3700元)","● 倒车影像
○ 360度全景影像 (3700元)",● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,-,-,○,-,-,○,○,-,-,-,-
驾驶硬件,前方感知摄像头,● 单目,● 单目,"● 单目
○ 三目",● 单目,● 单目,"● 单目
○ 三目","● 单目
○ 三目",● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,"● 2个
○ 5个","● 2个
○ 5个","● 2个
○ 12个",● 5个,● 5个,"● 5个
○ 12个","● 5个
○ 12个","● 2个
○ 5个","● 2个
○ 5个",● 5个,● 5个
驾驶硬件,车内摄像头数量,-,-,● 1个,● 1个,-,● 1个,● 1个,-,-,-,-
驾驶硬件,超声波雷达数量,"● 8个
○ 12个","● 8个
○ 12个",● 12个,● 12个,● 12个,● 12个,● 12个,"● 8个
○ 12个","● 8个
○ 12个",● 12个,● 12个
驾驶硬件,毫米波雷达数量,"● 1个
○ 3个","● 1个
○ 3个","● 5个
○ 6个",● 5个,"● 1个
○ 3个","● 5个
○ 6个","● 5个
○ 6个","● 1个
○ 3个","● 1个
○ 3个","● 1个
○ 3个",● 3个
驾驶硬件,激光雷达品牌,-,-,○ HUAWEI华为,-,-,○ HUAWEI华为,○ HUAWEI华为,-,-,-,-
驾驶硬件,激光雷达数量,-,-,○ 2个,-,-,○ 2个,○ 2个,-,-,-,-
驾驶功能,巡航系统,● 定速巡航,"● 定速巡航
○ 自适应巡航 (1.62万元)",● 全速自适应巡航,● 全速自适应巡航,"● 定速巡航
○ 自适应巡航 (1.62万元)",● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,"● 定速巡航
○ 自适应巡航 (1.62万元)","● 定速巡航
○ 自适应巡航 (1.62万元)",● 自适应巡航
驾驶功能,辅助驾驶等级,-,○ L2,● L2,● L2,○ L2,● L2,● L2,-,○ L2,○ L2,● L2
驾驶功能,倒车车侧预警系统,○ (1200元),○ (1200元),●,●,○ (1200元),●,●,○ (1200元),○ (1200元),○ (1200元),●
驾驶功能,卫星导航系统,○ (5500元),●,●,●,●,●,●,○ (5500元),●,●,●
驾驶功能,导航路况信息显示,○ (1500元),●,●,●,●,●,●,○ (1500元),●,●,●
驾驶功能,地图品牌,-,-,● 高德,● 高德,-,● 高德,● 高德,-,-,-,-
驾驶功能,并线辅助,○ (7000元),○ (7000元),●,●,○ (7000元),●,●,○ (7000元),○ (7000元),○ (7000元),●
驾驶功能,车道保持辅助系统,-,○ (4400元),●,●,○ (4400元),●,●,-,○ (4400元),○ (4400元),●
驾驶功能,车道居中保持,-,○,●,●,○,●,●,-,○,○,●
驾驶功能,道路交通标识识别,-,-,●,●,-,●,●,-,-,-,-
驾驶功能,辅助泊车入位,○ (1300元),○ (1300元),●,●,●,●,●,○ (1300元),○ (1300元),●,●
驾驶功能,遥控泊车,-,-,○,-,-,○,○,-,-,-,-
驾驶功能,记忆泊车,-,-,○,-,-,○,○,-,-,-,-
驾驶功能,循迹倒车,-,-,○,-,-,○,○,-,-,-,-
驾驶功能,辅助变道,-,-,○ (9000元),○ (9000元),-,●,●,-,-,-,-
驾驶功能,辅助匝道自动驶出(入),-,-,○,-,-,○,○,-,-,-,-
驾驶功能,信号灯识别,-,-,○,-,-,○,○,-,-,-,-
驾驶功能,起步提醒,-,-,○,-,-,○,○,-,-,-,-
驾驶功能,辅助驾驶路段,-,-,"○ 城市路段
○ 高速路段",-,-,"○ 城市路段
○ 高速路段","○ 城市路段
○ 高速路段",-,-,-,-
外观/防盗,外观套件,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,感应后备厢,○,○,-,-,●,-,-,○,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
○ 蓝牙钥匙 (1000元)","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,○ 全车 (4000元),● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,○ 全车 (4000元),● 全车,● 全车,● 全车
外观/防盗,主动闭合式进气格栅,●,●,-,-,●,-,-,●,●,●,●
外观/防盗,远程启动功能,●,●,○ (400元),●,●,●,●,●,●,●,●
外观/防盗,车侧脚踏板,○ 固定 (3500元),○ 固定 (3500元),-,-,○ 固定 (500元),-,-,○ 固定 (3500元),○ 固定 (3500元),○ 固定 (500元),● 固定
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,○ 矩阵式 (8000元),○ 矩阵式 (8000元),○ 矩阵式 (8000元),● 矩阵式,○ 矩阵式 (8000元),● 矩阵式,● 矩阵式,○ 矩阵式 (8000元),○ 矩阵式 (8000元),○ 矩阵式 (8000元),● 矩阵式
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,○ (2000元),○ (2000元),○ (2000元),●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●
车外灯光,转向头灯,-,-,-,-,-,-,-,○,○,○,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯清洗装置,○,○,●,●,○,●,●,○,○,○,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,-,"○ 前排 (500元)
○ 后排","○ 前排 (500元)
○ 后排",-,"○ 前排 (500元)
○ 后排","○ 前排 (500元)
○ 后排",-,-,-,-
天窗/玻璃,后排侧窗遮阳帘,○ 手动 (3500元),○ 手动 (3500元),-,-,○ 手动 (3500元),-,-,○ 手动 (3500元),○ 手动 (3500元),○ 手动 (3500元),● 手动
天窗/玻璃,后排侧隐私玻璃,-,-,●,●,-,●,●,-,-,-,-
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
○ 后视镜记忆 (1800元)
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目 (800元)","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
○ 后视镜记忆
● 后视镜加热
○ 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
○ 后视镜记忆
● 后视镜加热
○ 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
○ 后视镜记忆 (1800元)
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目 (800元)","● 电动调节
● 电动折叠
○ 后视镜记忆 (1000元)
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 10.1英寸,● 10.1英寸,● 14.5英寸,● 14.5英寸,● 10.1英寸,● 14.5英寸,● 14.5英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸
屏幕/系统,中控屏幕类型,-,-,● OLED,● OLED,-,● OLED,● OLED,-,-,-,-
屏幕/系统,副驾娱乐屏尺寸,-,-,● 10.9英寸,● 10.9英寸,-,● 10.9英寸,● 10.9英寸,-,-,-,-
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,"● 支持CarPlay
● 支持Android Auto","● 支持CarPlay
● 支持Android Auto","● 支持CarPlay
● 原厂互联/映射","● 支持CarPlay
● 原厂互联/映射","● 支持CarPlay
● 支持Android Auto","● 支持CarPlay
● 原厂互联/映射","● 支持CarPlay
● 原厂互联/映射","● 支持CarPlay
● 支持Android Auto","● 支持CarPlay
● 支持Android Auto","● 支持CarPlay
● 支持Android Auto","● 支持CarPlay
● 支持Android Auto"
