セクション,項目,艾瑞泽5 2025款 卓越版 1.5L 手动风尚型,艾瑞泽5 2025款 卓越版 1.5L CVT风尚型,
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 盘式,● 盘式,–
车轮制动,驻车制动类型,● 手刹,● 电子驻车,–
车轮制动,前轮胎规格,● 205/55 R16,● 205/55 R16,–
车轮制动,后轮胎规格,● 205/55 R16,● 205/55 R16,–
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,-,-,–
被动安全,前/后排头部气囊(气帘),-,-,–
主动安全,ABS防抱死,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,–
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,–
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,–
主动安全,ISOFIX儿童座椅接口,●,●,–
主动安全,车道偏离预警系统,-,-,–
主动安全,主动刹车/主动安全系统,-,-,–
主动安全,疲劳驾驶提示,-,-,–
驾驶操控,驾驶模式切换,-,"● 运动
● 经济",–
驾驶操控,自动驻车,-,●,–
驾驶操控,上坡辅助,●,●,–
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,–
驾驶硬件,驾驶辅助影像,-,-,–
驾驶硬件,超声波雷达数量,● 3个,● 3个,–
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,–
驾驶功能,卫星导航系统,○,○,–
驾驶功能,导航路况信息显示,-,-,–
驾驶功能,地图品牌,○ 高德,○ 高德,–
驾驶功能,并线辅助,-,-,–
驾驶功能,车道保持辅助系统,-,-,–
驾驶功能,辅助泊车入位,-,-,–
外观/防盗,轮圈材质,● 铝合金,● 铝合金,–
外观/防盗,车内中控锁,●,●,–
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,–
外观/防盗,无钥匙启动系统,-,-,–
外观/防盗,无钥匙进入功能,-,-,–
车外灯光,近光灯光源,"● 卤素
○ LED","● 卤素
○ LED",–
车外灯光,远光灯光源,"● 卤素
○ LED","● 卤素
○ LED",–
车外灯光,LED日间行车灯,●,●,–
车外灯光,自适应远近光,-,-,–
车外灯光,自动头灯,-,-,–
车外灯光,车前雾灯,-,-,–
车外灯光,大灯高度可调,●,●,–
车外灯光,大灯延时关闭,●,●,–
天窗/玻璃,天窗类型,-,-,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,-,-,–
天窗/玻璃,车窗防夹手功能,-,-,–
天窗/玻璃,车内化妆镜,● 副驾驶,● 副驾驶,–
天窗/玻璃,后雨刷,-,-,–
天窗/玻璃,感应雨刷功能,-,-,–
外后视镜,外后视镜功能,● 电动调节,● 电动调节,–
互联/智能化,中控彩色屏幕,○ 触控液晶屏,○ 触控液晶屏,–
互联/智能化,中控屏幕尺寸,○ 9英寸,○ 9英寸,–
互联/智能化,蓝牙/车载电话,○,○,–
互联/智能化,手机互联/映射,○ 原厂互联/映射,○ 原厂互联/映射,–
互联/智能化,语音识别控制系统,○,○,–
互联/智能化,车联网,-,-,–
互联/智能化,OTA升级,-,-,–
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,–
方向盘/内后视镜,方向盘位置调节,● 手动上下调节,● 手动上下调节,–
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,–
方向盘/内后视镜,多功能方向盘,●,●,–
方向盘/内后视镜,方向盘加热,-,-,–
方向盘/内后视镜,方向盘记忆,-,-,–
方向盘/内后视镜,行车电脑显示屏幕,● 单色,● 单色,–
方向盘/内后视镜,全液晶仪表盘,-,-,–
方向盘/内后视镜,液晶仪表尺寸,-,-,–
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,–
车内充电,多媒体/充电接口,-,-,–
车内充电,USB/Type-C接口数量,-,-,–
车内充电,手机无线充电功能,-,-,–
座椅配置,座椅材质,● 仿皮,● 仿皮,–
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)",–
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",–
座椅配置,主/副驾驶座电动调节,-,-,–
座椅配置,前排座椅功能,-,-,–
座椅配置,电动座椅记忆功能,-,-,–
座椅配置,副驾驶位后排可调节按钮,-,-,–
座椅配置,第二排座椅调节,-,-,–
座椅配置,后排座椅放倒形式,● 整体放倒,● 整体放倒,–
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后-,–
座椅配置,后排杯架,-,-,–
音响/车内灯光,扬声器品牌名称,-,-,–
音响/车内灯光,扬声器数量,● 4喇叭,● 4喇叭,–
音响/车内灯光,车内环境氛围灯,-,-,–
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,–
空调/冰箱,后排独立空调,-,-,–
空调/冰箱,后座出风口,-,-,–
空调/冰箱,温度分区控制,-,-,–
空调/冰箱,车载空气净化器,-,-,–
空调/冰箱,车内PM2.5过滤装置,-,-,–
颜色,外观颜色,–,–,–
颜色,内饰颜色,–,–,–
