セクション,項目,银河星耀6 2026款 60km自在版,银河星耀6 2026款 60km启航版,银河星耀6 2026款 60km探索版,银河星耀6 2026款 125km自在版,银河星耀6 2026款 125km远航版,银河星耀6 2026款 125km探索+版,银河星耀6 2026款 125km星舰版,银河星耀6 2026款 130km公务版
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),120,120,120,120,120,120,120,120
电动机,电动机总马力(Ps),163,163,163,163,163,163,163,163
电动机,电动机总扭矩(N·m),210,210,210,210,210,210,210,210
电动机,前电动机最大功率(kW),120,120,120,120,120,120,120,120
电动机,前电动机最大扭矩(N·m),210,210,210,210,210,210,210,210
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 中创新航,● 中创新航,● 中创新航,● 瑞浦兰钧,● 瑞浦兰钧,● 瑞浦兰钧,● 瑞浦兰钧,● 瑞浦兰钧
电池/充电,电池特有技术,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷
电池/充电,WLTC纯电续航里程(km),50,50,50,100,100,100,100,-
电池/充电,CLTC纯电续航里程(km),60,60,60,125,125,125,125,130
电池/充电,电池能量(kWh),8.5,8.5,8.5,17,17,17,17,17
电池/充电,百公里耗电量(kWh/100km),11.0,11.0,11.0,12.1,12.1,12.1,12.1,-
电池/充电,快充功能,不支持,不支持,不支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),-,-,-,35,35,35,35,35
电池/充电,电池快充时间(小时),-,-,-,0.33,0.33,0.33,0.33,0.33
电池/充电,电池快充电量范围(%),-,-,-,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,-,-,-,车左后侧,车左后侧,车左后侧,车左后侧,-
电池/充电,对外交流放电功率(kW),3,3,3,3,3,3,3,3
变速箱,简称,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
变速箱,挡位个数,1,1,1,1,1,1,1,1
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/55 R17,● 215/55 R17,● 215/60 R16
车轮制动,后轮胎规格,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/55 R17,● 215/55 R17,● 215/60 R16
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压报警
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 前排,● 前排,● 主驾驶位
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,●,-,●,●,●,●
主动安全,主动刹车/主动安全系统,-,-,●,-,●,●,●,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,●,-
主动安全,DOW开门预警,-,-,-,-,-,-,●,-
主动安全,前方碰撞预警,-,-,●,-,●,●,●,-
主动安全,后方碰撞预警,-,-,-,-,-,-,●,-
主动安全,哨兵模式/千里眼,-,-,-,-,-,●,●,-
主动安全,低速行车警告,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,-,-,-,-,-,-,●,-
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,-,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前-/后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 倒车影像
驾驶硬件,透明底盘/540度影像,-,-,●,-,-,●,●,-
驾驶硬件,辅助驾驶芯片,-,-,-,-,-,-,● 地平线征程J6M,-
驾驶硬件,芯片总算力,-,-,-,-,-,-,● 128 TOPS,-
驾驶硬件,前方感知摄像头,-,-,● 单目,-,● 单目,● 单目,● 单目,-
驾驶硬件,摄像头数量,● 1个,● 1个,● 5个,● 1个,● 2个,● 5个,● 11个,● 2个
驾驶硬件,车内摄像头数量,-,-,-,-,-,-,● 1个,-
驾驶硬件,超声波雷达数量,-,● 4个,● 4个,● 4个,● 4个,● 4个,● 12个,● 4个
驾驶硬件,毫米波雷达数量,-,-,-,-,-,-,● 3个,-
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,-,-,-,-,-,● 千里浩瀚H3,-
驾驶功能,辅助驾驶等级,-,-,● L2,-,● L2,● L2,● L2,-
驾驶功能,倒车车侧预警系统,-,-,-,-,-,-,●,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,-,-,-,-,●,-
驾驶功能,车道保持辅助系统,-,-,●,-,●,●,●,●
驾驶功能,车道居中保持,-,-,●,-,●,●,●,●
驾驶功能,道路交通标识识别,-,-,●,-,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,●,-
驾驶功能,遥控泊车,-,-,-,-,-,-,●,-
驾驶功能,记忆泊车,-,-,-,-,-,-,●,-
驾驶功能,辅助变道,-,-,-,-,-,-,●,-
驾驶功能,辅助匝道自动驶出(入),-,-,-,-,-,-,●,-
驾驶功能,信号灯识别,-,-,-,-,-,-,●,-
驾驶功能,方向盘离手检测,-,-,-,-,-,-,●,-
驾驶功能,辅助驾驶路段,-,-,-,-,-,-,● 高速路段,-
外观/防盗,轮圈材质,● 钢,● 钢,● 铝合金,● 钢,● 铝合金,● 铝合金,● 铝合金,● 钢
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-
外观/防盗,主动闭合式进气格栅,-,-,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,●,-,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●
车外灯光,辅助驾驶灯,-,-,-,-,-,-,●,-
天窗/玻璃,天窗类型,-,-,● 电动天窗,-,-,● 电动天窗,● 电动天窗,-
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 10.1英寸,● 14.6英寸,● 14.6英寸,● 10.1英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 10.1英寸
互联/智能化,中控屏幕分辨率,● 2K,● 2K,● 2K,● 2K,● 2K,● 2K,● 2K,● 2K
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link"
互联/智能化,语音识别控制系统,●,●,●,●,●,●,●,●
互联/智能化,语音助手唤醒词,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河
互联/智能化,语音免唤醒词,●,●,●,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
互联/智能化,语音连续识别,●,●,●,●,●,●,●,●
互联/智能化,可见即可说,●,●,●,●,●,●,●,●
互联/智能化,面部识别,-,-,-,-,-,-,●,-
互联/智能化,应用商店,●,●,●,●,●,●,●,●
互联/智能化,车载智能系统,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto
互联/智能化,车机智能芯片,-,-,-,-,-,-,● 龍鹰一号,-
互联/智能化,车联网,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 皮质,● 塑料,● 塑料,● 皮质,● 皮质,● 塑料
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,●,●,●,●,●,-
方向盘/内后视镜,液晶仪表尺寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排1个/后排1个,● 前排1个/后排1个,● 前排2个/后排1个,● 前排1个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排1个/后排1个
车内充电,手机无线充电功能,-,-,-,-,-,-,● 前排,-
车内充电,手机无线充电功率,-,-,-,-,-,-,● 50W,-
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,-,-,-,-,主 ● /副-,主 ● /副 ●,-
座椅配置,前排座椅功能,-,-,-,-,-,● 加热,"● 加热
● 通风",-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 整体放倒,● 整体放倒,● 比例放倒,● 整体放倒,● 整体放倒,● 比例放倒,● 比例放倒,● 整体放倒
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后-,前 ● /后 ●,前 ● /后-,前 ● /后-,前 ● /后 ●,前 ● /后 ●,前 ● /后-
座椅配置,后排杯架,-,-,●,-,-,●,●,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 4喇叭
音响/车内灯光,车外扬声器数量,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-,-
颜色,外观颜色,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–
