セクション,セクション_ja,項目,項目_ja,2025年モデル EQB 260,2025年モデル EQB 350 4MATIC,Unnamed 4
被动安全,衝突安全,被动行人保护,歩行者保護(受動),●,●,–
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,–
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,–
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,–
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,–
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,–
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,–
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,"● 前列
● 第二列",–
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,–
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,–
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),○,●,–
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,–
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,○,●,–
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,–
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,○（1800元）,●,–
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,–
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコノミー
● 標準／快適","● スポーツ
● エコノミー
● 標準／快適",–
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,–
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,–
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,–
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,–
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● 360度全方位カメラ,–
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ×2,–
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 2個,● 6個,–
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個,● 12個,–
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,–
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,○ レベル2,● L2,–
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,–
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,–
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳,● 高徳,–
驾驶功能,運転機能,AR实景导航,ARナビゲーション,○,●,–
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,○,●,–
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,–
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,●,●,–
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,–
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,● スポーティスタイル,● スポーティスタイル,–
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,–
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,–
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,–
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,–
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,–
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,–
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,–
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,–
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 全車,● 全車,–
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,–
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリープリヒート機能,●,●,–
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,–
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,–
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,–
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,–
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,–
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,–
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,–
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,–
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,–
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,–
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン機能,● 全車,● 全車,–
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,–
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯",–
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,–
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,● 雨量感応式,● 雨量感応式,–
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納",–
互联/智能化,コネクティビティ／スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,–
互联/智能化,コネクティビティ／スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 10.25インチ,● 10.25インチ,–
互联/智能化,コネクティビティ／スマート機能,中控屏幕分辨率,センターコンソール画面解像度,● 1920×720,● 1920×720,–
互联/智能化,コネクティビティ／スマート機能,中控屏幕像素密度,センターコンソール画面ピクセル密度,● 200PPI,● 200PPI,–
互联/智能化,コネクティビティ／スマート機能,蓝牙/车载电话,Bluetooth/車載電話,●,●,–
互联/智能化,コネクティビティ／スマート機能,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応",–
互联/智能化,コネクティビティ／スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン",–
互联/智能化,コネクティビティ／スマート機能,语音免唤醒词,ウェイクワード不要音声認識,●,●,–
互联/智能化,コネクティビティ／スマート機能,应用商店,アプリストア,●,●,–
互联/智能化,コネクティビティ／スマート機能,车载智能系统,車載インテリジェントシステム,● MBUX,● MBUX,–
互联/智能化,コネクティビティ／スマート機能,车联网,車載ネットワーク,●,●,–
互联/智能化,コネクティビティ／スマート機能,4G/5G网络,4G/5Gネットワーク対応,● 4G,● 4G,–
互联/智能化,コネクティビティ／スマート機能,OTA升级,OTAアップデート,●,●,–
互联/智能化,コネクティビティ／スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドア操作
● ウィンドウ操作
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドア操作
● ウィンドウ操作
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し",–
互联/智能化,コネクティビティ／スマート機能,模拟声浪,エンジンサウンドシミュレーション,-,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,–
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,–
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,–
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,–
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,–
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,○ （9000元）,●,–
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,–
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ （3000元）,○ （3000元）,–
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,–
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席1個,● 前席3個／後席3個,–
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,–
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,–
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）",–
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整",–
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,–
座椅配置,シート装備,前排座椅功能,フロントシート機能,● シートヒーター,● シートヒーター,–
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,–
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,–
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,"● 前後調整
● 背もたれ調整",–
座椅配置,シート装備,座椅布局,シートレイアウト,-,● 2-3-2,–
座椅配置,シート装備,后排座椅放倒形式,後部シートの倒し方,● 分割可倒式,● 分割可倒式,–
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,–
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,–
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,○ Burmester（ベルリンの音響）（8200元）,○ Burmester（ベルリンの音響）（8200元）,–
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 調査中,● 調査中,–
音响/车内灯光,オーディオ・室内照明,杜比全景声(Dolby Atmos),ドルビーアトモス,○,○,–
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,室内アンビエントライト,● 64色,● 64色,–
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,–
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,–
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部エアアウトレット,●,●,–
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,-,–
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,–
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター,●,●,–
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,–
颜色,カラー,外观颜色,外装色,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–
选装包,オプションパッケージ,智能领航辅助Plus,インテリジェントナビアシストPlus,○ オプション（21000元）,-,–
