セクション,項目,AION V 2026款 埃安霸王龙 家庭版 520 智豪版,AION V 2026款 埃安霸王龙 家庭版 520 智尊版,AION V 2026款 埃安霸王龙 家庭版 650 智豪版,AION V 2026款 埃安霸王龙 家庭版 650 智尊版,AION V 2026款 埃安霸王龙 家庭版 650 畅行版,AION V 2025款 埃安霸王龙 650 智享版,AION V 2024款 埃安霸王龙 520 智享版,AION V 2024款 埃安霸王龙 520 智豪版,AION V 2024款 埃安霸王龙 520 智尊版,AION V 2024款 埃安霸王龙 650 智豪版,AION V 2024款 埃安霸王龙 650 智尊版,AION V 2024款 埃安霸王龙 520 激光雷达版,AION V 2024款 埃安霸王龙 650 激光雷达版,AION V 2024款 埃安霸王龙 520 行政版,AION V 2024款 埃安霸王龙 650 行政版,AION V 2025款 埃安霸王龙 插电混动
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70
发动机,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力
发动机,燃油标号,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,供油方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,缸盖材料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,缸体材料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,环保标准,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,国VI
电动机,前电动机品牌,锐湃动力,锐湃动力,锐湃动力,锐湃动力,锐湃动力,锐湃动力,锐湃动力,锐湃动力,锐湃动力,锐湃动力,锐湃动力,锐湃动力,锐湃动力,锐湃动力,锐湃动力,-
电动机,前电动机型号,TZ180XYXOF51,TZ180XYXOF51,TZ180XYXOF51,TZ180XYXOF51,TZ180XYXOF51,TZ180XYXOF51,TZ180XYXOF51,TZ180XYXOF51,TZ180XYXOF51,TZ180XYXOF51,TZ180XYXOF51,TZ180XYXOF51,TZ180XYXOF51,TZ180XYXOF51,TZ180XYXOF51,-
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),150,150,165,165,165,165,150,150,150,165,165,150,165,150,165,-
电动机,电动机总马力(Ps),204,204,224,224,224,224,204,204,204,224,224,204,224,204,224,-
电动机,电动机总扭矩(N·m),205,205,240,240,240,240,240,240,240,240,240,240,240,240,240,-
电动机,前电动机最大功率(kW),150,150,165,165,165,165,150,150,150,165,165,150,165,150,165,-
电动机,前电动机最大扭矩(N·m),205,205,240,240,240,240,240,240,240,240,240,240,240,240,240,-
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机,三电系统质保,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 八年或15万公里
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,"● 中创新航
● 因湃电池
● 时代广汽","● 中创新航
● 因湃电池
● 时代广汽","● 中创新航
● 因湃电池","● 中创新航
● 因湃电池","● 中创新航
● 因湃电池","● 中创新航
● 因湃电池","● 中创新航
● 因湃电池
● 时代广汽","● 中创新航
● 因湃电池
● 时代广汽","● 中创新航
● 因湃电池
● 时代广汽","● 中创新航
● 因湃电池","● 中创新航
● 因湃电池","● 中创新航
● 因湃电池
● 时代广汽","● 中创新航
● 因湃电池","● 中创新航
● 因湃电池
● 时代广汽","● 中创新航
● 因湃电池",● 中创新航
电池/充电,电池特有技术,弹匣电池,弹匣电池,弹匣电池,弹匣电池,弹匣电池,弹匣电池,弹匣电池,弹匣电池,弹匣电池,弹匣电池,弹匣电池,弹匣电池,弹匣电池,弹匣电池,弹匣电池,-
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),520,520,650,650,650,650,520,520,520,650,650,520,650,520,650,-
电池/充电,电池能量(kWh),62.7/62.2/62.27,62.7/62.2/62.27,75.26/74.98,75.26/74.98,75.26/74.98,74.976/75.26,62.268/62.27/62.681,62.268/62.27/62.681,62.268/62.27/62.681,74.976/75.26,74.976/75.26,62.268/62.27/62.681,74.976/75.26,62.268/62.27/62.681,74.976/75.26,-
电池/充电,百公里耗电量(kWh/100km),12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,-
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.37,0.37,0.37,0.37,0.37,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,-
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充时间(小时),-,-,-,-,-,12.9,10.9,10.9,10.9,12.9,12.9,10.9,12.9,10.9,12.9,-
电池/充电,电池慢充电量范围(%),-,-,-,-,-,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100
电池/充电,慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,快充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,-
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,-
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/55 R18,● 215/55 R18,● 215/55 R18,● 215/55 R18,● 215/55 R18,● 215/55 R18,● 215/55 R18,● 225/45 R19,● 225/45 R19,● 225/45 R19,● 225/45 R19,● 225/45 R19,● 225/45 R19,● 225/45 R19,● 225/45 R19,● 215/55 R18
车轮制动,后轮胎规格,● 215/55 R18,● 215/55 R18,● 215/55 R18,● 215/55 R18,● 215/55 R18,● 215/55 R18,● 215/55 R18,● 225/45 R19,● 225/45 R19,● 225/45 R19,● 225/45 R19,● 225/45 R19,● 225/45 R19,● 225/45 R19,● 225/45 R19,● 215/55 R18
车轮制动,备胎规格,"● 补胎工具
○ 非全尺寸 (1000元)","● 补胎工具
○ 非全尺寸 (1000元)","● 补胎工具
○ 非全尺寸 (1000元)","● 补胎工具
○ 非全尺寸 (1000元)","● 补胎工具
○ 非全尺寸 (1000元)","● 补胎工具
○ 非全尺寸 (1000元)","● 补胎工具
○ 非全尺寸 (1000元)","● 补胎工具
○ 非全尺寸 (1000元)","● 补胎工具
○ 非全尺寸 (1000元)","● 补胎工具
○ 非全尺寸 (1000元)","● 补胎工具
○ 非全尺寸 (1000元)","● 补胎工具
○ 非全尺寸 (1000元)","● 补胎工具
○ 非全尺寸 (1000元)",● 非全尺寸,● 非全尺寸,"● 补胎工具
○ 非全尺寸 (1000元)"
车轮制动,备胎放置方式,-,-,-,-,-,-,-,-,-,-,-,-,-,● 后备厢内,● 后备厢内,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,-
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,-
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,车道偏离预警系统,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-
主动安全,主动刹车/主动安全系统,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-
主动安全,疲劳驾驶提示,-,-,-,○,○,-,-,-,-,-,-,-,●,-,-,-
主动安全,DOW开门预警,-,●,-,●,●,-,-,-,-,-,-,-,-,-,-,-
主动安全,前方碰撞预警,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-
主动安全,后方碰撞预警,-,●,-,●,●,-,-,-,-,-,-,-,-,-,-,-
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,内置行车记录仪,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适",-
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶硬件,前/后驻车雷达,前-/后 ●,前 ○ /后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前-/后 ●,-
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,-
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-
驾驶硬件,辅助驾驶芯片,-,-,-,○ 英伟达 Orin-X,○ 英伟达 Orin-X,-,-,-,-,-,-,● 英伟达 Orin-X,● 英伟达 Orin-X,-,-,-
驾驶硬件,前方感知摄像头,● 单目,"● 单目
○ 双目",● 单目,● 双目,● 双目,-,-,● 单目,● 单目,● 单目,● 单目,● 双目,● 双目,● 单目,● 单目,-
驾驶硬件,摄像头数量,● 5个,"● 5个
○ 7个",● 5个,"● 7个
○ 11个","● 7个
○ 11个",● 4个,-,● 5个,● 5个,● 5个,● 5个,● 11个,● 11个,● 5个,● 5个,-
驾驶硬件,超声波雷达数量,● 3个,"● 3个
○ 12个",● 3个,● 12个,● 12个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 12个,● 12个,● 3个,● 3个,-
驾驶硬件,毫米波雷达数量,● 1个,● 3个,● 1个,● 3个,● 3个,-,-,● 1个,● 1个,● 1个,● 1个,● 5个,● 5个,● 1个,● 1个,-
驾驶硬件,激光雷达数量,-,-,-,○ 1个,○ 1个,-,-,-,-,-,-,● 1个,● 1个,-,-,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,-
驾驶功能,辅助驾驶系统,● 广汽GSD,● 广汽GSD,● 广汽GSD,● 广汽GSD,● 广汽GSD,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,-,-,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,-
驾驶功能,倒车车侧预警系统,-,●,-,●,●,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,-
驾驶功能,并线辅助,-,●,-,●,●,-,-,-,-,-,-,●,●,-,-,-
驾驶功能,车道保持辅助系统,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-
驾驶功能,车道居中保持,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-
驾驶功能,道路交通标识识别,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-
驾驶功能,辅助泊车入位,-,○,-,●,●,-,-,-,-,-,-,●,●,-,-,-
驾驶功能,遥控泊车,-,○,-,●,●,-,-,-,-,-,-,●,●,-,-,-
驾驶功能,记忆泊车,-,○,-,●,●,-,-,-,-,-,-,●,●,-,-,-
驾驶功能,辅助变道,-,○,-,●,●,-,-,-,-,-,-,●,●,-,-,-
驾驶功能,辅助匝道自动驶出(入),-,○,-,●,●,-,-,-,-,-,-,-,-,-,-,-
