セクション,項目,长安启源A07 2026款 超长蓝鲸增程版 310豪华型,长安启源A07 2026款 超长蓝鲸增程版 310旗舰型,长安启源A07 2026款 超长蓝鲸纯电版 730豪华型,长安启源A07 2026款 超长蓝鲸纯电版 730旗舰型,长安启源A07 2026款 550优享型,长安启源A07 2025款 增程 真香版 230 豪华版,长安启源A07 2025款 蓝鲸增程版 140精英型,长安启源A07 2025款 蓝鲸增程版 230尊贵型,长安启源A07 2025款 蓝鲸增程版 230旗舰型,长安启源A07 2025款 蓝鲸纯电版 515典藏型,长安启源A07 2025款 蓝鲸纯电版 525豪华型,长安启源A07 2025款 蓝鲸纯电版 525旗舰型,长安启源A07 2025款 蓝鲸纯电版 625豪华型,长安启源A07 2025款 蓝鲸纯电版 625旗舰型,长安启源A07 2025款 蓝鲸纯电版 710旗舰型
发动机,最大扭矩(N·m),125,125,-,-,-,-,-,125,125,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),3000,3000,-,-,-,-,-,3000,3000,-,-,-,-,-,-
发动机,最大净功率(kW),70,70,-,-,-,66,66,70,70,-,-,-,-,-,-
发动机,能源类型,增程式,增程式,纯电动,纯电动,纯电动,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
发动机,燃油标号,92号,92号,-,-,-,92号,92号,92号,92号,-,-,-,-,-,-
发动机,供油方式,多点电喷,多点电喷,-,-,-,多点电喷,多点电喷,多点电喷,多点电喷,-,-,-,-,-,-
发动机,缸盖材料,铝合金,铝合金,-,-,-,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-
发动机,缸体材料,铝合金,铝合金,-,-,-,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-
发动机,环保标准,国VI,国VI,-,-,-,国VI,国VI,国VI,国VI,-,-,-,-,-,-
电动机,后电动机型号,-,-,-,-,XTDM67,XTDM16,XTDM66,XTDM16,XTDM16,XTDM27,XTDM27,XTDM27,XTDM27,XTDM27,XTDM16
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),200,200,190,190,200,160,175,160,160,190,190,190,190,190,160
电动机,电动机总马力(Ps),272,272,258,258,272,218,238,218,218,258,258,258,258,258,218
电动机,电动机总扭矩(N·m),290,290,290,290,290,320,320,320,320,320,320,320,320,320,320
电动机,后电动机最大功率(kW),200,200,190,190,200,160,175,160,160,190,190,190,190,190,160
电动机,后电动机最大扭矩(N·m),290,290,290,290,290,320,320,320,320,320,320,320,320,320,320
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 中创新航,● 中创新航,● 宁德时代,● 中创新航,● 宁德时代,● 宁德时代,● 宁德时代,● 中创新航,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 中创新航
电池/充电,电池特有技术,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池
电池/充电,电池冷却方式,冷媒直冷,冷媒直冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),225,225,-,-,-,170,100,175,175,-,-,-,-,-,-
电池/充电,CLTC纯电续航里程(km),310,310,730,730,550,230,140,230,230,515,525,525,625,625,710
电池/充电,CLTC综合续航(km),-,-,-,-,-,1230,1140,1330,1330,-,-,-,-,-,-
电池/充电,电池能量(kWh),35.07,35.07,77.94,77.94,56.12,28.4,18.4,28.4,28.4,58.1,56.1,56.1,68.8,68.8,79.97
电池/充电,电池能量密度(Wh/kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,167
电池/充电,百公里耗电量(kWh/100km),15.8,15.8,12.5,12.5,12,13.1,13.1,13.1,13.1,12.3,12.5,12.5,12.7,12.7,12.9
电池/充电,电池组质保,-,-,-,-,● 八年或60万公里,-,-,-,-,-,-,-,-,-,-
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),105,105,194,194,147,-,-,85,85,-,170,170,170,170,-
电池/充电,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0.42,0.25,0.25,0.25,0.25,0.58
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 245/45 R19,● 245/45 R19,● 225/55 R18,● 225/55 R18,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19
车轮制动,后轮胎规格,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 245/45 R19,● 245/45 R19,● 225/55 R18,● 225/55 R18,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19
车轮制动,备胎规格,-,-,-,-,-,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ○ /后 ○,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,●,●,●,●,●,●,●,●,●,●
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,○,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,○,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,DOW开门预警,●,●,●,●,○,-,-,●,●,-,-,●,-,●,●
主动安全,前方碰撞预警,●,●,●,●,○,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,○,-,-,●,●,-,-,●,-,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ○ /后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,○ 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 5个,● 5个,● 5个,● 5个,"● 4个
○ 5个",● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万,● 800万,○ 800万,● 200万,● 200万,● 800万,● 800万,● 200万,● 800万,● 800万,● 800万,● 800万,● 800万
驾驶硬件,环视摄像头像素,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,"● 4个
○ 12个",● 3个,● 3个,● 12个,● 12个,● 3个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,● 5个,○ 5个,● 1个,● 1个,● 3个,● 3个,● 1个,● 1个,● 3个,● 1个,● 3个,● 3个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,○ 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● 天枢智能驾驶辅助视觉版,● 天枢智能驾驶辅助视觉版,● 天枢智能驾驶辅助视觉版,● 天枢智能驾驶辅助视觉版,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,○ L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,-,-,-,●,●,-,-,●,-,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,AR实景导航,-,●,-,●,-,-,●,-,●,-,-,●,-,●,●
驾驶功能,并线辅助,●,●,●,●,○,-,-,●,●,-,-,●,-,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,○,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,○,●,●,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,○,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,○,-,-,●,●,-,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,○,-,-,●,●,-,●,●,●,●,●
驾驶功能,循迹倒车,●,●,●,●,○,-,-,●,●,-,●,●,●,●,●
驾驶功能,辅助变道,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,方向盘离手检测,●,●,●,●,-,●,●,●,●,-,●,●,●,●,●
驾驶功能,辅助驾驶路段,● 高速路段,● 高速路段,● 高速路段,● 高速路段,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,无框设计车门,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢,●,●,●,●,○,●,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,○,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
