セクション,セクション_ja,項目,項目_ja,2025年モデル 増程 Ultra 後輪駆動版,2025年モデル 増程 Ultra 4WD版,2025年モデル 純電 Ultra 後輪駆動版,Unnamed 5
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4785×1930×1625mm,4785×1930×1625mm,4785×1930×1620mm,–
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.1,4.3,7.1,–
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速(秒),3.5,2,3.6,–
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,210,200,–
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.68,0.9,-,–
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,6.1,6.5,-,–
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),2.26,2.43,1.8,–
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.94,3.33,-,–
基本参数,基本仕様,整车质保,車両保証,● 4年または10万km,● 4年または10万km,● 4年または10万km,–
基本参数,基本仕様,整备质量(kg),車両重量(kg),2220,2335,2235,–
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2595,2710,2610,–
车身,車体,长度(mm),全長(mm),4785,4785,4785,–
车身,車体,宽度(mm),全幅(mm),1930,1930,1930,–
车身,車体,高度(mm),全高(mm),1625,1625,1620,–
车身,車体,轴距(mm),ホイールベース(mm),2880,2880,2880,–
车身,車体,前轮距(mm),前トレッド(mm),1655,1655,1655,–
车身,車体,后轮距(mm),後トレッド(mm),1650,1650,1650,–
车身,車体,满载最小离地间隙(mm),満載時最低地上高(mm),150,150,150,–
车身,車体,空载最小离地间隙(mm),空車時最低地上高(mm),175,175,170,–
车身,車体,接近角(°),アプローチアングル(°),17,17,17,–
车身,車体,离去角(°),デパーチャーアングル(°),24,24,24,–
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,–
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,–
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,–
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,–
车身,車体,油箱容积(L),燃料タンク容量(L),56,56,-,–
车身,車体,前备厢容积(L),フロントトランク容量(L),-,-,80,–
车身,車体,后备厢容积(L),ラゲッジルーム容量(L),369-776,369-776,369-776,–
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,–
发动机,エンジン,发动机型号,エンジン型式,H15RT,H15RT,-,–
发动机,エンジン,排量(mL),排気量(mL),1499,1499,-,–
发动机,エンジン,排量(L),排気量(L),1.5,1.5,-,–
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,-,–
发动机,エンジン,发动机布局,エンジン配置,横置,横置,-,–
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,-,–
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,-,–
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,-,–
发动机,エンジン,压缩比,圧縮比,15,15,-,–
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,-,–
发动机,エンジン,缸径(mm),ボア(mm),73.5,73.5,-,–
发动机,エンジン,行程(mm),ストローク(mm),88.32,88.32,-,–
发动机,エンジン,最大马力(Ps),最高出力(Ps),152,152,-,–
发动机,エンジン,最大功率(kW),最大出力(kW),112,112,-,–
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,–
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),216,216,-,–
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,–
发动机,エンジン,最大净功率(kW),最大出力(kW),110,110,-,–
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,純電動,–
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,-,–
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,-,–
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,-,–
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,-,–
发动机,エンジン,环保标准,環境基準,国VI排ガス規制,国VI排ガス規制,-,–
电动机,モーター,前电动机品牌,前モーターブランド,-,ファーウェイ技術,-,–
电动机,モーター,后电动机品牌,後モーターブランド,ファーウェイ技術,ファーウェイ技術,ファーウェイ技術,–
电动机,モーター,前电动机型号,前モーター型式,-,CYS210XY0P1,-,–
电动机,モーター,后电动机型号,後モーター型式,CTZ196XY0P4,CTZ196XY0P4,CTZ196XY0P4,–
电动机,モーター,电机类型,モーター種類,永久磁石同期型,前：交流/非同期 後：永久磁石同期型,永久磁石同期型,–
电动机,モーター,电动机总功率(kW),モーター総出力(kW),200,365,200,–
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),272,496,272,–
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),360,675,360,–
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,165,-,–
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,315,-,–
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),200,200,200,–
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),360,360,360,–
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,デュアルモーター,単一モーター,–
电动机,モーター,电机布局,モーター配置,後置,前置＋後置,後置,–
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km,● 8年または16万km,● 8年または16万km,–
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● リン酸鉄リチウム電池,–
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,–
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,–
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),195,175,-,–
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),255,230,602,–
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1440,1275,-,–
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),42,42,83,–
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),19.5,20.9,15.5,–
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,–
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),73,73,100,–
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,–
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),20-80,20-80,30-80,–
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),5,5,10.5,–
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電量範囲(%),20-90,20-90,10-90,–
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.5,3.5,3.5,–
电池/充电,バッテリー/充電,对外直流放电功率(kW),外部直流放電出力(kW),15,15,-,–
变速箱,トランスミッション,简称,略称,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,–
变速箱,トランスミッション,挡位个数,段数,1,1,1,–
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,–
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● デュアルモーター四輪駆動,● 後置後輪駆動,–
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,● 電動四輪駆動,-,–
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,–
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,–
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,–
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,–
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,–
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,–
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,–
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 255/50 R19
○ 255/45 R20（6000元）","● 255/50 R19
○ 255/45 R20（6000元）","● 255/50 R19
○ 255/45 R20（6000元）",–
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 255/50 R19
○ 255/45 R20","● 255/50 R19
○ 255/45 R20","● 255/50 R19
○ 255/45 R20",–
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,–
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,–
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,–
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,–
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,–
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,–
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,–
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,–
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,–
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,–
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,–
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,–
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,–
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,–
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,–
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,–
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,–
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,–
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,–
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,–
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,–
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,–
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ",–
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,–
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,–
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,–
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,–
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,–
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,–
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,–
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,–
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 11個,● 11個,● 11個,–
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 800万画素,● 800万画素,● 800万画素,–
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 2個,● 2個,● 2個,–
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,–
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 3個,● 3個,● 3個,–
驾驶硬件,運転ハードウェア,激光雷达品牌,ライダー（LiDAR）ブランド,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,–
驾驶硬件,運転ハードウェア,激光雷达数量,ライダー（LiDAR）台数,● 1個,● 1個,● 1個,–
驾驶硬件,運転ハードウェア,激光雷达线数,ライダー（LiDAR）ライン数,● 192ライン,● 192ライン,● 192ライン,–
驾驶硬件,運転ハードウェア,激光雷达10%反射率探测距离,ライダー（LiDAR）10%反射率検出距離,● 180メートル,● 180メートル,● 180メートル,–
驾驶硬件,運転ハードウェア,激光雷达点云数量,ライダー（LiDAR）点群数,● 184万/秒,● 184万/秒,● 184万/秒,–
驾驶硬件,運転ハードウェア,前方最大探测距离,前方最大検出距離,● 250メートル,● 250メートル,● 250メートル,–
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,–
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,–
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,–
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,–
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,–
驾驶功能,運転機能,导航路况信息显示,ナビ道路状況情報表示,●,●,●,–
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,–
驾驶功能,運転機能,高精定位,高精度測位,●,●,●,–
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,–
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,–
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,–
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,–
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,–
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,–
驾驶功能,運転機能,记忆泊车,メモリーパーク,○,○,○,–
驾驶功能,運転機能,循迹倒车,トレースバック,●,●,●,–
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●,–
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,●,–
驾驶功能,運転機能,信号灯识别,信号認識,●,●,●,–
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,–
驾驶功能,運転機能,辅助驾驶路段,運転支援区間,"○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間",–
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,–
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,–
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,-,–
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,–
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー
● NFC/RFIDキー
● スマートウォッチ/リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー
● スマートウォッチ/リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー
● スマートウォッチ/リストバンドキー",–
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,–
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーなしエントリー機能,● 全車,● 全車,● 全車,–
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,–
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブクローズグリル,-,-,●,–
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,–
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,–
外观/防盗,エクステリア・盗難防止,对外放电,外部放電,●,●,●,–
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,–
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,–
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,–
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,–
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,–
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,–
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,–
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,–
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,–
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,–
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウ昇降機能,● 全車,● 全車,● 全車,–
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,–
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席",–
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,●,–
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯",–
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,–
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー機能,● 雨量感知式,● 雨量感知式,● 雨量感知式,–
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納",–
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,–
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,–
互联/智能化,コネクティビティ/スマート機能,中控屏幕类型,センターコンソール画面タイプ,● LCD,● LCD,● LCD,–
互联/智能化,コネクティビティ/スマート機能,中控屏幕分辨率,センターコンソール画面解像度,● 1920×1080,● 1920×1080,● 1920×1080,–
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,–
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,● 純正連携/ミラーリング,● 純正連携/ミラーリング,● 純正連携/ミラーリング,–
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ",–
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● 小芸（AIアシスタント名）,● 小芸（AIアシスタント名）,● 小芸（AIアシスタント名）,–
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,音声起動ワード不要,●,●,●,–
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,–
互联/智能化,コネクティビティ/スマート機能,语音连续识别,音声連続認識,●,●,●,–
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話せる,●,●,●,–
互联/智能化,コネクティビティ/スマート機能,面部识别,顔認証,●,●,●,–
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,●,●,●,–
互联/智能化,コネクティビティ/スマート機能,车载智能系统,車載インテリジェントシステム,● HarmonyOS,● HarmonyOS,● HarmonyOS,–
互联/智能化,コネクティビティ/スマート機能,车机系统内存(GB),車載システムメモリ(GB),● 16,● 16,● 16,–
互联/智能化,コネクティビティ/スマート機能,车机系统存储(GB),車載システムストレージ(GB),● 128,● 128,● 128,–
互联/智能化,コネクティビティ/スマート機能,车联网,車載ネットワーク,●,●,●,–
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,–
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,●,–
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● メンテナンス/修理予約",–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ハンドル位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,–
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,–
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ハンドル,●,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,–
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,–
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,–
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,●,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,–
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",–
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,–
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 100W,● 100W,● 100W,–
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,–
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,–
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,●,●,●,–
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,–
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）",–
