セクション,項目,五菱宏光 2025款 1.5L 实用型 5座,五菱宏光 2025款 1.5L 舒适型 7座,五菱宏光 2021款 改款 1.5L S基本型 液压助力LAR,五菱宏光 2021款 改款1.5L S基本型 电动助力LAR,五菱宏光 2021款 改款 1.5L S基本型封窗车 液压助力LAR,五菱宏光 2021款 改款1.5L S基本型封窗车 电动助力LAR,五菱宏光 2021款 改款 1.5L S标准型 液压助力LAR,五菱宏光 2021款 改款1.5L S标准型 电动助力LAR,五菱宏光 2021款 改款 1.5L S舒适型 液压助力LAR,五菱宏光 2021款 改款1.5L S舒适型 电动助力LAR,五菱宏光 2020款 1.2L S基本型国VI LSI,五菱宏光 2020款 1.2L S基本型封窗车国VI LSI
发动机,排量(mL),1498,1498,1485,1485,1485,1485,1485,1485,1485,1485,1206,1206
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.2,1.2
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),110,110,99,99,99,99,99,99,99,99,76,76
发动机,最大功率(kW),81,81,73,73,73,73,73,73,73,73,56,56
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),145,145,140,140,140,140,140,140,140,140,110,110
发动机,最大扭矩转速(rpm),-,-,3400-4400,3400-4400,3400-4400,3400-4400,3400-4400,3400-4400,3400-4400,3400-4400,3000-4000,3000-4000
发动机,最大净功率(kW),78,78,-,-,-,-,-,-,-,-,-,-
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动
变速箱,挡位个数,6,6,6,6,6,6,6,6,6,6,5,5
变速箱,变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
底盘转向,驱动方式,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 五连杆式非独立悬架,● 五连杆式非独立悬架,● 五连杆式非独立悬架,● 五连杆式非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 液压助力,● 电动助力,● 液压助力,● 电动助力,● 液压助力,● 电动助力,● 液压助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 盘式,● 盘式
车轮制动,后制动器类型,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式
车轮制动,驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-
车轮制动,前轮胎规格,● 185/70 R14,● 185/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 185/70 R14,● 185/70 R14,● 185/70 R14,● 185/70 R14,● 175/70 R14,● 175/70 R14
车轮制动,后轮胎规格,● 185/70 R14,● 185/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 185/70 R14,● 185/70 R14,● 185/70 R14,● 185/70 R14,● 175/70 R14,● 175/70 R14
车轮制动,备胎规格,● 全尺寸,● 全尺寸,-,-,-,-,-,-,-,-,-,-
车轮制动,备胎放置方式,● 底挂式,● 底挂式,-,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,-,主 ● /副 ●,-,-,-,-,-,-,-,-,-,-
被动安全,前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-,-,-
主动安全,牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-
主动安全,车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-
主动安全,胎压监测功能,●,●,● 胎压报警,● 胎压报警,-,-,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,○ 胎压报警,-
主动安全,安全带未系提醒,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,ISOFIX儿童座椅接口,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,自动驻车,-,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,前/后驻车雷达,-,前-/后 ●,-,-,-,-,-,-,前-/后 ●,前-/后 ●,-,-
驾驶硬件,驾驶辅助影像,-,● 倒车影像,-,-,-,-,○ 倒车影像,○ 倒车影像,● 倒车影像,● 倒车影像,-,-
驾驶功能,巡航系统,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,卫星导航系统,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铁,● 铁,● 钢,● 钢,● 钢,● 钢,"● 钢
○ 铝合金","● 钢
○ 铝合金","● 钢
○ 铝合金","● 钢
○ 铝合金",● 钢,● 钢
外观/防盗,车顶行李架,-,-,-,-,-,-,●,●,●,●,-,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,-,-,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,"● 机械钥匙
○ 遥控钥匙","● 机械钥匙
○ 遥控钥匙"
外观/防盗,无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,近光灯光源,● LED,● LED,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素
车外灯光,远光灯光源,● LED,● LED,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素
车外灯光,LED日间行车灯,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,自动头灯,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,车前雾灯,-,-,-,-,-,-,● 卤素,● 卤素,● 卤素,● 卤素,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,天窗类型,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,前/后电动车窗,前 ● /后-,前 ● /后 ●,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后-,前 ● /后-
天窗/玻璃,车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,●,●,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,-,● 电动调节,-,-,-,-,-,-,● 电动调节,● 电动调节,-,-
互联/智能化,中控彩色屏幕,-,● 触控液晶屏,-,-,-,-,○,○,●,●,-,-
互联/智能化,中控屏幕尺寸,-,● 8英寸,-,-,-,-,-,-,-,-,-,-
互联/智能化,蓝牙/车载电话,●,●,-,-,-,-,○,○,●,●,-,-
互联/智能化,手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,车联网,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,OTA升级,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料
方向盘/内后视镜,方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,-,-,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,内后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,多媒体/充电接口,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排1个,● 前排1个,-,-,-,-,-,-,-,-,-,-
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,座椅材质,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 仿皮,● 仿皮,● 织物,● 织物
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,"● 前后调节
● 靠背调节","○ 前后调节
○ 靠背调节","○ 前后调节
○ 靠背调节",-,-,"○ 前后调节
○ 靠背调节","○ 前后调节
○ 靠背调节","○ 前后调节
○ 靠背调节","○ 前后调节
○ 靠背调节","○ 前后调节
○ 靠背调节",-
座椅配置,后排座椅放倒形式,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,-,-,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,-
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后 ●,前-/后 ○,前-/后 ○,-,-,前-/后 ○,前-/后 ○,前 ● /后 ○,前 ● /后 ○,前-/后 ○,-
座椅配置,后排杯架,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,○ 手动空调,○ 手动空调,○ 手动空调,○ 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,○ 手动空调,○ 手动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,●,●,●,●,-,-
空调/冰箱,后座出风口,-,-,-,-,-,-,●,●,●,●,○,-
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-
