セクション,セクション_ja,項目,項目_ja,2026年モデル 純電動 350 L 4MATIC 鎏金版,2025年モデル 350 e L 4MATIC 典蔵版,Unnamed 4
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),14.4,21.6,–
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,オプション装備,–
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),320,60,–
电池/充电,バッテリー/充電,高压快充,高圧急速充電,対応,-,–
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム(V),800,-,–
电池/充电,バッテリー/充電,电池快充时间(分钟),バッテリー急速充電時間(分),22,-,–
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.37,0.5,–
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),10-80,10-80,–
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),13.5,4.5,–
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),10-100,0-100,–
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,–
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両右後方,車両右後方,–
变速箱,トランスミッション,简称,略称,2速オートマチック,9速マニュアルモード付AT,–
变速箱,トランスミッション,挡位个数,段数,2,9,–
变速箱,トランスミッション,变速箱类型,トランスミッション形式,オートマチックトランスミッション（AT）,マニュアルモード付AT,–
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● デュアルモーター4WD,● フロントエンジン4WD,–
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動4WD,● パートタイム4WD,–
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,● 多板クラッチ,–
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立懸架,● マルチリンク独立懸架,–
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立懸架,● マルチリンク独立懸架,–
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,–
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,–
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,–
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,–
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,–
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/50 R20タイヤ,● 235/55 R19タイヤ,–
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 265/45 R20タイヤ,● 255/50 R19タイヤ,–
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,–
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席● / 助手席●,運転席● / 助手席●,–
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席● / 後席●,前席● / 後席,–
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席● / 後席●,前席● / 後席●,–
被动安全,衝突安全,膝部气囊,ニーエアバッグ,"● 運転席膝部エアバッグ
● 助手席膝部エアバッグ",● 運転席膝部エアバッグ,–
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,–
被动安全,衝突安全,被动行人保护,歩行者保護(受動),-,●,–
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,–
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,–
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,–
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,–
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,–
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,–
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,–
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,–
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,–
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,–
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,–
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,-,–
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,–
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,-,–
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,-,–
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,–
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,–
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,–
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● オフロード
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● カスタム／パーソナライズ",–
驾驶操控,ドライビングコントロール,单踏板模式,ワンペダルモード,●,-,–
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,–
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,–
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,–
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,–
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,"○ サスペンション硬さ調整
○ サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整",–
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,○,●,–
驾驶操控,ドライビングコントロール,空气悬挂类型,エアサスペンションタイプ,○ ダブルチャンバー,-,–
驾驶操控,ドライビングコントロール,可变转向比,可変ステアレシオ,-,●,–
驾驶操控,ドライビングコントロール,整体主动转向系统,統合アクティブステアリングシステム,○,-,–
驾驶操控,ドライビングコントロール,后轮转向角度(°),後輪操舵角度(°),○ ±4.5,-,–
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席● / 後席●,前席● / 後席●,–
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,–
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,–
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,"● モノカメラ
○ ステレオカメラ",–
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 10個,"● 5個
○ 6個",–
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 1個,-,–
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,–
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 5個,● 1個,–
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,–
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● MB.DRIVEアシストドライブPro,-,–
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,–
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,-,–
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,–
驾驶功能,運転機能,导航路况信息显示,ナビ道路状況表示,●,●,–
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,–
驾驶功能,運転機能,AR实景导航,ARナビゲーション,●,-,–
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,–
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,–
驾驶功能,運転機能,车道居中保持,車線中央維持,●,○,–
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,○,–
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,–
驾驶功能,運転機能,循迹倒车,トレースバック,●,-,–
驾驶功能,運転機能,辅助变道,車線変更支援,●,○,–
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動出入支援,●,-,–
驾驶功能,運転機能,信号灯识别,信号認識,●,-,–
驾驶功能,運転機能,辅助驾驶路段,支援運転区間,"● 市街地
● 高速道路",-,–
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,○ スポーツスタイル,● スポーツスタイル,–
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,–
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,–
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,–
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,–
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,–
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,-,●,–
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,–
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,–
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,–
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー,● 全車,● 全車,–
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,-,–
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,-,●,–
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,–
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,-,● 固定式,–
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,–
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,–
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,–
车外灯光,外部照明,灯光特色功能,ライト特長機能,-,○ デジタル式（2.40万元）,–
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,–
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,–
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,–
车外灯光,外部照明,转向头灯,コーナリングライト,-,○,–
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,–
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,–
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,–
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉可能パノラマサンルーフ,–
天窗/玻璃,サンルーフ・ガラス,星空天窗,スターライトサンルーフ,●,-,–
天窗/玻璃,サンルーフ・ガラス,光感天幕,光感サンルーフ,●,-,–
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席● / 後席●,前席● / 後席●,–
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ,● 全車,● 全車,–
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止,●,●,–
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,多層遮音ガラス（サイド）,● 前席,● 前席,–
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,リアサイドプライバシーガラス,○,-,–
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯",–
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,–
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー,● 雨量感知式,● 雨量感知式,–
天窗/玻璃,サンルーフ・ガラス,可加热喷水嘴,ヒーター付ウォッシャーノズル,●,-,–
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納",–
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,–
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,"● 14インチ
○ 39.1インチ（1.02万元）",● 11.9インチ,–
互联/智能化,コネクティビティ/スマート機能,中控屏幕分辨率,センター画面解像度,○ 8K,-,–
互联/智能化,コネクティビティ/スマート機能,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,● 14インチ,-,–
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth/車載電話,●,●,–
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● HUAWEI HiCar対応",● CarPlay対応,–
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン",–
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、メルセデス,● こんにちは、メルセデス,–
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,無起動ワード音声認識,●,●,–
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 1ゾーン,–
互联/智能化,コネクティビティ/スマート機能,语音连续识别,連続音声認識,●,●,–
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話す機能,●,●,–
互联/智能化,コネクティビティ/スマート機能,面部识别,顔認証,●,-,–
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,●,●,–
互联/智能化,コネクティビティ/スマート機能,车载智能系统,車載インテリジェントシステム,● MB.OS,● MBUX,–
互联/智能化,コネクティビティ/スマート機能,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,–
互联/智能化,コネクティビティ/スマート機能,车机系统存储(GB),車載システムストレージ(GB),● 32,-,–
互联/智能化,コネクティビティ/スマート機能,车联网,車載ネットワーク,●,●,–
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,–
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,–
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,-,–
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● 車両始動
● 充電管理
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● 車両始動
● 充電管理
● 車両状態確認／診断
● 車両位置特定／車探し",–
互联/智能化,コネクティビティ/スマート機能,模拟声浪,シミュレートエンジンサウンド,○,-,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,–
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,–
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,-,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,-,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,–
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.3インチ,● 12.3インチ,–
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,○ （5100元）,○ (9000元),–
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,–
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ (3000元),○ (3100元),–
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● Type-C,● Type-C,–
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席3個／後席2個,–
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電,● 前席,● 前席,–
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジ12V電源ソケット,-,●,–
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,–
座椅配置,シート装備,运动风格座椅,スポーツシート,-,●,–
座椅配置,シート装備,主座椅调节方式,運転席調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）",–
座椅配置,シート装備,副座椅调节方式,助手席調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）",–
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席● / 助手席●,運転席● / 助手席●,–
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● 加熱
● 通気
● マッサージ","○ 加熱（2900元）
○ 通気（9700元）",–
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー,"● 運転席
● 助手席",● 運転席,–
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,–
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 腰部調整,-,–
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,-,–
座椅配置,シート装備,第二排座椅功能,2列目シート機能,"● 加熱
● 通気
● マッサージ",-,–
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,–
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席● / 後席●,前席● / 後席●,–
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,–
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,● Burmester（ベルリンの音響）,○ Burmester（ベルリンの音響）（8300元）,–
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 21スピーカー,"● 7スピーカー
○ 15スピーカー",–
音响/车内灯光,オーディオ・室内照明,杜比全景声(Dolby Atmos),ドルビーアトモス(Dolby Atmos),●,-,–
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 64色,● 64色,–
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,○ (5000元),●,–
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● 自動エアコン,● 自動エアコン,–
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,–
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,–
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,–
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,–
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,–
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内香り装置,-,○,–
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,-,–
颜色,カラー,外观颜色,外装色,–,–,–
