セクション,セクション_ja,項目,項目_ja,2026年モデル 増程式 15854WD Max,2026年モデル 増程式 15854WD Ultra SE,2026年モデル 増程式 15854WD Ultra,2026年モデル 増程式 15854WD Ultra 旗艦版,2026年モデル 純電動 665 Max,2026年モデル 純電動 665 Ultra SE,2026年モデル 純電動 665 Ultra,2026年モデル 純電動 750 4WD Ultra 旗艦版
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電子制御式パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電子制御式パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
底盘转向,シャシー・ステアリング,线控智能底盘,ドライブバイワイヤインテリジェントシャシー,-,-,-,● ドライブバイワイヤステアリング,-,-,-,● ドライブバイワイヤステアリング
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 265/45 R21
○ 265/40 R22（1.20万元追加）","● 265/45 R21
○ 265/40 R22（1.20万元追加）","● 265/45 R21
○ 265/40 R22（1.20万元追加）","● 265/45 R21
○ 265/40 R22（1.20万元追加）","● 265/45 R21
○ 265/40 R22（1.20万元追加）","● 265/45 R21
○ 265/40 R22（1.20万元追加）","● 265/45 R21
○ 265/40 R22（1.20万元追加）","● 265/45 R21
○ 265/40 R22（1.20万元追加）"
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 265/45 R21
○ 285/40 R22","● 265/45 R21
○ 285/40 R22","● 265/45 R21
○ 285/40 R22","● 265/45 R21
○ 285/40 R22","● 265/45 R21
○ 285/40 R22","● 265/45 R21
○ 285/40 R22","● 265/45 R21
○ 285/40 R22","● 265/45 R21
○ 285/40 R22"
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,主席 ● /副席 ●,主席 ● /副席 ●,主席 ● /副席 ●,主席 ● /副席 ●,主席 ● /副席 ●,主席 ● /副席 ●,主席 ● /副席 ●,主席 ● /副席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●
被动安全,衝突安全,副驾驶座垫式气囊,助手席シートクッションエアバッグ,-,●,●,●,-,●,●,●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●,●,●,●,●
被动安全,衝突安全,后排座椅防下滑气囊,後席滑り防止エアバッグ,○,●,●,●,○,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定インターフェース,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー
● カスタム/パーソナライズ"
驾驶操控,ドライビングコントロール,单踏板模式,ワンペダルモード,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,"● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整"
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,空气悬挂类型,エアサスペンションタイプ,● ダブルチャンバー,● ダブルチャンバー,● ダブルチャンバー,● ダブルチャンバー,● ダブルチャンバー,● ダブルチャンバー,● ダブルチャンバー,● ダブルチャンバー
驾驶操控,ドライビングコントロール,整体主动转向系统,統合アクティブステアリングシステム,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,后轮转向角度(°),後輪操舵角度(°),● ±7.5°,● ±7.5°,● ±7.5°,● ±7.5°,● ±7.5°,● ±7.5°,● ±7.5°,● ±7.5°
四驱/越野,4WD/オフロード,涉水感应系统,渡河感知システム,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●,前席 ● /後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ"
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャシー/540度カメラ,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● チューリング,● チューリング2基,● チューリング3基,● チューリング3基,● チューリング,● チューリング2基,● チューリング3基,● チューリング3基
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 750 TOPS,● 1500 TOPS,● 2250 TOPS,● 2250 TOPS,● 750 TOPS,● 1500 TOPS,● 2250 TOPS,● 2250 TOPS
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,● 1個,● 2個,● 2個,● 2個,● 1個,● 2個,● 2個,● 2個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 3個,"● 3個
○ 7個",● 7個,● 7個,● 3個,"● 3個
○ 7個",● 7個,● 7個
驾驶功能,運転機能,巡航系统,クルーズシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● XNGP,● XNGP,● XNGP,● XNGP,● XNGP,● XNGP,● XNGP,● XNGP
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●
