セクション,項目,奥迪Q4 e-tron 2024款 40 e-tron 创行版,奥迪Q4 e-tron 2024款 40 e-tron 创境版,奥迪Q4 e-tron 2024款 50 e-tron quattro 创境曜夜版,奥迪Q4 e-tron 2024款 50 e-tron quattro 创享曜夜版
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/55 R19,● 235/50 R20,"● 235/50 R20
○ 235/45 R21 (3500元)",● 235/45 R21
车轮制动,后轮胎规格,● 255/50 R19,● 255/45 R20,"● 255/45 R20
○ 255/40 R21 (3500元)",● 255/40 R21
车轮制动,备胎规格,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,缺气保用轮胎,●,●,●,●
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-
主动安全,前方碰撞预警,●,●,●,●
主动安全,低速行车警告,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●
驾驶操控,驾驶模式切换,○ (1500元),"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
驾驶操控,可变悬架功能,-,-,○ 悬架软硬调节 (5000元),● 悬架软硬调节
驾驶操控,可变转向比,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,"● 倒车影像
○ 360度全景影像 (1.20万元)",● 360度全景影像,"● 倒车影像
○ 360度全景影像 (5500元)",● 360度全景影像
驾驶硬件,摄像头数量,"● 1个
○ 5个",● 4个,"● 1个
○ 5个",● 5个
驾驶硬件,超声波雷达数量,"● 8个
○ 12个","● 8个
○ 12个","● 8个
○ 12个",● 12个
驾驶硬件,毫米波雷达数量,"● 1个
○ 3个",● 3个,● 3个,● 3个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,○ L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,○,●,●,●
驾驶功能,卫星导航系统,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●
驾驶功能,并线辅助,○,●,●,●
驾驶功能,车道保持辅助系统,○,●,●,●
驾驶功能,车道居中保持,○,●,●,●
驾驶功能,道路交通标识识别,○ (300元),●,●,●
驾驶功能,辅助泊车入位,○ (2500元),○ (2500元),○ (2500元),●
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●
外观/防盗,感应后备厢,○ (700元),●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●
外观/防盗,无钥匙进入功能,○ 全车 (3500元),● 全车,● 全车,● 全车
外观/防盗,主动闭合式进气格栅,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●
外观/防盗,电池预加热,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,○ 矩阵式 (1.50万元),○ 矩阵式 (1.50万元),○ 矩阵式 (1.50万元),● 矩阵式
车外灯光,LED日间行车灯,●,●,●,●
车外灯光,自适应远近光,○,○,○,●
车外灯光,自动头灯,●,●,●,●
车外灯光,车前雾灯,-,-,-,-
车外灯光,前大灯雨雾模式,-,-,-,●
车外灯光,大灯高度可调,●,●,●,●
车外灯光,大灯清洗装置,○,○,○,●
车外灯光,大灯延时关闭,●,●,●,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●
天窗/玻璃,后排侧隐私玻璃,○ (800元),○ (800元),○ (800元),○ (800元)
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
○ 电动折叠
○ 后视镜记忆
● 后视镜加热
○ 倒车自动下翻
○ 锁车自动折叠
○ 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 11.6英寸,● 11.6英寸,● 11.6英寸,● 11.6英寸
互联/智能化,蓝牙/车载电话,●,●,●,●
互联/智能化,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
互联/智能化,语音分区域唤醒识别,● 单区域,● 单区域,● 单区域,● 单区域
互联/智能化,车载智能系统,● MMI,● MMI,● MMI,● MMI
互联/智能化,触屏振动反馈,●,●,●,●
互联/智能化,车联网,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,-,-,-,-
互联/智能化,手机APP远程功能,"● 车辆启动
● 空调控制
○ 方向盘加热
○ 座椅加热
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车辆启动
● 空调控制
○ 方向盘加热
○ 座椅加热
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车辆启动
● 空调控制
○ 方向盘加热
○ 座椅加热
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车辆启动
● 空调控制
○ 方向盘加热
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修"
互联/智能化,模拟声浪,●,●,●,●
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●
方向盘/内后视镜,方向盘加热,○ (8000元),○ (3000元),○ (3000元),○ (1000元)
方向盘/内后视镜,方向盘记忆,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,"● 手动防眩目
○ 自动防眩目 (2000元)",● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○ (500元),○ (500元),○ (500元),○ (500元)
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,-,-
车内充电,行李厢12V电源接口,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 皮/翻毛材质混搭
座椅配置,运动风格座椅,●,●,●,●
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,○ 加热 (2000元),● 加热,● 加热,● 加热
座椅配置,电动座椅记忆功能,-,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●
音响/车内灯光,扬声器品牌名称,○ SONOS (5000元),○ SONOS (5000元),○ SONOS (5000元),● SONOS
音响/车内灯光,扬声器数量,"○ ≥12喇叭
● 8-9喇叭","○ ≥12喇叭
● 8-9喇叭","○ ≥12喇叭
● 8-9喇叭",● ≥12喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●
音响/车内灯光,车内环境氛围灯,● 多色,● 多色,● 多色,● 多色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,○ (9000元),○ (9000元),○ (9000元),○ (9000元)
空调/冰箱,后排独立空调,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●
空调/冰箱,负离子发生器,●,●,●,●
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
