セクション,項目,金海狮 2024款 1.5L 客车工程狮5/6/7座,金海狮 2024款 1.5L 客车工程狮9座,金海狮 2024款 1.5L 简易宿营车旅行狮5/6座,金海狮 2024款 1.5L 客车旅行狮5/6/7座中央空调版,金海狮 2024款 1.5L 客车旅行狮9座中央空调版,金海狮 2024款 1.5L 工程狮营运版7/9座,金海狮 2024款 1.5L 魔术狮5/6/7座,金海狮 2024款 1.5L 旅行狮营运版7/9座,金海狮 2024款 2.0L 工程狮客车5/6/7座CNG,金海狮 2024款 2.0L 工程狮客车9座CNG,金海狮 2024款 2.0L 旅行狮客车5/6/7座CNG中央空调,金海狮 2024款 2.0L 旅行狮客车9座CNG中央空调,金海狮 2024款 2.0L 营运版旅行狮7座140L气罐CNG,金海狮 2024款 1.6L 厢货工程狮2座,金海狮 2024款 1.6L 厢货旅行狮2座,金海狮 2024款 2.0L 厢货工程狮2座,金海狮 2024款 2.0L 工程狮5/6/7座,金海狮 2024款 2.0L 工程狮9座,金海狮 2024款 2.0L 简易宿营车工程狮5/6座,金海狮 2024款 2.0L 旅行狮5/6/7座 中央空调,金海狮 2024款 2.0L 旅行狮9座中央空调,金海狮 2024款 2.0L 简易宿营车旅行狮5/6座,金海狮 2024款 2.0L 工程狮营运版7/9座,金海狮 2024款 2.0L 魔术狮9座,金海狮 2024款 2.0L 旅行狮营运版7/9座,金海狮 2024款 2.0L 易家宿营车豪华版5座
车轮制动,备胎放置方式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,-,● 底挂式,-,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式
被动安全,主/副驾驶座安全气囊,主 ○ /副 ○,主 ○ /副 ○,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ○ /副 ○,主 ○ /副 ○,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ○ /副 ○,主 ● /副 ●,主 ○ /副 ○,主 ○ /副 ○,主 ○ /副 ○,主 ○ /副 ○,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,●,-,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,●,-
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,-,-,-,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,前/后驻车雷达,-,-,前-/后 ●,前-/后 ●,前-/后 ●,-,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●
驾驶硬件,驾驶辅助影像,-,-,● 倒车影像,● 倒车影像,● 倒车影像,-,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,-,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像
驾驶功能,巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,卫星导航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 钢,● 钢,● 铝合金,● 铝合金,● 铝合金,● 钢,● 铝合金,● 铝合金,● 钢,● 钢,● 铝合金,● 铝合金,● 铝合金,● 钢,● 铝合金,● 钢,● 钢,● 钢,● 钢,● 铝合金,● 铝合金,● 铝合金,● 钢,-,● 铝合金,● 铝合金
外观/防盗,侧滑门形式,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
