セクション,セクション_ja,項目,項目_ja,2026年モデル 310 ラブエディション,2026年モデル 310 シェアエディション,2026年モデル 420 ラブエディション,2026年モデル 420 シェアエディション
车身,車体,轴距(mm),ホイールベース(mm),2700,2700,2700,2700
车身,車体,前轮距(mm),前トレッド(mm),1555,1555,1555,1555
车身,車体,后轮距(mm),後トレッド(mm),1568,1568,1568,1568
车身,車体,空载最小离地间隙(mm),無負荷時最低地上高(mm),162,162,162,162
车身,車体,接近角(°),アプローチアングル(°),21,21,21,21
车身,車体,离去角(°),デパーチャーアングル(°),26,26,26,26
车身,車体,最小转弯半径(m),最小回転半径(m),5.2,5.2,5.2,5.2
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5
车身,車体,前备厢容积(L),フロントトランク容量(L),70,70,70,70
车身,車体,后备厢容积(L),リアトランク容量(L),375-1450,375-1450,375-1450,375-1450
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-
电动机,モーター,后电动机品牌,リアモーターブランド,汇川联合动力,汇川联合动力,汇川联合动力,汇川联合动力
电动机,モーター,后电动机型号,リアモーター型式,TZ180SMXB0,TZ180SMXB0,TZ180SMXB1,TZ180SMXB1
电动机,モーター,电机类型,モーター種類,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),58,58,90,90
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),79,79,122,122
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),90,90,115,115
电动机,モーター,后电动机最大功率(kW),リアモーター最大出力(kW),58,58,90,90
电动机,モーター,后电动机最大扭矩(N·m),リアモーター最大トルク(N·m),90,90,115,115
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,後置
电动机,モーター,三电首任车主质保政策,三電装初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 国軒高科,● 国軒高科,● 国軒高科,● 国軒高科
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,犀牛電池,犀牛電池,犀牛電池,犀牛電池
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,液冷,液冷
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),310,310,420,420
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),29.48,29.48,41.28,41.28
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),10.8,10.8,11,11
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.28,0.28,0.28,0.28
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,6.6,6.6
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスク,● ディスク,● ディスク,● ディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 205/60 R16,"● 205/60 R16
○ 205/55 R17（2000元）",● 205/60 R16,"● 205/60 R16
○ 205/55 R17（2000元）"
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 205/60 R16,"● 205/60 R16
○ 205/55 R17",● 205/60 R16,"● 205/60 R16
○ 205/55 R17"
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,前席 ● / 後席 ●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 運転席,● 運転席,● 運転席,● 運転席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,○
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,○
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,-,○
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,-,-,○
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,-,○
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼,-,●,-,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前- / 後 ●,前席 ● / 後席 ●,前- / 後 ●,前席 ● / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,-,-,"○ 単眼
○ 双眼"
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 4個,● 4個,● 4個,"● 4個
○ 5個
○ 7個"
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,-,-,-,○ 800万画素
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 4個,● 12個,● 4個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,-,-,-,○ 3個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,"● クルーズコントロール
○ 全速度域対応アダプティブクルーズコントロール"
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,-,-,○ ハヤブサ500
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,-,○ レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,○
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ道路状況情報表示,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● バイドゥ,● 高徳,● バイドゥ,● 高徳
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,○
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,○
驾驶功能,運転機能,车道居中保持,車線中央維持,-,-,-,○
驾驶功能,運転機能,辅助泊车入位,駐車支援,-,●,-,●
驾驶功能,運転機能,记忆泊车,メモリー駐車,-,-,-,○
驾驶功能,運転機能,循迹倒车,トレースバックリバース,-,●,-,●
驾驶功能,運転機能,辅助变道,車線変更支援,-,-,-,○
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,-,-,○
驾驶功能,運転機能,信号灯识别,信号灯認識,-,-,-,○
驾驶功能,運転機能,起步提醒,発進リマインダー,-,-,-,○
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,-,-,○ 高速道路区間
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● 鋼,"● 鋼
○ アルミ合金",● 鋼,"● 鋼
○ アルミ合金"
外观/防盗,エクステリア・盗難防止,电动前备厢,電動フロントトランク,-,●,-,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,●,-,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動リアトランク位置メモリー,-,●,-,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● ハロゲン,● LED,● ハロゲン,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● ハロゲン,● LED,● ハロゲン,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,-,-,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,○
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●
车外灯光,外部照明,辅助驾驶灯,補助運転灯,-,-,-,○
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウィンドウワンタッチ昇降機能,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
○ 電動格納
● ドアミラー加熱
○ 施錠時自動格納"
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 12.8インチ,● 15.6インチ,● 12.8インチ,● 15.6インチ
互联/智能化,コネクティビティ/スマート機能,中控屏幕分辨率,センターコンソール画面解像度,-,● 2.5K,-,● 2.5K
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応"
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ"
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● ハイ、小奇,● ハイ、小奇,● ハイ、小奇,● ハイ、小奇
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,音声起動ワード不要機能,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話せる機能,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车载智能系统,車載インテリジェントシステム,● Sugar OS,● Sugar OS,● Sugar OS,● Sugar OS
互联/智能化,コネクティビティ/スマート機能,车机智能芯片,車載スマートチップ,-,● Qualcomm Snapdragon 8155,-,● Qualcomm Snapdragon 8155
互联/智能化,コネクティビティ/スマート機能,车联网,車載ネットワーク（コネクテッドカー）,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 4G,● 4G
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● パワーウインドウ操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検／修理予約","● パワーウインドウ操作
● エンジン始動
● 充電管理
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検／修理予約","● パワーウインドウ操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検／修理予約","● パワーウインドウ操作
● エンジン始動
● 充電管理
● エアコン操作
○ ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検／修理予約"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,○
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,●,-,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 8インチ,● 8.8インチ,● 8インチ,● 8.8インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個,● 前席2個／後席1個,● 前席2個,● 前席2個／後席1個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,-,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,運転席 ● ／助手席,-,運転席 ● ／助手席 ○
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,"● ヒーター
● ベンチレーション（運転席のみ）",-,"● ヒーター
○ ベンチレーション
● ベンチレーション（運転席のみ）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,"○ 運転席
○ 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 4スピーカー,● 4スピーカー,"● 4スピーカー
○ 6スピーカー"
音响/车内灯光,オーディオ・室内照明,车外扬声器数量,車外スピーカー数,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,● 多色,-,● 多色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,-,●,-,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–
选装包,オプションパッケージ,科技升级包,テクノロジーアップグレードパッケージ,-,-,-,○ オプション（4000元）
选装包,オプションパッケージ,智享升级包,スマートエクスペリエンスアップグレードパッケージ,-,-,-,○ オプション（9000元）
