セクション,項目,日产N6 2026款 180 Air,日产N6 2026款 180 Pro,日产N6 2026款 180 Max,日产N6 2026款 180 Max+,日产N6 2026款 170 Max+旗舰
车身,轴距(mm),2815,2815,2815,2815,2815
车身,前轮距(mm),1633,1633,1633,1633,1633
车身,后轮距(mm),1647,1647,1647,1647,1647
车身,接近角(°),14,14,14,14,14
车身,离去角(°),18,18,18,18,18
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),45,45,45,45,45
车身,后备厢容积(L),570,570,570,570,570
车身,风阻系数(Cd),0.248,0.248,0.248,0.248,0.248
发动机,发动机型号,NR15,NR15,NR15,NR15,NR15
发动机,排量(mL),1497,1497,1497,1497,1497
发动机,排量(L),1.5,1.5,1.5,1.5,1.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),102,102,102,102,102
发动机,最大功率(kW),75,75,75,75,75
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),135,135,135,135,135
发动机,最大扭矩转速(rpm),4500,4500,4500,4500,4500
发动机,最大净功率(kW),71,71,71,71,71
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI
电动机,前电动机型号,TZ236XY2JG,TZ236XY2JG,TZ236XY2JG,TZ236XY2JG,TZ236XY2JG
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),155,155,155,155,155
电动机,电动机总马力(Ps),211,211,211,211,211
电动机,电动机总扭矩(N·m),320,320,320,320,320
电动机,前电动机最大功率(kW),155,155,155,155,155
电动机,前电动机最大扭矩(N·m),320,320,320,320,320
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 瑞浦兰钧,● 瑞浦兰钧,● 瑞浦兰钧,● 宁德时代,● 宁德时代
电池/充电,电池特有技术,云盾电池,云盾电池,云盾电池,云盾电池,云盾电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷
电池/充电,WLTC纯电续航里程(km),130,130,130,130,125
电池/充电,CLTC纯电续航里程(km),180,180,180,180,170
电池/充电,电池能量(kWh),21.1,21.1,21.1,20.3,20.3
电池/充电,百公里耗电量(kWh/100km),14.7,14.7,14.7,15.1,15.6
电池/充电,快充功能,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),42,42,42,42,42
电池/充电,电池快充时间(小时),0.28,0.28,0.28,0.33,0.33
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3
变速箱,简称,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
变速箱,挡位个数,1,1,1,1,1
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/55 R17,● 225/55 R17,● 225/55 R17,● 225/55 R17,● 225/50 R18
车轮制动,后轮胎规格,● 225/55 R17,● 225/55 R17,● 225/55 R17,● 225/55 R17,● 225/50 R18
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,前排中间气囊,-,-,-,-,●
主动安全,ABS防抱死,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●,●
主动安全,主动刹车/主动安全系统,-,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,●,●
主动安全,DOW开门预警,-,●,●,●,●
主动安全,前方碰撞预警,-,●,●,●,●
主动安全,后方碰撞预警,-,●,●,●,●
主动安全,移动物体预警系统,-,●,●,●,●
主动安全,哨兵模式/千里眼,-,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●
主动安全,内置行车记录仪,-,●,●,-,-
主动安全,道路救援呼叫,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●
驾驶硬件,前/后驻车雷达,-,-,-,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,-,●,●,●,●
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,● 双目,● 双目
驾驶硬件,摄像头数量,● 1个,● 5个,● 5个,● 7个,● 7个
驾驶硬件,车内摄像头数量,-,-,-,● 1个,● 1个
驾驶硬件,超声波雷达数量,-,-,-,● 12个,● 12个
驾驶硬件,毫米波雷达数量,-,● 3个,● 3个,● 3个,● 3个
驾驶功能,巡航系统,-,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,-,-,● Momenta,● Momenta
驾驶功能,辅助驾驶等级,-,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,●,●,●,●
驾驶功能,车道保持辅助系统,-,●,●,●,●
驾驶功能,车道居中保持,-,●,●,●,●
驾驶功能,道路交通标识识别,-,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,●,●
驾驶功能,遥控泊车,-,-,-,●,●
驾驶功能,记忆泊车,-,-,-,●,●
驾驶功能,辅助变道,-,-,-,●,●
驾驶功能,辅助匝道自动驶出(入),-,-,-,●,●
驾驶功能,信号灯识别,-,-,-,●,●
驾驶功能,方向盘离手检测,-,●,●,●,●
驾驶功能,辅助驾驶路段,-,-,-,"● 城市路段
● 高速路段","● 城市路段
● 高速路段"
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,车内中控锁,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,● 全车,● 全车,● 全车,● 全车
外观/防盗,隐藏电动门把手,-,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●
车外灯光,自适应远近光,-,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 电动天窗,● 电动天窗,● 电动天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶"
天窗/玻璃,后雨刷,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节,● 电动调节,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 15.6英寸,● 15.6英寸
屏幕/系统,中控屏幕分辨率,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
屏幕/系统,中控液晶屏分屏显示,●,●,●,●,●
屏幕/系统,蓝牙/车载电话,●,●,●,●,●
屏幕/系统,手机互联/映射,"● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink"
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩"
屏幕/系统,语音助手唤醒词,● 你好，日产,● 你好，日产,● 你好，日产,● 你好，日产,● 你好，日产
屏幕/系统,语音免唤醒词,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●
屏幕/系统,面部识别,-,-,-,●,●
屏幕/系统,DeepSeek应用,-,● 已接入,● 已接入,● 已接入,● 已接入
屏幕/系统,应用商店,●,●,●,●,●
屏幕/系统,车载智能系统,● NISSAN OS,● NISSAN OS,● NISSAN OS,● NISSAN OS,● NISSAN OS
屏幕/系统,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8775,● 高通骁龙8775
屏幕/系统,车机系统内存(GB),● 16,● 16,● 16,● 36,● 36
屏幕/系统,车机系统存储(GB),● 128,● 128,● 128,● 384,● 384
智能化配置,车联网,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●
智能化配置,手机APP远程功能,"● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
智能化配置,模拟声浪,-,-,-,-,●
智能化配置,车载KTV,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,● Type-C,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个
车内充电,手机无线充电功能,-,-,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,-,-,● 50W,● 50W,● 50W
座椅配置,座椅材质,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑(主动)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑(主动)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑(主动)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑（主动）"
座椅配置,主/副驾驶座电动调节,-,主 ● / 副-,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,前排座椅功能,-,-,"● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩"
座椅配置,电动座椅记忆功能,-,-,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-
座椅配置,后排座椅放倒形式,-,-,-,-,-
座椅配置,前/后中央扶手,前 ● / 后-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,-,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 12喇叭
音响/车内灯光,车外扬声器数量,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭
音响/车内灯光,车内环境氛围灯,-,● 256色,● 256色,● 256色,● 256色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-
空调/冰箱,后座出风口,-,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●
颜色,外观颜色,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–
