セクション,項目,英仕派新能源 2025款 e:PHEV 智耀版,
车外灯光,大灯延时关闭,●,–
天窗/玻璃,天窗类型,● 可开启全景天窗,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 全车,–
天窗/玻璃,车窗防夹手功能,●,–
天窗/玻璃,侧窗多层隔音玻璃,● 前排,–
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯",–
天窗/玻璃,后雨刷,-,–
天窗/玻璃,感应雨刷功能,● 雨量感应式,–
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠",–
互联/智能化,中控彩色屏幕,● 触控液晶屏,–
互联/智能化,中控屏幕尺寸,● 12.3英寸,–
互联/智能化,蓝牙/车载电话,●,–
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持CarLife",–
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗",–
互联/智能化,语音分区域唤醒识别,● 单区域,–
互联/智能化,面部识别,●,–
互联/智能化,车载智能系统,● Honda Connect,–
互联/智能化,车联网,●,–
互联/智能化,4G/5G网络,● 4G,–
互联/智能化,OTA升级,●,–
互联/智能化,Wi-Fi热点,●,–
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车",–
互联/智能化,主动降噪,●,–
方向盘/内后视镜,方向盘材质,● 真皮,–
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,–
方向盘/内后视镜,换挡形式,● 按键式换挡,–
方向盘/内后视镜,多功能方向盘,●,–
方向盘/内后视镜,方向盘加热,-,–
方向盘/内后视镜,方向盘记忆,-,–
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,–
方向盘/内后视镜,全液晶仪表盘,●,–
方向盘/内后视镜,液晶仪表尺寸,● 10.2英寸,–
方向盘/内后视镜,HUD抬头数字显示,●,–
方向盘/内后视镜,内后视镜功能,"● 自动防眩目
● 流媒体",–
方向盘/内后视镜,ETC装置,●,–
车内充电,多媒体/充电接口,● Type-C,–
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,–
车内充电,手机无线充电功能,● 前排,–
座椅配置,座椅材质,● 皮/翻毛材质混搭,–
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)",–
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节",–
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,–
座椅配置,前排座椅功能,"● 加热
● 通风",–
座椅配置,电动座椅记忆功能,● 驾驶位,–
座椅配置,副驾驶位后排可调节按钮,-,–
座椅配置,第二排座椅调节,-,–
座椅配置,第二排座椅功能,● 加热,–
座椅配置,后排座椅放倒形式,● 整体放倒,–
座椅配置,前/后中央扶手,前 ● /后 ●,–
座椅配置,后排杯架,●,–
音响/车内灯光,扬声器品牌名称,● BOSE,–
音响/车内灯光,扬声器数量,● 12喇叭,–
音响/车内灯光,触摸式阅读灯,●,–
音响/车内灯光,车内环境氛围灯,● 多色,–
空调/冰箱,空调温度控制方式,● 自动空调,–
空调/冰箱,后排独立空调,-,–
空调/冰箱,后座出风口,●,–
空调/冰箱,温度分区控制,●,–
空调/冰箱,车载空气净化器,●,–
空调/冰箱,车内PM2.5过滤装置,●,–
空调/冰箱,负离子发生器,●,–
颜色,外观颜色,–,–
颜色,内饰颜色,–,–
