セクション,項目,问界M8 2025款 增程 Max版 37kWh 5座版 (192线激光雷达）,问界M8 2025款 增程 Max版 37kWh 6座版 (192线激光雷达）,问界M8 2025款 增程 Max版 53.4kWh 5座版 (896线激光雷达）,问界M8 2025款 增程 Max+版 53.4kWh 5座版 (192线激光雷达）,问界M8 2025款 增程 Max版 53.4kWh 6座版 (896线激光雷达）,问界M8 2025款 增程 Max+版 53.4kWh 5座版 (896线激光雷达）,问界M8 2025款 增程 Max+版 53.4kWh 6座版 (192线激光雷达）,问界M8 2025款 增程 Max+版 53.4kWh 6座版 (896线激光雷达）,问界M8 2025款 增程 Ultra版 53.4kWh 5座版 (192线激光雷达）,问界M8 2025款 增程 Ultra版 53.4kWh 5座版 (896线激光雷达）,问界M8 2025款 增程 Ultra版 53.4kWh 6座版 (192线激光雷达）,问界M8 2025款 增程 Ultra版 53.4kWh 6座版 (896线激光雷达）,问界M8 2025款 纯电 Max+ 五座长续航版 (192线激光雷达）,问界M8 2025款 纯电 Max+ 五座长续航版 (896线激光雷达）,问界M8 2025款 纯电 Max+ 六座长续航版 (192线激光雷达）,问界M8 2025款 纯电 Max+ 六座长续航版 (896线激光雷达）,问界M8 2025款 纯电 Max+ 五座四驱版 (192线激光雷达）,问界M8 2025款 纯电 Max+ 五座四驱版 (896线激光雷达）,问界M8 2025款 纯电 Max+ 六座四驱版 (192线激光雷达）,问界M8 2025款 纯电 Max+ 六座四驱版 (896线激光雷达）,问界M8 2025款 纯电 Ultra 五座四驱版 (192线激光雷达）,问界M8 2025款 纯电 Ultra 五座四驱版 (896线激光雷达）,问界M8 2025款 纯电 Ultra 六座四驱版 (192线激光雷达）,问界M8 2025款 纯电 Ultra 六座四驱版 (896线激光雷达）,问界M8 2026款 增程 基本型 5座,问界M8 2026款 增程 基本型 6座
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,-,-
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(中州时代),● 宁德时代(中州时代)
电池/充电,电池特有技术,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,巨鲸电池,-,-
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,-,-
电池/充电,WLTC纯电续航里程(km),161,161,262,235,262,252,235,252,235,252,235,252,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,CLTC纯电续航里程(km),201,201,322,310,322,310,310,310,310,310,310,310,705,705,705,705,655,655,655,655,625,625,625,625,-,-
电池/充电,WLTC综合续航(km),1250,1250,1395,1345,1395,1345,1345,1345,1345,1345,1345,1345,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,CLTC综合续航(km),1405,1405,1590,1526,1590,1526,1526,1526,1526,1526,1526,1526,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,电池能量(kWh),37,37,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,100,100,100,100,100,100,100,100,100,100,100,100,-,-
电池/充电,百公里耗电量(kWh/100km),22.6,22.6,-,23.7,-,23.7,23.7,23.7,23.7,23.7,23.7,23.7,15.8,15.8,15.8,15.8,17,17,17,17,17.6,17.6,17.6,17.6,-,-
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,-,-
电池/充电,高压快充,-,-,-,-,-,-,-,-,-,-,-,-,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,-,-
电池/充电,高压平台（V）,-,-,-,-,-,-,-,-,-,-,-,-,800,800,800,800,800,800,800,800,800,800,800,800,-,-
电池/充电,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-,-
电池/充电,电池快充电量范围(%),20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,-,-
电池/充电,电池慢充时间(小时),5,5,5,6,5,6,6,6,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,电池慢充电量范围(%),20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,-,-
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,-,-
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,-
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
