セクション,項目,腾势Z9GT 2026款 易三方闪充尊荣型,腾势Z9GT 2026款 易三方闪充旗舰型,腾势Z9GT 2026款 闪充尊荣型,腾势Z9GT 2026款 闪充旗舰型,腾势Z9GT 2026款 易三方闪充性能型,腾势Z9GT 2024款 630四驱Pro版,腾势Z9GT 2024款 630四驱Max版,腾势Z9GT 2024款 1100四驱Pro版,腾势Z9GT 2024款 1100四驱Max版,腾势Z9GT 2024款 1100四驱Ultra版
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
基本参数,发动机,2.0T 207马力 L4,2.0T 207马力 L4,-,-,-,-,-,2.0T 207马力 L4,2.0T 207马力 L4,2.0T 207马力 L4
基本参数,电动机(Ps),870,870,503,503,1156,966,966,870,870,870
基本参数,长*宽*高(mm),5195*1990*1490,5195*1990*1490,5180*1990*1490,5180*1990*1490,5180*1990*1490,5180*1990*1500,5180 *1990 *1480,5195*1990*1500,5195*1990*1480,5195*1990*1480
基本参数,官方0-100km/h加速(s),3.6,3.6,5.8,5.8,2.7,3.4,3.4,3.6,3.6,3.6
基本参数,最高车速(km/h),230,230,240,240,270,240,240,230,230,230
基本参数,WLTC综合油耗(L/100km),0.40,0.40,-,-,-,-,-,0.85,0.85,0.85
基本参数,最低荷电状态油耗(L/100km)WLTC,6.30,6.30,-,-,-,-,-,6.6,6.6,6.6
基本参数,最低荷电状态油耗(L/100km)NEDC,5.3,5.3,-,-,-,-,-,5.6,5.6,5.6
基本参数,电能当量燃料消耗量(L/100km),-,-,1.51,1.54,1.95,2.12,2.12,3.45,3.45,3.45
基本参数,油电综合燃料消耗量(L/100km),2.92,2.92,-,-,-,-,-,-,-,-
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),2810,2810,2540,2700,2895,2875,2875,2740,2740,2740
基本参数,最大满载质量(kg),3185,3185,2915,3075,3270,3250,3250,3115,3115,3115
车身,长度(mm),5195,5195,5180,5180,5180,5180,5180,5195,5195,5195
车身,宽度(mm),1990,1990,1990,1990,1990,1990,1990,1990,1990,1990
车身,高度(mm),1490,1490,1490,1490,1490,1500,1480,1500,1480,1480
车身,轴距(mm),3125,3125,3125,3125,3125,3125,3125,3125,3125,3125
车身,前轮距(mm),1710,1710,1710,1710,1710,1710,1710,1710,1710,1710
车身,后轮距(mm),1715,1715,1715,1715,1715,1715,1715,1706,1706,1706
车身,接近角(°),13,13,13,13,13,13,13,13,13,13
车身,离去角(°),15,15,16,16,16,16,16,15,15,15
车身,最小转弯半径(m),4.62,4.62,5.4,5.4,4.62,4.62,4.62,4.62,4.62,4.62
车身,车身结构,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),50,50,-,-,-,-,-,50,50,50
车身,前备厢容积(L),-,-,53,53,53,53,53,-,-,-
车身,后备厢容积(L),478,478,495,495,495,488,488,488,488,488
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,BYD479ZQA,BYD479ZQA,-,-,-,-,-,BYD479ZQA,BYD479ZQA,BYD479ZQA
发动机,排量(mL),1995,1995,-,-,-,-,-,1995,1995,1995
发动机,排量(L),2.0,2.0,-,-,-,-,-,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,-,-,-,-,-,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,-,-,-,-,-,横置,横置,横置
发动机,气缸排列形式,L,L,-,-,-,-,-,L,L,L
发动机,气缸数(个),4,4,-,-,-,-,-,4,4,4
发动机,每缸气门数(个),4,4,-,-,-,-,-,4,4,4
发动机,压缩比,13.4,13.4,-,-,-,-,-,13.4,13.4,13.4
发动机,配气机构,DOHC,DOHC,-,-,-,-,-,DOHC,DOHC,DOHC
发动机,最大马力(Ps),207,207,-,-,-,-,-,207,207,207
发动机,最大功率(kW),152,152,-,-,-,-,-,152,152,152
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),325,325,-,-,-,-,-,325,325,325
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),150,150,-,-,-,-,-,150,150,150
发动机,能源类型,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,-,-,-,-,-,92号,92号,92号
发动机,供油方式,直喷,直喷,-,-,-,-,-,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,-,-,-,-,-,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,-,-,-,-,-,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,-,-,-,-,-,国VI,国VI,国VI
电动机,前电动机品牌,比亚迪,比亚迪,-,-,-,弗迪,弗迪,比亚迪,比亚迪,比亚迪
电动机,后电动机品牌,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
电动机,前电动机型号,TZ210XYD,TZ210XYD,-,-,YS230XYD,YS230XYA,YS230XYA,TZ210XYD,TZ210XYD,TZ210XYD
电动机,后电动机型号,TZ220XYAV/TZ220XYAV,TZ220XYAV/TZ220XYAV,TZ226QYD,TZ226QYD,TZ226XYB/TZ226XYB,TZ220XYAW/TZ220XYAW,TZ220XYAW/TZ220XYAW,TZ220XYAV/TZ220XYAV,TZ220XYAV/TZ220XYAV,TZ220XYAV/TZ220XYAV
电动机,电机类型,永磁/同步,永磁/同步,永磁,永磁,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),640,640,370,370,850,710,710,640,640,640
电动机,电动机总马力(Ps),870,870,503,503,1156,966,966,870,870,870
电动机,电动机总扭矩(N·m),1035,1035,500,500,1210,1150,1150,1035,1035,1035
电动机,前电动机最大功率(kW),200,200,-,-,230,230,230,200,200,200
电动机,前电动机最大扭矩(N·m),315,315,-,-,410,430,430,315,315,315
电动机,后电动机最大功率(kW),440,440,370,370,620,480,480,440,440,440
电动机,后电动机最大扭矩(N·m),720,720,500,500,800,720,720,720,720,720
电动机,系统综合扭矩(N·m),-,-,-,-,-,-,-,935,935,935
电动机,驱动电机数,三电机,三电机,单电机,单电机,三电机,三电机,三电机,三电机,三电机,三电机
电动机,电机布局,前置+后置,前置+后置,后置,后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机,三电系统质保,-,-,-,-,-,● 首任车主不限年限/里程（责任免除条款以官方为准）,● 首任车主不限年限/里程（责任免除条款以官方为准）,● 首任车主不限年限/里程（责任免除条款以官方为准）,● 首任车主不限年限/里程（责任免除条款以官方为准）,● 首任车主不限年限/里程（责任免除条款以官方为准）
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-,-,-,-
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪
电池/充电,电池特有技术,第二代刀片电池,第二代刀片电池,第二代刀片电池,第二代刀片电池,第二代刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷
电池/充电,WLTC纯电续航里程(km),301,301,-,-,-,-,-,161,161,161
电池/充电,CLTC纯电续航里程(km),401,401,880,1036,820,630,630,201,201,201
电池/充电,CLTC综合续航(km),1301,1301,-,-,-,-,-,1101,1101,1101
电池/充电,电池能量(kWh),63.8,63.8,102.3,122.5,122.5,100,100,38.5,38.5,38.5
电池/充电,百公里耗电量(kWh/100km),21.7,21.7,13.0,13.3,16.8,18.3,18.3,22.4,22.4,22.4
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),-,-,-,-,-,270,270,82,82,82
电池/充电,高压快充,-,-,支持,支持,支持,支持,支持,-,-,-
电池/充电,高压平台（V）,-,-,-,-,-,800,800,-,-,-
电池/充电,电池快充时间(小时),0.15,0.15,0.15,0.15,0.15,0.32,0.32,0.32,0.32,0.32
电池/充电,电池快充电量范围(%),10-97,10-97,10-97,10-97,10-97,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6,6,6,6,6
变速箱,简称,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱,挡位个数,无级变速,无级变速,1,1,1,1,1,无级变速,无级变速,无级变速
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 后置后驱,● 后置后驱,● 三电机四驱,● 三电机四驱,● 三电机四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,-,-,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 陶瓷通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 陶瓷通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 255/45 R20,● 255/40 R21,● 255/45 R20,"● 255/45 R20
○ 255/40 R21",● 255/40 R21,● 255/45 R20,"● 255/45 R20
○ 255/40 R21",● 255/45 R20,"● 255/45 R20
○ 255/40 R21","● 255/45 R20
○ 255/40 R21"
车轮制动,后轮胎规格,● 255/45 R20,● 255/40 R21,● 255/45 R20,"● 255/45 R20
○ 255/40 R21",● 255/40 R21,● 255/45 R20,"● 255/45 R20
○ 275/40 R21",● 255/45 R20,"● 255/45 R20
○ 275/40 R21","● 255/45 R20
○ 275/40 R21"
车轮制动,备胎规格,-,-,-,-,-,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,膝部气囊,-,-,-,-,-,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊
被动安全,前排中间气囊,●,●,●,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,"● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
○ 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
○ 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节"
驾驶操控,空气悬架,●,●,●,●,●,○,●,○,●,●
驾驶操控,空气悬挂类型,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,○ 双腔,● 双腔,○ 双腔,● 双腔,● 双腔
驾驶操控,魔毯智能悬架,●,●,●,●,●,○,●,○,●,●
驾驶操控,整体主动转向系统,●,●,●,●,●,●,●,●,●,●
驾驶操控,后轮转向角度(°),● ±10,● ±10,● ±7,● ±7,● ±10,-,-,-,-,-
四驱/越野,坦克转弯,●,●,-,-,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,-,-,-,-,-,● 英伟达 Drive Orin,● 英伟达 Drive Orin,● 英伟达 Drive Orin,● 英伟达 Drive Orin,● 英伟达 Drive Orin
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目,● 双目,● 三目,● 三目,● 三目,● 三目,● 三目
驾驶硬件,摄像头数量,● 11个,"● 11个
○ 13个",● 11个,"● 11个
○ 13个","● 11个
○ 13个",● 14个,● 14个,● 14个,● 14个,● 14个
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 2个,● 1个,● 2个,● 2个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 3个,● 3个,● 3个,● 5个,● 5个,● 5个,● 5个,● 5个
驾驶硬件,激光雷达数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 2个,● 2个,● 2个,● 2个,● 2个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● DiPilot,● DiPilot,● DiPilot,● DiPilot,● DiPilot,● DiPilot,● DiPilot,● DiPilot,● DiPilot,● DiPilot
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,●,●,●,●,●,●
驾驶功能,记忆泊车,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助变道,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,●,●,●,●,●,●
驾驶功能,信号灯识别,●,●,●,●,●,●,●,●,●,●
驾驶功能,方向盘离手检测,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,"● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段"
外观/防盗,外观套件,-,-,-,-,-,-,-,-,-,○ 运动风格
外观/防盗,电动扰流板,●,●,●,●,●,○,○,○,○,●
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,自动开合车门,-,●,-,●,●,○,○,○,○,●
外观/防盗,无框设计车门,●,●,●,●,●,●,●,●,●,●
外观/防盗,投影感应开启,● 后备厢,● 后备厢,● 后备厢,● 后备厢,● 后备厢,-,-,-,-,-
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,-,-,-,-,-,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,隐藏电动门把手,●,●,●,●,●,●,●,●,●,●
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●
车外灯光,转向辅助灯,●,●,●,●,●,●,●,●,●,●
车外灯光,转向头灯,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●
车外灯光,辅助驾驶灯,●,●,●,●,●,-,-,-,-,-
天窗/玻璃,天窗类型,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排"
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●
