セクション,セクション_ja,項目,項目_ja,2025年モデル 120L チャンピオン版バス 中央空調6 7人乗り,2025年モデル 120L チャンピオン版バス 無空調6 7人乗り,2025年モデル 120L チャンピオン版バン 前置空調2 5人乗り,2025年モデル 120L チャンピオン版バン 無空調2 5人乗り,2023年モデル 70L CNG フォーチュン版バス6 7人乗り 無空調 SWCC15M,2023年モデル 70L CNG フォーチュン版バス6 7人乗り 中央空調版 SWCC15M,2023年モデル 70L CNG バン2 5人乗り 無空調 SWCC15M,2023年モデル 70L CNG バン2 5人乗り 空調版,2023年モデル 100L CNG フォーチュン版バス6 7人乗り 無空調 SWCC15M,2023年モデル 100L CNG フォーチュン版バス6 7人乗り 中央空調版 SWCC15M,2023年モデル 100L CNG フォーチュン版バン2 5人乗り 無空調 SWCC15M,2023年モデル 100L CNG フォーチュン版バン2 5人乗り 空調版 SWCC15M
基本参数,基本仕様,发动机,エンジン,1.5L 86馬力 L4,1.5L 86馬力 L4,1.5L 86馬力 L4,1.5L 86馬力 L4,1.5L 86馬力 L4,1.5L 86馬力 L4,1.5L 86馬力 L4,1.5L 86馬力 L4,1.5L 86馬力 L4,1.5L 86馬力 L4,1.5L 86馬力 L4,1.5L 86馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4495×1680×1990,4495×1680×1990,4495×1680×1990,4495×1680×1990,4495×1680×1990,4495×1680×1990,4495×1680×1990,4495×1680×1990,4495×1680×1990,4495×1680×1990,4495×1680×1990,4495×1680×1990
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,整备质量(kg),車両重量(kg),1360,1360,1355,1355,1360,1360,1300,1300,1415,1415,1355,1355
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2120,2120,2120,2120,2120,2120,2120,2120,2120,2120,2120,2120
车身,車体,长度(mm),全長(mm),4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495
车身,車体,宽度(mm),全幅(mm),1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680
车身,車体,高度(mm),全高(mm),1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990
车身,車体,轴距(mm),ホイールベース(mm),2925,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925
车身,車体,前轮距(mm),前トレッド(mm),1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425
车身,車体,后轮距(mm),後トレッド(mm),1485,1485,1485,1485,1435,1435,1435,1435,1435,1435,1435,1435
车身,車体,车身结构,ボディ構造,乗用車,乗用車,貨物車,貨物車,乗用車,乗用車,貨物車,貨物車,乗用車,乗用車,貨物車,貨物車
车身,車体,车门开启方式,ドア開閉方式,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,车门数(个),ドア数(枚),-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,座位数(个),乗車定員(名),● 6/7人乗り,● 6/7人乗り,● 2/5人乗り,● 2/5人乗り,● 6/7人乗り,● 6/7人乗り,● 2/5人乗り,● 2/5人乗り,● 6/7人乗り,● 6/7人乗り,● 2/5人乗り,● 2/5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),15,15,15,15,15,15,15,15,15,15,15,15
车身,車体,气罐容积(L),ガスボンベ容量(L),120,120,120,120,70,70,70,70,100,100,100,100
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,SWCC15M,SWCC15M,SWCC15M,SWCC15M,SWCC15M,SWCC15M,SWCC15M,SWCC15M,SWCC15M,SWCC15M,SWCC15M,SWCC15M
发动机,エンジン,排量(mL),排気量(mL),1451,1451,1451,1451,1451,1451,1451,1451,1451,1451,1451,1451
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),86,86,86,86,86,86,86,86,86,86,86,86
发动机,エンジン,最大功率(kW),最大出力(kW),63,63,63,63,63,63,63,63,63,63,63,63
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),60,60,60,60,60,60,60,60,60,60,60,60
发动机,エンジン,能源类型,エネルギータイプ,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG
发动机,エンジン,燃油标号,燃料オクタン価,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,环保标准,環境基準,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6
变速箱,トランスミッション,简称,略称,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル
变速箱,トランスミッション,挡位个数,段数,5,5,5,5,5,5,5,5,5,5,5,5
变速箱,トランスミッション,变速箱类型,トランスミッション形式,マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT)
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● ミッドシップ後輪駆動,● ミッドシップ後輪駆動,● ミッドシップ後輪駆動,● ミッドシップ後輪駆動,● ミッドシップ後輪駆動,● ミッドシップ後輪駆動,● ミッドシップ後輪駆動,● ミッドシップ後輪駆動,● ミッドシップ後輪駆動,● ミッドシップ後輪駆動,● ミッドシップ後輪駆動,● ミッドシップ後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● リーフスプリング式非独立サスペンション,● リーフスプリング式非独立サスペンション,● リーフスプリング式非独立サスペンション,● リーフスプリング式非独立サスペンション,● リーフスプリング式非独立サスペンション,● リーフスプリング式非独立サスペンション,● リーフスプリング式非独立サスペンション,● リーフスプリング式非独立サスペンション,● リーフスプリング式非独立サスペンション,● リーフスプリング式非独立サスペンション,● リーフスプリング式非独立サスペンション,● リーフスプリング式非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ドラムブレーキ,● ドラムブレーキ,● ドラムブレーキ,● ドラムブレーキ,● ドラムブレーキ,● ドラムブレーキ,● ドラムブレーキ,● ドラムブレーキ,● ドラムブレーキ,● ドラムブレーキ,● ドラムブレーキ,● ドラムブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ,● 175/70 R14タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,-,-,● タイヤ空気圧警報,● タイヤ空気圧警報,-,-,● タイヤ空気圧警報,● タイヤ空気圧警報,-,-
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,-,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,-,-,-,-,-,前/後 ●,前/後 ●,-,-,-,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,-,-,-,-,-,-,-,-,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ
驾驶功能,運転機能,巡航系统,クルーズコントロール,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,导航路况信息显示,ナビ道路情報表示,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援システム,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,○,○,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,"● メカニカルキー
○ リモコンキー","● メカニカルキー
○ リモコンキー",● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン
车外灯光,外部照明,远光灯光源,ハイビーム光源,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降機能,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,雨感センサー式ワイパー,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,互联/智能化,中控彩色屏幕,センターカラーディスプレイ,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,互联/智能化,中控屏幕尺寸,センターディスプレイサイズ,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,互联/智能化,蓝牙/车载电话,Bluetooth/車載電話,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,互联/智能化,手机互联/映射,スマホ連携/ミラーリング,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,互联/智能化,语音识别控制系统,音声認識操作,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,互联/智能化,车联网,車載通信システム,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,互联/智能化,OTA升级,OTAアップデート,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,室内アンビエントライト,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● マニュアルエアコン,○ マニュアルエアコン,● マニュアルエアコン,○ マニュアルエアコン,○ マニュアルエアコン,○ マニュアルエアコン,○ マニュアルエアコン,○ マニュアルエアコン,○ マニュアルエアコン,○ マニュアルエアコン,○ マニュアルエアコン,● マニュアルエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別調整,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,-,-,-,-,-,-,-,-,-,-
