セクション,項目,菱智 2025款 M5 1.6L 标准型 65L 5座CNG,菱智 2025款 M5 1.6L 标准型 110L 5座CNG,菱智 2025款 M5 1.6L 标准型 110L 7座CNG,菱智 2025款 M5 1.6L 基本型 110L 7座CNG,菱智 2025款 M5 1.6L 舒适型 110L 7座CNG,菱智 2025款 M5 1.6L 营运型 110L 7座CNG,菱智 2025款 M5 1.6L 营运型 110L 8座CNG,菱智 2025款 M5 1.6L 短轴实用型 5座,菱智 2025款 M5 1.6L 短轴实用型 7座,菱智 2025款 M5 1.6L 长轴基本型 5座,菱智 2025款 M5 1.6L 长轴基本型 7座,菱智 2025款 M5 1.6L 长轴舒适型 7座,菱智 2025款 M5 1.6L 长轴舒适型 9座,菱智 2025款 M5 1.6L 长轴豪华型 7座,菱智 2025款 M5 1.6L 长轴营运版 7座,菱智 2025款 M5 1.6L 长轴营运版 9座,菱智 2025款 V3 1.6L 长轴基本型 2座,菱智 2025款 M5 1.5T 长轴基本型 7座,菱智 2025款 M5 1.5T 长轴舒适型 7座,菱智 2025款 M5 1.5T 长轴舒适型 9座,菱智 2025款 M5 1.5T 长轴豪华型 7座,菱智 2024款 M5L 1.5T 手动基本型 7座,菱智 2024款 M5L 1.5T 手动舒适型 7座,菱智 2024款 M5L 1.5T 手动舒适型 9座,菱智 2024款 M5L 1.5T 手动豪华型 7座,菱智 2024款 M5 1.6L 标准型5座CNG,菱智 2024款 M5 1.6L 标准型7座CNG
基本参数,整车质保,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里
基本参数,整备质量(kg),1605,1605,1605,1605,1605,1605,1645,1485,1550,-,1605,1645,1626,1645,1605,1626,1510,1660,1715,1700,1715,1660,1660,1700,1715,1605,1605
基本参数,最大满载质量(kg),-,-,-,-,-,-,-,1810,2005,-,2081,2100,2211,2100,2081,2211,2150,2170,2170,2285,2170,-,-,-,-,-,-
车身,长度(mm),5135,5135,5135,5135,5135,5135,5135,4735,4735,5135,5135,5135,5135,5135,5135,5135,5145,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135
车身,宽度(mm),1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720
车身,高度(mm),1980,1980,1980,1970,1970,1980,1980,1955,1955,1970,1970,1970,1970,1970,1970,1970,1975,1970,1970,1970,1970,1970,1970,1970,1970,1980,1980
车身,轴距(mm),3000,3000,3000,3000,3000,3000,3000,2800,2800,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
车身,前轮距(mm),1445,1445,1445,1445,1445,1445,1445,1445,1445,-,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445
车身,后轮距(mm),1420,1420,1420,1420,1420,1420,1420,1420,1420,-,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420
车身,接近角(°),17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20,17,17,17,17,17,17,17,17,17,17
车身,离去角(°),18,18,18,16,16,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18
车身,车身结构,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 7,● 7,● 7,● 7,● 8,● 5,● 7,● 5,● 7,● 7,● 9,● 7,● 7,● 9,● 2,● 7,● 7,● 9,● 7,● 7,● 7,● 9,● 7,● 5,● 7
车身,油箱容积(L),15,15,15,15,15,15,15,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,15,15
车身,气罐容积(L),65,110,110,110,110,110,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,65
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,4C16NR,4C16NR,4C16NR,4C16NR,4C16NR,4C16NR,4C16NR,4C16NR,4C16NR,4C16NR,4C16NR,4C16NR,4C16NR,4C16NR,4C16NR,4C16NR,4C16NR,4C15TDR,4C15TDR,4C15TDR,4C15TDR,4C15TDR,4C15TDR,4C15TDR,4C15TDR,4C16NR,4C16NR
发动机,排量(mL),1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,1493,1493,1493,1493,1493,1493,1493,1493,1646,1646
发动机,排量(L),1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),102,102,102,102,102,102,102,116,116,116,116,116,116,116,116,116,116,190,190,190,190,190,190,190,190,102,102
发动机,最大功率(kW),75,75,75,75,75,75,75,85,85,85,85,85,85,85,85,85,85,140,140,140,140,140,140,140,140,75,75
发动机,最大功率转速(rpm),5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5500,5500,5500,5500,5500,5500,5500,5500,5600,5600
发动机,最大扭矩(N·m),140,140,140,140,140,140,140,160,160,160,160,160,160,160,160,160,160,300,300,300,300,300,300,300,300,140,140
发动机,最大扭矩转速(rpm),4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,1500-3500,1500-3500,1500-3500,1500-3500,1500-3500,1500-3500,1500-3500,1500-3500,4000,4000
发动机,最大净功率(kW),68,68,68,68,68,68,68,78,78,78,78,78,78,78,78,78,78,125,125,125,125,125,125,125,125,68,68
发动机,能源类型,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,多点电喷,多点电喷
发动机,缸盖材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁
发动机,缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动
变速箱,挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5,5
变速箱,变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
底盘转向,驱动方式,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱
底盘转向,前悬架类型,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架,● 双横臂扭杆弹簧独立悬架
底盘转向,后悬架类型,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架
底盘转向,助力类型,● 液压助力,● 液压助力,● 液压助力,● 液压助力,● 液压助力,● 液压助力,● 液压助力,● 液压助力,● 液压助力,● 液压助力,● 液压助力,● 液压助力,● 液压助力,● 液压助力,● 液压助力,● 液压助力,● 液压助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 液压助力,● 液压助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,后制动器类型,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式
车轮制动,驻车制动类型,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹
车轮制动,前轮胎规格,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15
车轮制动,后轮胎规格,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15,● 195/70 R15
车轮制动,备胎规格,-,-,-,-,-,● 全尺寸,● 全尺寸,-,-,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸
被动安全,主/副驾驶座安全气囊,-,-,-,-,-,主 ● /副 ●,主 ● /副 ●,-,-,-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副 ●,-,主 ● /副-,主 ● /副-,主 ● /副-,-,-
被动安全,前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),-,-,-,-,-,●,●,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-
主动安全,牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,●,●,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-
主动安全,车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,●,●,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-
主动安全,胎压监测功能,-,-,-,● 胎压报警,● 胎压报警,-,-,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,-,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,-,-
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,上坡辅助,-,-,-,-,-,●,●,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,前/后驻车雷达,-,-,-,前-/后 ●,前-/后 ●,-,-,-,-,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-,前-/后 ●,前-/后 ●,前-/后 ●,-,前-/后 ●,前-/后 ●,前-/后 ●,-,-
驾驶硬件,驾驶辅助影像,-,-,-,-,● 倒车影像,-,-,-,-,-,○ 倒车影像,○ 倒车影像,○ 倒车影像,○ 倒车影像,-,-,-,○ 倒车影像,○ 倒车影像,○ 倒车影像,○ 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,-,-
驾驶功能,巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,卫星导航系统,-,-,-,-,-,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,●,●,●,●,-,-
驾驶功能,导航路况信息显示,-,-,-,-,-,-,-,-,-,-,○,○,○,○,-,-,-,○,○,○,○,-,-,-,-,-,-
驾驶功能,地图品牌,-,-,-,-,-,-,-,-,-,-,○ 高德,○ 高德,○ 高德,○ 高德,-,-,-,○ 高德,○ 高德,○ 高德,○ 高德,-,-,-,-,-,-
