セクション,項目,奥迪A6L 2026款 40 TFSI 豪华动感型,奥迪A6L 2026款 2.0T 臻选型,奥迪A6L 2026款 45 TFSI 臻选动感型,奥迪A6L 2026款 45 TFSI quattro 臻选动感型,奥迪A6L 2026款 45 TFSI quattro 臻选动感型+尊享包,奥迪A6L 2026款 2.0T 尊享型,奥迪A6L 2026款 2.0T quattro 尊享型,奥迪A6L 2026款 55 TFSI quattro 尊享动感型,奥迪A6L 2026款 3.0T quattro 旗舰型
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,○ 前排 (3500元),● 前排,○ 前排 (3500元),○ 前排 (3500元),○ 前排 (3500元),● 前排,● 前排,○ 前排 (3500元),● 前排
车内充电,手机无线充电功率,-,● 40W,-,-,-,● 40W,● 40W,-,● 40W
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●,●
座椅配置,座椅材质,"○ 真皮 (8200元)
● 仿皮","○ 真皮 (8500元)
● 仿皮","○ 真皮 (7200元)
● 仿皮","○ 真皮 (7200元)
● 仿皮","○ 真皮 (7200元)
● 仿皮","○ 真皮 (8500元)
● 仿皮","○ 真皮 (8500元)
● 仿皮","○ 真皮 (7200元)
● 仿皮",● 真皮
座椅配置,运动风格座椅,●,-,●,●,-,-,-,-,-
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,"○ 加热 (2500元)
○ 通风 (6000元)","○ 加热 (3000元)
○ 通风 (6000元)
● 按摩","● 加热
○ 通风 (6000元)
○ 按摩","● 加热
○ 通风 (6000元)
○ 按摩","● 加热
○ 通风 (6000元)
○ 按摩","● 加热
○ 通风 (6000元)
● 按摩","● 加热
● 通风
● 按摩","● 加热
○ 通风 (6000元)
○ 按摩","● 加热
● 通风
● 按摩"
座椅配置,电动座椅记忆功能,○ 驾驶位 (2500元),"● 驾驶位
○ 副驾驶位 (3500元)",○ 驾驶位 (2500元),● 驾驶位,● 驾驶位,"● 驾驶位
○ 副驾驶位 (3500元)","● 驾驶位
○ 副驾驶位 (3500元)",● 驾驶位,"● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,○ (1700元),○ (1300元),○ (1700元),○ (1700元),●,○ (1300元),●,●,●
座椅配置,第二排座椅调节,-,○ 靠背调节,"○ 靠背调节
○ 腰部调节","○ 靠背调节
○ 腰部调节","● 靠背调节
● 腰部调节",○ 靠背调节,● 靠背调节,"● 靠背调节
● 腰部调节",● 靠背调节
座椅配置,第二排座椅电动调节,-,○ (6700元),○ (4500元),○ (4500元),●,○ (6700元),●,●,●
座椅配置,第二排座椅功能,○ 加热 (2500元),○ 加热 (3000元),"○ 加热 (2500元)
○ 通风
○ 按摩","○ 加热 (2500元)
○ 通风
○ 按摩","● 加热
○ 通风
○ 按摩",○ 加热,● 加热,"● 加热
○ 通风
○ 按摩",● 加热
座椅配置,后排座椅放倒形式,-,● 比例放倒,-,-,-,● 比例放倒,-,-,-
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,○ Bang & Olufsen (1.45万元),○ Bang & Olufsen (8500元),○ Bang & Olufsen (1.45万元),○ Bang & Olufsen (1.45万元),● Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen
音响/车内灯光,扬声器数量,"● 10喇叭
○ 16喇叭","● 10喇叭
○ 16喇叭","● 10喇叭
○ 16喇叭","● 10喇叭
○ 16喇叭",● 16喇叭,● 16喇叭,● 16喇叭,● 16喇叭,● 16喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色
音响/车内灯光,主动式环境氛围灯,-,●,-,-,-,●,●,-,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,○ (5000元),○ (5500元),●,●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,○,○ (2500元),○,○,○,○ (2500元),○ (2500元),○,●
空调/冰箱,车内PM2.5过滤装置,○,●,○,○,○,●,●,○,●
空调/冰箱,负离子发生器,○,○,○,○,○,○,○,○,●
空调/冰箱,车内香氛装置,○,-,○,○,○,-,-,○,-
空调/冰箱,空气质量监测,-,○,-,-,-,○,○,-,●
颜色,外观颜色,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–
选装包,致雅套件,-,○ 选配 (免费),-,-,-,○ 选配 (免费),○ 选配 (免费),-,○ 选配 (免费)
选装包,黑光包,-,○ 选配 (免费),-,-,-,○ 选配 (免费),○ 选配 (免费),-,○ 选配 (免费)
选装包,流光之境智能氛围灯Pro,-,○ 选配 (2500元),-,-,-,-,-,-,-
选装包,光域美学智慧OLED尾灯,-,○ 选配 (8500元),-,-,-,○ 选配 (8500元),○ 选配 (8500元),-,-
选装包,冬季包,-,-,-,-,-,○ 选配 (3000元),-,-,-
