セクション,セクション_ja,項目,項目_ja,2026年モデル 11804WD Air版,2026年モデル 11804WD Pro版,2026年モデル 12204WD Max版,2026年モデル 金晖典蔵版
车身,車体,座位数(个),乗車定員(名),● 7人乗り,● 7人乗り,"● 7人乗り
○ 6人乗り
○ 8人乗り（1万円）","● 7人乗り
○ 6人乗り
○ 8人乗り"
车身,車体,油箱容积(L),燃料タンク容量(L),60,60,60,60
车身,車体,后备厢容积(L),トランク容量(L),1022,1022,1022,1022
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,BHE15-CFZ,BHE15-CFZ,BHE15-CFZ,BHE15-CFZ
发动机,エンジン,排量(mL),排気量(mL),1499,1499,1499,1499
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き
发动机,エンジン,发动机布局,エンジン配置,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),163,163,163,163
发动机,エンジン,最大功率(kW),最大出力(kW),120,120,120,120
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5000,5000,5000,5000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),255,255,255,255
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2500-3500,2500-3500,2500-3500,2500-3500
发动机,エンジン,最大净功率(kW),最大出力(kW),115,115,115,115
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製
发动机,エンジン,环保标准,環境基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準
电动机,モーター,前电动机型号,前モーター型式,YS180XS001,YS180XS001,YS180XS001,YS180XS001
电动机,モーター,后电动机型号,後モーター型式,TZ220XYA01,TZ220XYA01,TZ220XYA01,TZ220XYA01
电动机,モーター,电机类型,モーター種類,前：誘導式/非同期モーター 後：永久磁石/同期モーター,前：誘導式/非同期モーター 後：永久磁石/同期モーター,前：誘導式/非同期モーター 後：永久磁石/同期モーター,前：誘導式/非同期モーター 後：永久磁石/同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),340,340,340,340
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),462,462,462,462
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),523,523,523,523
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),90,90,90,90
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),150,150,150,150
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),250,250,250,250
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),373,373,373,373
电动机,モーター,系统综合功率(kW),システム総合出力(kW),340,340,340,340
电动机,モーター,系统综合马力(Ps),システム総合馬力(Ps),462,462,462,462
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),523,523,523,523
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前後配置,前後配置,前後配置,前後配置
电动机,モーター,三电首任车主质保政策,三電装初回オーナー保証方針,-,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー／充電,电池类型,バッテリー種類,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池
电池/充电,バッテリー／充電,电芯品牌,電池セルブランド,● 中創新航製バッテリー,● 中創新航製バッテリー,● CATL（寧徳時代）製バッテリー,● CATL（寧徳時代）製バッテリー
电池/充电,バッテリー／充電,电池特有技术,バッテリー独自技術,シールドバッテリー,シールドバッテリー,シールドバッテリー,シールドバッテリー
电池/充电,バッテリー／充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー／充電,WLTC纯电续航里程(km),WLTC航続距離(km),172,172,202,202
电池/充电,バッテリー／充電,CLTC纯电续航里程(km),CLTC航続距離(km),220,220,260,260
电池/充电,バッテリー／充電,WLTC综合续航(km),WLTC総合航続距離(km),952,952,982,982
电池/充电,バッテリー／充電,CLTC综合续航(km),CLTC総合航続距離(km),1180,1180,1220,1220
电池/充电,バッテリー／充電,电池能量(kWh),バッテリー容量(kWh),43.3,43.3,50,50
电池/充电,バッテリー／充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),23.3,23.3,24.3,24.3
电池/充电,バッテリー／充電,快充功能,急速充電機能,対応,対応,対応,対応
电池/充电,バッテリー／充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.4,0.4,0.3,0.3
电池/充电,バッテリー／充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80
电池/充电,バッテリー／充電,电池慢充时间(小时),バッテリー普通充電時間(時間),6.3,6.3,7.3,7.3
电池/充电,バッテリー／充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー／充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー／充電,对外交流放电功率(kW),外部交流放電出力(kW),6.6,6.6,6.6,6.6
电池/充电,バッテリー／充電,对外直流放电功率(kW),外部直流放電出力(kW),6.6,6.6,6.6,6.6
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,"● 235/60 R18タイヤ
○ 235/50 R20タイヤ",● 235/50 R20タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 255/60 R18タイヤ,● 255/60 R18タイヤ,"● 255/60 R18タイヤ
○ 255/50 R20タイヤ",● 255/50 R20タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前輪●／後輪なし,前輪●／後輪なし,前輪●／後輪●,前輪●／後輪●
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前輪●／後輪●,前輪●／後輪●,前輪●／後輪●,前輪●／後輪●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,-,-,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車両対応,● 全車両対応,● 全車両対応,● 全車両対応
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,-,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● 標準／コンフォート","● スポーツ
● 標準／コンフォート","● スポーツ
● 標準／コンフォート","● スポーツ
● 標準／コンフォート"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,"● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整"
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,-,-,●,●
驾驶操控,ドライビングコントロール,空气悬挂类型,エアサスペンションタイプ,-,-,● シングルチャンバー,● シングルチャンバー
驾驶操控,ドライビングコントロール,魔毯智能悬架,マジックカーペットインテリジェントサスペンション,-,-,-,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前輪●／後輪●,前輪●／後輪●,前輪●／後輪●,前輪●／後輪●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● 360度パノラマビュー
● 車側死角カメラ映像","● 360度パノラマビュー
● 車側死角カメラ映像","● 360度パノラマビュー
● 車側死角カメラ映像","● 360度パノラマビュー
● 車側死角カメラ映像"
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,-,● NVIDIA Drive Orin,● NVIDIA Drive Orin,● NVIDIA Drive Orin
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,-,● 11個,● 11個,● 12個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,-,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 8個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,-,● 3個,● 3個,● 3個
驾驶硬件,運転ハードウェア,激光雷达数量,ライダー台数,-,● 1個,● 1個,● 1個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,● 千里浩瀚H5,● 千里浩瀚H5,● 千里浩瀚H5
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,●,●,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,-,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,-,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,●,●,●
驾驶功能,運転機能,记忆泊车,駐車位置記憶,-,●,●,●
驾驶功能,運転機能,循迹倒车,トレースバック駐車,-,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,-,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,●,●,●
驾驶功能,運転機能,信号灯识别,信号機認識,-,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,-,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,-,●,●,●
驾驶功能,運転機能,辅助驾驶路段,支援運転区間,-,"● 市街地
● 高速道路","● 市街地
● 高速道路","● 市街地
● 高速道路"
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,侧滑门形式,スライドドア形式,● 両側電動,● 両側電動,● 両側電動,● 両側電動
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置記憶,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キー不要エントリー機能,● 全車両対応,● 全車両対応,● 全車両対応,● 全車両対応
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,-,"○ 電動（10,000元）","○ 電動（10,000元）","○ 電動（10,000元）"
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●
车外灯光,外部照明,辅助驾驶灯,運転支援ライト,-,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前輪●／後輪●,前輪●／後輪●,前輪●／後輪●,前輪●／後輪●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ウインドウワンタッチ昇降機能,● 全車両対応,● 全車両対応,● 全車両対応,● 全車両対応
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席"
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー機能,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納"
互联/智能化,コネクティビティ／スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ／スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ
互联/智能化,コネクティビティ／スマート機能,中控屏幕分辨率,センターコンソール画面解像度,● 2.5K,● 2.5K,● 2.5K,● 2.5K
互联/智能化,コネクティビティ／スマート機能,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応"
互联/智能化,コネクティビティ／スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウィンドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウィンドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウィンドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウィンドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ"
互联/智能化,コネクティビティ／スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、銀河,● こんにちは、銀河,● こんにちは、銀河,● こんにちは、銀河
互联/智能化,コネクティビティ／スマート機能,语音免唤醒词,音声起動ワード不要機能,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン
互联/智能化,コネクティビティ／スマート機能,语音连续识别,音声連続認識,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,可见即可说,見てすぐ話せる機能,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,面部识别,顔認証,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,应用商店,アプリストア,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,车载智能系统,車載インテリジェントシステム,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto
互联/智能化,コネクティビティ／スマート機能,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P
互联/智能化,コネクティビティ／スマート機能,后排液晶屏幕,後席液晶画面,-,-,●,●
互联/智能化,コネクティビティ／スマート機能,后排液晶屏幕尺寸,後席液晶画面サイズ,-,-,● 17.3インチ,● 17.3インチ
互联/智能化,コネクティビティ／スマート機能,后排多媒体屏幕数量,後席マルチメディア画面数,-,-,● 3個,● 3個
互联/智能化,コネクティビティ／スマート機能,后排控制多媒体,後席マルチメディア操作,-,-,●,●
互联/智能化,コネクティビティ／スマート機能,车联网,車載ネットワーク,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G
互联/智能化,コネクティビティ／スマート機能,OTA升级,OTAアップデート,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●
