セクション,項目,蔚来ES8 2026款 五座行政豪华版,蔚来ES8 2026款 七座行政豪华版,蔚来ES8 2026款 六座行政豪华版,蔚来ES8 2026款 五座行政签名版,蔚来ES8 2026款 六座行政签名版
驾驶硬件,车内摄像头数量,● 4个,● 4个,● 4个,● 4个,● 4个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,激光雷达品牌,● Seyond图达通,● Seyond图达通,● Seyond图达通,● Seyond图达通,● Seyond图达通
驾驶硬件,激光雷达型号,● Falcon猎鹰,● Falcon猎鹰,● Falcon猎鹰,● Falcon猎鹰,● Falcon猎鹰
驾驶硬件,激光雷达数量,● 3个,● 3个,● 3个,● 3个,● 3个
驾驶硬件,激光雷达线数,● 300线,● 300线,● 300线,● 300线,● 300线
驾驶硬件,激光雷达10%反射率探测距离,● 250米,● 250米,● 250米,● 250米,● 250米
驾驶硬件,前方最大探测距离,● 500米,● 500米,● 500米,● 500米,● 500米
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● Aquila蔚来超感系统,● Aquila蔚来超感系统,● Aquila蔚来超感系统,● Aquila蔚来超感系统,● Aquila蔚来超感系统
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,高精定位,●,●,●,●,●
驾驶功能,并线辅助,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,●
驾驶功能,辅助变道,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),○,○,○,○,○
驾驶功能,信号灯识别,●,●,●,●,●
驾驶功能,远程召唤,●,●,●,●,●
驾驶功能,方向盘离手检测,●,●,●,●,●
驾驶功能,辅助驾驶路段,"○ 城市路段
○ 高速路段","○ 城市路段
○ 高速路段","○ 城市路段
○ 高速路段","○ 城市路段
○ 高速路段","○ 城市路段
○ 高速路段"
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,电动前备厢,●,●,●,●,●
外观/防盗,感应前备厢,●,●,●,●,●
外观/防盗,电动前备厢位置记忆,●,●,●,●,●
外观/防盗,电动后备厢,●,●,●,●,●
外观/防盗,感应后备厢,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●
外观/防盗,车顶行李架,○ (3000元),○ (3000元),○ (3000元),○ (3000元),○ (3000元)
外观/防盗,车内中控锁,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,隐藏电动门把手,●,●,●,●,●
外观/防盗,主动闭合式进气格栅,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,"● 矩阵式
○ 像素式 (2.00万元)","● 矩阵式
○ 像素式 (2.00万元)","● 矩阵式
○ 像素式 (2.00万元)","● 矩阵式
● 像素式","● 矩阵式
● 像素式"
车外灯光,LED日间行车灯,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●
车外灯光,转向辅助灯,●,●,●,●,●
车外灯光,转向头灯,●,●,●,●,●
车外灯光,车前雾灯,● LED,● LED,● LED,● LED,● LED
车外灯光,大灯高度可调,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●
车外灯光,辅助驾驶灯,●,●,●,●,●
天窗/玻璃,天窗类型,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排"
天窗/玻璃,后排侧窗遮阳帘,● 手动,● 手动,● 手动,● 手动,● 手动
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●
天窗/玻璃,后排调光隐私玻璃,○ (2.00万元),○ (2.00万元),○ (2.00万元),●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯
● 后排+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯
● 后排+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯
● 后排+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯
● 后排+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯
● 后排+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
互联/智能化,中控屏幕类型,● AMOLED,● AMOLED,● AMOLED,● AMOLED,● AMOLED
互联/智能化,中控屏幕分辨率,● 3K,● 3K,● 3K,● 3K,● 3K
互联/智能化,中控液晶屏分屏显示,●,●,●,●,●
互联/智能化,蓝牙/车载电话,●,●,●,●,●
互联/智能化,手机互联/映射,-,-,-,-,-
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩"
互联/智能化,语音助手唤醒词,● 嗨，NOMI,● 嗨，NOMI,● 嗨，NOMI,● 嗨，NOMI,● 嗨，NOMI
互联/智能化,语音免唤醒词,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 四区域,● 六区域,● 六区域,● 四区域,● 六区域
互联/智能化,语音连续识别,●,●,●,●,●
互联/智能化,可见即可说,●,●,●,●,●
互联/智能化,应用商店,●,●,●,●,●
互联/智能化,车载智能系统,● SkyOS·天枢,● SkyOS·天枢,● SkyOS·天枢,● SkyOS·天枢,● SkyOS·天枢
互联/智能化,车机智能芯片,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P
互联/智能化,后排液晶屏幕,●,●,●,●,●
互联/智能化,后排液晶屏幕尺寸,"● 8英寸
● 21.4英寸","● 8英寸
● 21.4英寸","● 8英寸
● 21.4英寸","● 8英寸
● 21.4英寸","● 8英寸
● 21.4英寸"
互联/智能化,后排液晶屏幕类型,● MINI LED,● MINI LED,● MINI LED,● MINI LED,● MINI LED
互联/智能化,后排多媒体屏幕数量,● 2个,● 2个,● 2个,● 2个,● 2个
互联/智能化,后排控制多媒体,●,●,●,●,●
互联/智能化,车机系统内存(GB),● 32,● 32,● 32,● 32,● 32
互联/智能化,车机系统存储(GB),● 256,● 256,● 256,● 256,● 256
互联/智能化,车联网,●,●,●,●,●
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G
互联/智能化,OTA升级,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●
方向盘/内后视镜,方向盘加热,●,●,●,●,●
方向盘/内后视镜,方向盘记忆,●,●,●,●,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-,-
方向盘/内后视镜,AR-HUD增强现实抬头显示,●,●,●,●,●
方向盘/内后视镜,HUD抬头尺寸,● 38英寸,● 38英寸,● 38英寸,● 38英寸,● 38英寸
方向盘/内后视镜,内后视镜功能,"● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体"
方向盘/内后视镜,ETC装置,●,●,●,●,●
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排1个,● 前排3个/后排4个,● 前排3个/后排4个,● 前排2个/后排1个,● 前排3个/后排4个
车内充电,USB/Type-C最大充电功率,● 60W,● 60W,● 60W,● 60W,● 60W
车内充电,220V/230V电源,●,●,●,●,●
车内充电,手机无线充电功能,"● 前排
● 后排",● 前排,● 前排,"● 前排
● 后排",● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,行李厢12V电源接口,●,●,●,●,●
座椅配置,座椅材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,"● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)"
座椅配置,电动座椅记忆功能,"● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排"
座椅配置,副驾驶位后排可调节按钮,●,●,●,●,●
座椅配置,第二排座椅调节,"● 靠背调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节
○ 脚踏调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节
● 左右调节
○ 脚踏调节
● 电动扶手","● 靠背调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节
● 左右调节
○ 脚踏调节
● 电动扶手"
座椅配置,第二排座椅电动调节,●,●,●,●,●
座椅配置,第二排座椅功能,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩"
座椅配置,后排小桌板,●,●,●,●,●
座椅配置,零重力座椅,● 第一排,"○ 主驾驶 (10000元)
● 副驾驶","○ 主驾驶 (10000元)
● 副驾驶
● 第二排",● 第一排,"○ 主驾驶 (10000元)
● 副驾驶
● 第二排"
座椅配置,第二排独立座椅,-,-,●,-,●
座椅配置,第三排座椅调节,-,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",-,"● 前后调节
● 靠背调节"
座椅配置,第三排座椅电动调节,-,●,●,-,●
座椅配置,第三排座椅功能,-,● 加热,● 加热,-,● 加热
座椅配置,座椅布局,-,● 2-3-2,● 2-2-2,-,● 2-2-2
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,后排座椅电动放倒,●,●,●,●,●
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-
音响/车内灯光,扬声器数量,● 27喇叭,● 27喇叭,● 27喇叭,● 27喇叭,● 27喇叭
音响/车内灯光,杜比全景声(Dolby Atmos),●,●,●,●,●
音响/车内灯光,触摸式阅读灯,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,● 1600万色,● 1600万色,● 1600万色,● 1600万色,● 1600万色
音响/车内灯光,主动式环境氛围灯,●,●,●,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,●,●,●,●,●
空调/冰箱,后排独立空调,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●
空调/冰箱,负离子发生器,●,●,●,●,●
空调/冰箱,车内香氛装置,●,●,●,●,●
空调/冰箱,空气质量监测,●,●,●,●,●
空调/冰箱,车载冰箱,●,●,●,●,●
特色配置,智能高清投影大灯,○,○,○,●,●
颜色,外观颜色,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–
选装包,20英寸七辐星帆轮圈,○ 选配 (免费),-,-,-,-
