セクション,項目,狮铂拓界 2026款 1.5T 两驱舒适版,狮铂拓界 2026款 1.5T 两驱豪华版,狮铂拓界 2026款 1.5T 两驱尊贵版,狮铂拓界 2026款 2.0T 两驱尊贵版,狮铂拓界 2026款 2.0T 四驱尊贵版,狮铂拓界 2026款 2.0T 两驱旗舰版,狮铂拓界 2026款 2.0T 四驱旗舰版,狮铂拓界 2025款 1.5T 两驱豪华版,狮铂拓界 2025款 1.5T 两驱豪华舒享版,狮铂拓界 2025款 1.5T 两驱尊贵智享版,狮铂拓界 2025款 1.5T 两驱尊贵版,狮铂拓界 2025款 2.0T 两驱豪华版,狮铂拓界 2025款 2.0T 两驱豪华舒享版,狮铂拓界 2025款 2.0T 两驱尊贵智享版,狮铂拓界 2025款 2.0T 两驱尊贵版,狮铂拓界 2025款 2.0T 四驱豪华版,狮铂拓界 2025款 2.0L HEV 两驱豪华版,狮铂拓界 2025款 2.0T 四驱豪华舒享版,狮铂拓界 2025款 2.0T 四驱尊贵智享版,狮铂拓界 2025款 2.0T 四驱尊贵版,狮铂拓界 2025款 2.0L HEV 两驱尊贵版,狮铂拓界 2025款 2.0T 两驱旗舰版,狮铂拓界 2025款 2.0T 四驱旗舰版,狮铂拓界 2025款 2.0L HEV 两驱旗舰版
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地"
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,能量回收系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●,-,-,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像",● 倒车影像,● 倒车影像,"● 倒车影像
● 360度全景影像
● 车侧盲区影像","● 倒车影像
○ 360度全景影像
○ 车侧盲区影像",● 倒车影像,● 倒车影像,"● 倒车影像
● 360度全景影像
● 车侧盲区影像","● 倒车影像
○ 360度全景影像
○ 车侧盲区影像",● 倒车影像,● 倒车影像,● 倒车影像,"● 倒车影像
● 360度全景影像
● 车侧盲区影像","● 倒车影像
○ 360度全景影像
○ 车侧盲区影像","● 倒车影像
○ 360度全景影像
○ 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,前方感知摄像头,-,-,● 单目,● 单目,● 单目,● 单目,● 单目,-,-,● 单目,● 单目,-,-,● 单目,● 单目,-,-,-,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 1个,● 4个,● 5个,● 5个,● 5个,● 5个,● 5个,● 1个,● 1个,● 5个,"● 2个
○ 5个",● 1个,● 1个,● 5个,"● 2个
○ 5个",● 1个,● 1个,● 1个,● 5个,"● 2个
○ 5个","● 2个
○ 5个",● 5个,● 5个,● 5个
驾驶硬件,超声波雷达数量,● 8个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,-,-,● L2,● L2,● L2,● L2,● L2,-,-,● L2,● L2,-,-,● L2,● L2,-,-,-,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,○,○,○,●,●,-,-,-,○,-,-,-,○,-,-,-,-,○,○,●,●,●
驾驶功能,卫星导航系统,-,-,●,●,●,●,●,-,-,●,●,-,-,●,●,-,-,-,●,●,●,●,●,●
驾驶功能,导航路况信息显示,-,-,●,●,●,●,●,-,-,●,●,-,-,●,●,-,-,-,●,●,●,●,●,●
驾驶功能,地图品牌,-,-,● 百度,● 百度,● 百度,● 百度,● 百度,-,-,● 百度,● 百度,-,-,● 百度,● 百度,-,-,-,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度
驾驶功能,并线辅助,-,-,○,○,○,●,●,-,-,-,○,-,-,-,○,-,-,-,-,○,○,●,●,●
驾驶功能,车道保持辅助系统,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,遥控泊车,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助变道,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,方向盘离手检测,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助驾驶路段,-,-,-,-,-,● 高速路段,● 高速路段,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
外观/防盗,感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
外观/防盗,电动后备厢位置记忆,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
外观/防盗,车顶行李架,-,●,●,●,●,●,●,-,-,-,●,-,-,-,●,-,-,-,-,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
○ 蓝牙钥匙
○ UWB数字钥匙
○ NFC/RFID钥匙","● 遥控钥匙
○ 蓝牙钥匙
○ UWB数字钥匙
○ NFC/RFID钥匙","● 遥控钥匙
○ 蓝牙钥匙
○ UWB数字钥匙
○ NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙",● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●,●,●,-,-,●,●,-,-,●,●,-,-,-,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,-,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 全车,● 驾驶位,● 驾驶位,● 驾驶位,● 全车,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶",●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,-,-,-,-,-,● 雨量感应式,● 雨量感应式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠",● 电动调节,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠",● 电动调节,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠",● 电动调节,● 电动调节,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
互联/智能化,中控屏幕分辨率,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P,● 720P
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife",● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife
互联/智能化,语音识别控制系统,-,-,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗",-,-,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗",-,-,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗",-,-,-,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗"
互联/智能化,语音助手唤醒词,-,-,● 你好，起亚,● 你好，起亚,● 你好，起亚,● 你好，起亚,● 你好，起亚,-,-,● 你好，起亚,● 你好，起亚,-,-,● 你好，起亚,● 你好，起亚,-,-,-,● 你好，起亚,● 你好，起亚,● 你好，起亚,● 你好，起亚,● 你好，起亚,● 你好，起亚
互联/智能化,语音分区域唤醒识别,-,-,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,-,-,● 双区域,● 双区域,-,-,● 双区域,● 双区域,-,-,-,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
互联/智能化,应用商店,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,车载智能系统,● ccNC,● ccNC,● ccNC,● ccNC,● ccNC,● ccNC,● ccNC,-,-,● Kia Connect,● Kia Connect,-,-,● Kia Connect,● Kia Connect,-,-,-,● Kia Connect,● Kia Connect,● Kia Connect,● Kia Connect,● Kia Connect,● Kia Connect
互联/智能化,车联网,-,-,●,●,●,●,●,-,-,●,●,-,-,●,●,-,-,-,●,●,●,●,●,●
互联/智能化,4G/5G网络,-,-,● 4G,● 4G,● 4G,● 4G,● 4G,-,-,● 4G,● 4G,-,-,● 4G,● 4G,-,-,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●,-,-,●,●,-,-,●,●,-,-,-,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修",-,-,"● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车",-,-,"● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
○ 座椅加热
○ 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
○ 座椅加热
○ 座椅通风
● 车况查询/诊断
● 车辆定位/寻车",-,-,-,"● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
○ 座椅加热
○ 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
○ 座椅加热
○ 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
○ 座椅加热
○ 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 4.2英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
方向盘/内后视镜,ETC装置,○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元)
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,● 前排,● 前排,● 前排,● 前排,● 前排,-,-,-,● 前排,-,-,-,● 前排,-,-,-,-,● 前排,● 前排,● 前排,● 前排,● 前排
