セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0L e HEV クラシック版,2026年モデル 2.0L e HEV コンフォート版,2026年モデル 2.0L e HEV ラグジュアリーブラックジャズ版,2026年モデル 2.0L e HEV プレミアムブラックジャズ版
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1941,1947,1982,1988
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2514,2514,2514,2514
车身,車体,长度(mm),全長(mm),4951,4951,4951,4951
车身,車体,宽度(mm),全幅(mm),1842,1842,1842,1842
车身,車体,高度(mm),全高(mm),1711,1711,1711,1711
车身,車体,轴距(mm),ホイールベース(mm),2900,2900,2900,2900
车身,車体,前轮距(mm),前トレッド(mm),1560,1560,1560,1560
车身,車体,后轮距(mm),後トレッド(mm),1560,1560,1560,1560
车身,車体,满载最小离地间隙(mm),満載時最小地上高(mm),124,124,124,124
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),17,17,17,17
车身,車体,最小转弯半径(m),最小回転半径(m),5.4,5.4,5.4,5.4
车身,車体,车身结构,ボディ構造,MPV,MPV,MPV,MPV
车身,車体,车门开启方式,ドア開閉方式,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア
车身,車体,车门数(个),ドア数(枚),● 5名乗車,● 5名乗車,● 5名乗車,● 5名乗車
车身,車体,座位数(个),乗車定員(名),● 7名乗車,● 7名乗車,● 7名乗車,● 7名乗車
车身,車体,油箱容积(L),燃料タンク容量(L),50,50,50,50
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,LFB12型,LFB12型,LFB12型,LFB12型
发动机,エンジン,排量(mL),排気量(mL),1993,1993,1993,1993
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4
发动机,エンジン,压缩比,圧縮比,13.5,13.5,13.5,13.5
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),146,146,146,146
发动机,エンジン,最大功率(kW),最大出力(kW),107,107,107,107
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6200,6200,6200,6200
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),175,175,175,175
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),3500,3500,3500,3500
发动机,エンジン,最大净功率(kW),最大出力(kW),107,107,107,107
发动机,エンジン,发动机特有技术,エンジン独自技術,i-VTEC／アトキンソンサイクル,i-VTEC／アトキンソンサイクル,i-VTEC／アトキンソンサイクル,i-VTEC／アトキンソンサイクル
发动机,エンジン,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,电动机总功率(kW),モーター総出力(kW),135,135,135,135
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),184,184,184,184
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),315,315,315,315
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),135,135,135,135
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),315,315,315,315
电动机,モーター,系统综合功率(kW),システム総合出力(kW),158,158,158,158
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),215,215,215,215
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,前置エンジン,前置エンジン,前置エンジン,前置エンジン
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー
电池/充电,バッテリー/充電,电池组质保,バッテリー保証期間,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● FF（前置前輪駆動）,● FF（前置前輪駆動）,● FF（前置前輪駆動）,● FF（前置前輪駆動）
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席●／後席なし,前席●／後席なし,前席●／後席なし,前席●／後席なし
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),-,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／コンフォート","● スポーツ
● エコ
● 標準／コンフォート","● スポーツ
● エコ
● 標準／コンフォート","● スポーツ
● エコ
● 標準／コンフォート"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● バックカメラ
● サイドブラインドビューカメラ","● バックカメラ
● サイドブラインドビューカメラ","● バックカメラ
● サイドブラインドビューカメラ","● 360度パノラマビュー
● サイドブラインドビューカメラ"
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 2個,● 3個,● 3個,● 5個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 6個,● 6個,● 6個,● 8個
驾驶功能,運転機能,巡航系统,クルーズコントロール,-,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,● Honda SENSING,● Honda SENSING,● Honda SENSING
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援システム,-,-,-,●
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール
外观/防盗,エクステリア・盗難防止,侧滑门形式,スライドドア形式,● 両側電動スライドドア,● 両側電動スライドドア,● 両側電動スライドドア,● 両側電動スライドドア
外观/防盗,エクステリア・盗難防止,魔术感应门,マジックセンサー付きドア,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー機能,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,"● リモコンキー
● ブルートゥースキー","● リモコンキー
● ブルートゥースキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,-,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LEDライト,● LEDライト,● LEDライト,● LEDライト
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LEDライト,● LEDライト,● LEDライト,● LEDライト
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,-,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,● LEDライト,● LEDライト,● LEDライト,● LEDライト
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 運転席,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,オートワイパー機能,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,"● 電動調整
● 電動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● 施錠時自動格納"
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,-,"● マルチメディアシステム
● ナビゲーション
● 電話機能","● マルチメディアシステム
● ナビゲーション
● 電話機能","● マルチメディアシステム
● ナビゲーション
● 電話機能"
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別ウェイクアップ認識,-,● シングルゾーン,● シングルゾーン,● シングルゾーン
互联/智能化,コネクティビティ/スマート機能,车载智能系统,車載インテリジェントシステム,-,● Honda Connect,● Honda Connect,● Honda Connect
互联/智能化,コネクティビティ/スマート機能,车联网,コネクテッドカー,-,●,●,●
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G/5Gネットワーク,-,● 4G対応,● 4G対応,● 4G対応
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,-,●,●,●
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,-,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,-,"● 車両状態確認／診断
● 車両位置特定／車両探索","● 車両状態確認／診断
● 車両位置特定／車両探索","● 車両状態確認／診断
● 車両位置特定／車両探索"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7インチ,● 7インチ,● 7インチ,● 7インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,○,○,○
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USBポート,● USBポート,"● USBポート
● Type-C対応","● USBポート
● Type-C対応"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席4個,● 前席3個／後席4個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,● 50W,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 革／ファブリックコンビネーション,"● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革"
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,運転席／助手席,運転席／助手席,運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,● シートヒーター,● シートヒーター
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● 背もたれ調整
● 左右調整","● 前後調整
● 背もたれ調整
● 左右調整","● 前後調整
● 背もたれ調整
● 肩部調整
● レッグレスト調整
● 左右調整","● 前後調整
● 背もたれ調整
● 肩部調整
● レッグレスト調整
● 左右調整"
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,-,-,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,● シートヒーター,● シートヒーター
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,●,●
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-3配列,● 2-2-3配列,● 2-2-3配列,● 2-2-3配列
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 単色,● 単色,● 単色,● 単色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部エアコン吹出口,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別調節,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–
