セクション,項目,北京越野BJ40增程 2026款 长续航 201 Max,北京越野BJ40增程 2026款 长续航 201 Max+,北京越野BJ40增程 2026款 长续航 252 Ultra,北京越野BJ40增程 2026款 公务版,北京越野BJ40增程 2026款 卓越版,北京越野BJ40增程 2026款 恒通版,北京越野BJ40增程 2025款 标准版,北京越野BJ40增程 2025款 标准版Ⅰ,北京越野BJ40增程 2025款 进阶版,北京越野BJ40增程 2025款 元境智行版,北京越野BJ40增程 2025款 行业版
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
天窗/玻璃,可加热喷水嘴,-,-,○,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 12.8英寸,● 15.6英寸,● 12.8英寸,● 15.6英寸,● 12.8英寸
互联/智能化,副驾娱乐屏尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 12.8英寸,● 15.6英寸,● 12.8英寸,● 15.6英寸,● 12.8英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连",● 亿连
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
○ 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
○ 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
○ 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
○ 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
○ 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风"
互联/智能化,语音助手唤醒词,● 北京北京,● 北京北京,● 北京北京,● 北京北京,● 北京北京,● 北京北京,● 北京北京,● 北京北京,● 北京北京,● 北京北京,● 北京北京
互联/智能化,语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
互联/智能化,语音连续识别,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,可见即可说,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,应用商店,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,车载智能系统,● BEIJING OS,● BEIJING OS,● BEIJING OS,● BEIJING OS,● BEIJING OS,● BEIJING OS,● BEIJING OS,● BEIJING OS,● BEIJING OS,● BEIJING OS,● BEIJING OS
互联/智能化,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
互联/智能化,车机系统内存(GB),● 16,● 16,● 16,● 16,● 16,● 16,-,● 16,-,● 16,-
互联/智能化,车机系统存储(GB),● 128,● 128,● 128,● 128,● 128,● 128,-,● 128,-,● 128,-
互联/智能化,多指飞屏操控,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,车联网,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
互联/智能化,主动降噪,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,车载KTV,●,●,●,●,●,●,-,●,-,●,-
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,●,●,-,-,-,●,-,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,●,-,●,-,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 自动防眩目,"● 自动防眩目
○ 流媒体",● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,"● 自动防眩目
● 流媒体","● 自动防眩目
○ 流媒体",● 自动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个
车内充电,220V/230V电源,●,●,●,●,-,●,●,●,●,●,●
车内充电,手机无线充电功能,-,● 前排,● 前排,● 前排,● 前排,-,-,-,● 前排,● 前排,-
车内充电,手机无线充电功率,-,● 50W,● 50W,● 50W,● 50W,-,-,-,● 50W,● 50W,-
座椅配置,座椅材质,● 仿皮,● 仿皮,"○ 真皮
● 仿皮",● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 真皮,"○ 真皮
● 仿皮",● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,"● 加热
● 通风","● 加热
● 通风","● 加热
● 通风
○ 按摩","● 加热
● 通风",● 加热,"● 加热
● 通风","● 加热
● 通风","● 加热
● 通风","● 加热
● 通风
● 按摩","● 加热
● 通风
○ 按摩","● 加热
● 通风"
座椅配置,电动座椅记忆功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,零重力座椅,-,● 副驾驶,● 副驾驶,-,-,-,-,-,● 副驾驶,● 副驾驶,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,● Infinity燕飞利仕,● Infinity燕飞利仕,-,-,-,-,-,● Infinity燕飞利仕,● Infinity燕飞利仕,-
音响/车内灯光,扬声器数量,● 10喇叭,● 12喇叭,● 12喇叭,● 10喇叭,● 10喇叭,● 10喇叭,● 10喇叭,● 10喇叭,● 12喇叭,● 12喇叭,● 10喇叭
音响/车内灯光,车内环境氛围灯,● 单色,● 256色,● 256色,● 单色,● 单色,● 单色,● 单色,● 单色,● 256色,● 256色,● 单色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,●,-,●,-,●
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,●,-,●,-,●
空调/冰箱,负离子发生器,-,-,-,-,-,-,●,-,●,-,●
空调/冰箱,空气质量监测,-,-,-,-,-,-,●,-,●,-,●
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–
选装包,户外越野包,○ 选配 (10000元),○ 选配 (10000元),○ 选配 (10000元),-,○ 选配 (10000元),-,○ 选配 (10000元),○ 选配 (10000元),○ 选配 (10000元),○ 选配 (10000元),-
选装包,舒享包,-,-,○ 选配 (6000元),-,-,-,-,-,-,-,-
选装包,舒享包,-,-,-,-,-,-,-,-,-,○ 选配 (6000元),-
