セクション,セクション_ja,項目,項目_ja,2026年モデル 赤兎標準版,2025年モデル 標準版,2025年モデル 進階版,2025年モデル 標準版Ⅰ,2025年モデル 元境智行版,2025年モデル 卓越版,2025年モデル 業界版
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),4.28,4.15,4.15,4.08,4.08,4.15,4.15
基本参数,基本仕様,整车质保,車両保証,● 5年または15万km,● 5年または15万km,● 5年または15万km,● 5年または15万km,● 5年または15万km,● 5年または15万km,● 5年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2725,2640,2640,2640,2640,2640,2640
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3140,3140,3140,3140,3140,3140,3140
基本参数,基本仕様,准拖挂车总质量(kg),準牽引車総質量(kg),2500,-,-,-,-,-,-
车身,車体,长度(mm),全長(mm),4861,4790,4790,4790,4790,4790,4790
车身,車体,宽度(mm),全幅(mm),2065,1940,1940,1940,1940,1940,1940
车身,車体,高度(mm),全高(mm),2110,1964,1964,1964,1964,1964,1964
车身,車体,轴距(mm),ホイールベース(mm),2760,2760,2760,2760,2760,2760,2760
车身,車体,前轮距(mm),前トレッド(mm),1620,1620,1620,1620,1620,1620,1620
车身,車体,后轮距(mm),後トレッド(mm),1640,1640,1640,1640,1640,1640,1640
车身,車体,最小离地间隙(mm),最低地上高(mm),300,215,215,215,215,215,215
车身,車体,接近角(°),アプローチアングル(°),40,38,38,38,38,38,38
车身,車体,离去角(°),デパーチャーアングル(°),37,37,37,37,37,37,37
车身,車体,最大爬坡度(%),最大登坂能力(%),100,100,100,100,100,100,100
车身,車体,最大涉水深度(mm),最大渡河深度(mm),835,750,750,750,750,750,750
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),82,82,82,82,82,82,82
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),188,188,188,188,188,188,188
发动机,エンジン,最大功率(kW),最大出力(kW),138,138,138,138,138,138,138
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),130,130,130,130,130,130,130
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式
发动机,エンジン,燃油标号,燃料オクタン価,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
电动机,モーター,前电动机型号,前モーター型式,TZ180XS502A,TZ180XS502A,TZ180XS502A,TZ180XS502A,TZ180XS502A,TZ180XS502A,TZ180XS502A
电动机,モーター,后电动机型号,後モーター型式,TZ220XY806,TZ220XY806,TZ220XY806,TZ220XY806,TZ220XY806,TZ220XY806,TZ220XY806
电动机,モーター,电机类型,モーター種類,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),403,403,403,403,403,403,403
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),548,548,548,548,548,548,548
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),655,655,655,655,655,655,655
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),153,153,153,153,153,153,153
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),250,250,250,250,250,250,250
电动机,モーター,系统综合功率(kW),システム総合出力(kW),403,403,403,403,403,403,403
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),548,548,548,548,548,548,548
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),655,655,655,655,655,655,655
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置
电动机,モーター,三电系统质保,三電システム保証,-,-,-,-,-,-,● 8年または15万km
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証政策,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー／充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー／充電,电芯品牌,電池セルブランド,● 中创新航製,● 中创新航製,● 中创新航製,● 中创新航製,● 中创新航製,● 中创新航製,● 中创新航製
电池/充电,バッテリー／充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー／充電,WLTC纯电续航里程(km),WLTC航続距離(km),122,126,126,126,126,126,126
电池/充电,バッテリー／充電,CLTC纯电续航里程(km),CLTC航続距離(km),150,152,152,152,152,152,152
电池/充电,バッテリー／充電,CLTC综合续航(km),CLTC総合航続距離(km),1180,1200,1200,1200,1200,1200,1200
电池/充电,バッテリー／充電,电池能量(kWh),バッテリー容量(kWh),40.3,40.3,40.3,40.3,40.3,40.3,40.3
电池/充电,バッテリー／充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),24.3,23.8,23.8,23.7,23.7,23.8,23.8
电池/充电,バッテリー／充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー／充電,快充功率(kW),急速充電出力(kW),60,60,60,60,60,60,60
电池/充电,バッテリー／充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5,0.5,0.5,0.5
电池/充电,バッテリー／充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー／充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー／充電,快充接口位置,急速充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー／充電,对外交流放电功率(kW),外部交流放電出力(kW),3.5,3.5,3.5,3.5,3.5,3.5,3.5
电池/充电,バッテリー／充電,对外直流放电功率(kW),外部直流放電出力(kW),6,6,6,6,6,6,6
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 295/60 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 295/60 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● 背負式,● 背負式,● 背負式,● 背負式,● 背負式,● 背負式,● 背負式
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,-,前席 ● / 後席 ●,-,前席 ● / 後席 ●,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定用インターフェース,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,-,●,-,●,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,-,●,-,●,-,-
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準／快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準／快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準／快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準／快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準／快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準／快適
● オフロード
● スノー"
驾驶操控,ドライビングコントロール,单踏板模式,ワンペダルモード,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,拖挂模式,トレーラーモード,●,○,○,○,○,●,○
四驱/越野,4WD／オフロード,中央差速器锁止功能,センターデフロック機能,●,●,●,●,●,●,●
四驱/越野,4WD／オフロード,限滑差速器/差速锁,リミテッドスリップデフ/デフロック,"● フロントデフロック
● リアデフロック","○ フロントデフロック
● リアデフロック","○ フロントデフロック
● リアデフロック","○ フロントデフロック
● リアデフロック","○ フロントデフロック
● リアデフロック","● フロントデフロック
● リアデフロック","○ フロントデフロック
● リアデフロック"
四驱/越野,4WD／オフロード,涉水感应系统,渡河感知システム,●,●,●,●,●,●,●
四驱/越野,4WD／オフロード,蠕行模式,クリープモード,●,●,●,●,●,●,●
四驱/越野,4WD／オフロード,坦克转弯,タンクターン,●,●,●,●,●,●,●
四驱/越野,4WD／オフロード,涉水喉,渡河用エアインテーク,●,-,-,-,-,-,-
四驱/越野,4WD／オフロード,拖挂钩,トレーラーフック,● マニュアル,○ マニュアル,○ マニュアル,○ マニュアル,○ マニュアル,○ マニュアル,○ マニュアル
四驱/越野,4WD／オフロード,拖车取电口,トレーラー電源取出口,●,○,○,○,○,○,○
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前-/後 ●,前席 ● / 後席 ●,前-/後 ●,前席 ● / 後席 ●,前-/後 ●,前-/後 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● モノカメラ,● モノカメラ,● モノカメラ,● ステレオカメラ,● モノカメラ,● モノカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 11個,● 5個,● 6個,● 5個,● 11個,● 6個,● 5個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個,● 4個,● 12個,● 4個,● 12個,● 4個,● 4個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 3個,● 1個,● 4個,● 1個,● 3個,-,● 1個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● 元境インテリジェント運転支援,-,-,-,● 元境インテリジェント運転支援,-,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,-,●,-,●,-,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ道路状況情報表示,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,高精地图,高精度地図,●,-,-,-,●,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,-,●,-,●,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,-,●,-,●,-,-
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,-,●,-,●,-,-
驾驶功能,運転機能,记忆泊车,メモリーパーク,●,-,-,-,●,-,-
驾驶功能,運転機能,循迹倒车,トレースバック駐車,●,-,●,-,●,-,-
驾驶功能,運転機能,辅助变道,車線変更支援,●,-,-,-,●,-,-
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,-,-,-,●,-,-
驾驶功能,運転機能,信号灯识别,信号機認識,●,-,-,-,●,-,-
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,-,-,-,●,-,-
驾驶功能,運転機能,辅助驾驶路段,運転支援区間,● 高速道路区間,-,-,-,● 高速道路区間,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,尾门玻璃独立开启,テールゲートガラス独立開閉,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,-,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー",● リモコンキー,"● リモコンキー
● Bluetoothキー",● リモコンキー,"● リモコンキー
● Bluetoothキー",● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,● 固定式,● 固定式,● 電動式,● 固定式,● 電動式,● 固定式,● 固定式
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,-,●,-,●,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライト,○,-,●,-,○,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
