セクション,項目,锐胜M8新能源 2026款 增程版 180尊享型 7座,锐胜M8新能源 2026款 增程版 230尊享型 7座,锐胜M8新能源 2026款 增程版 230尊享型 9座,锐胜M8新能源 2026款 增程版 230尊贵型 7座,锐胜M8新能源 2026款 增程版 230中级营运 7座,锐胜M8新能源 2026款 增程版 230中级营运 9座,锐胜M8新能源 2026款 增程版 230高级营运 7座,锐胜M8新能源 2026款 增程版 230高级营运 9座,锐胜M8新能源 2026款 增程版 230旗舰型 7座,锐胜M8新能源 2026款 增程版 230高级营运旗舰型 7座,锐胜M8新能源 2026款 增程版 230行政版 7座,锐胜M8新能源 2026款 纯电版 505尊享型 7座,锐胜M8新能源 2026款 纯电版 505尊享型 9座,锐胜M8新能源 2026款 纯电版 505中级营运 7座,锐胜M8新能源 2026款 纯电版 560尊享型 7座,锐胜M8新能源 2026款 纯电版 505中级营运 9座,锐胜M8新能源 2026款 纯电版 560尊享型 9座,锐胜M8新能源 2026款 纯电版 560中级营运 7座,锐胜M8新能源 2026款 纯电版 560中级营运 9座,锐胜M8新能源 2026款 纯电版 560高级营运 7座,锐胜M8新能源 2026款 纯电版 560尊贵型 7座,锐胜M8新能源 2026款 纯电版 560高级营运 9座,锐胜M8新能源 2026款 纯电版 560旗舰型 7座,锐胜M8新能源 2026款 纯电版 560高级营运旗舰型 7座,锐胜M8新能源 2026款 纯电版 560行政版 7座,锐胜M8新能源 2026款 改款 纯电版 505盛航版 7座,锐胜M8新能源 2026款 纯电版 505盛航版 7座
基本参数,电池快充电量范围(%),10-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,20-90,20-90,20-90,20-80,20-90,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-90,20-90
基本参数,电池慢充电量范围(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,20-90,20-90,20-90,-,20-90,-,-,-,-,-,-,-,-,-,20-90,20-90
基本参数,最大功率(kW),170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
基本参数,最大扭矩(N·m),310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门7座MPV,5门7座MPV,5门9座MPV,5门7座MPV,5门7座MPV,5门9座MPV,5门7座MPV,5门9座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门9座MPV,5门7座MPV,5门7座MPV,5门9座MPV,5门9座MPV,5门7座MPV,5门9座MPV,5门7座MPV,5门7座MPV,5门9座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
基本参数,发动机,增程器 152马力,增程器 152马力,增程器 152马力,增程器 152马力,增程器 152马力,增程器 152马力,增程器 152马力,增程器 152马力,增程器 152马力,增程器 152马力,增程器 152马力,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,电动机(Ps),231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
基本参数,长*宽*高(mm),5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955,5317*1870*1955
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),150,150,150,150,100,100,100,100,150,100,150,150,150,100,150,100,150,100,100,100,150,100,150,100,150,150,150
基本参数,电能当量燃料消耗量(L/100km),2.33,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,整车质保,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,-,-,-,-,-,-,-,-,-,-,-,-,-,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里
基本参数,整备质量(kg),2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2430,2430,2430,2490,2430,2490,2490,2490,2490,2490,2490,2490,2490,2490,2430,2430
基本参数,最大满载质量(kg),3085,3085,3085,3085,3085,3085,3085,3085,3085,3085,3085,3105,3105,3105,3165,3105,3165,3165,3165,3165,3165,3165,3165,3165,3165,3105,3105
车身,长度(mm),5317,5317,5317,5317,5317,5317,5317,5317,5317,5317,5317,5317,5317,5317,5317,5317,5317,5317,5317,5317,5317,5317,5317,5317,5317,5317,5317
车身,宽度(mm),1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870
车身,高度(mm),1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955
车身,轴距(mm),3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
车身,前轮距(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
车身,后轮距(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
车身,接近角(°),16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
车身,离去角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
车身,车身结构,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 9,● 7,● 7,● 9,● 7,● 9,● 7,● 7,● 7,● 7,● 9,● 7,● 7,● 9,● 9,● 7,● 9,● 7,● 7,● 9,● 7,● 7,● 7,● 7,● 7
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,H15RT,H15RT,H15RT,H15RT,H15RT,H15RT,H15RT,H15RT,H15RT,H15RT,H15RT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,排量(mL),1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,每缸气门数(个),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,缸径(mm),73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,行程(mm),88.32,88.32,88.32,88.32,88.32,88.32,88.32,88.32,88.32,88.32,88.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大马力(Ps),152,152,152,152,152,152,152,152,152,152,152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大功率(kW),112,112,112,112,112,112,112,112,112,112,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),210,210,210,210,210,210,210,210,210,210,210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),110,110,110,110,110,110,110,110,110,110,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,能源类型,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机,后电动机品牌,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕,菲仕
电动机,后电动机型号,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140,TZ220XS140
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
电动机,电动机总马力(Ps),231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
电动机,电动机总扭矩(N·m),310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310
电动机,后电动机最大功率(kW),170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
电动机,后电动机最大扭矩(N·m),310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机,三电系统质保,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 亿纬锂能,● 巨湾技研,● 巨湾技研,● 巨湾技研,● 巨湾技研,● 巨湾技研,● 巨湾技研,● 巨湾技研,● 巨湾技研,● 巨湾技研,● 巨湾技研,● 亿纬锂能,● 亿纬锂能,● 亿纬锂能,● 巨湾技研,● 亿纬锂能,● 巨湾技研,● 巨湾技研,● 巨湾技研,● 巨湾技研,● 巨湾技研,● 巨湾技研,● 巨湾技研,● 巨湾技研,● 巨湾技研,● 亿纬锂能,● 亿纬锂能
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),180,230,230,230,230,230,230,230,230,230,230,505,505,505,560,505,560,560,560,560,560,560,560,560,560,505,505
电池/充电,CLTC综合续航(km),1370,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,电池能量(kWh),35,46,46,46,46,46,46,46,46,46,46,81,81,81,92,81,92,92,92,92,92,92,92,92,92,81,81
电池/充电,百公里耗电量(kWh/100km),-,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,18.1,18.1,18.1,18.4,18.1,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.1,18.1
电池/充电,电池组质保,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里,● 八年或60万公里
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.3,0.8,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.8,0.8
电池/充电,电池快充电量范围(%),10-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,20-90,20-90,20-90,20-80,20-90,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-90,20-90
电池/充电,电池慢充时间(小时),4.2,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,9.2,9.2,9.2,-,9.2,-,-,-,-,-,-,-,-,-,9.2,9.2
电池/充电,电池慢充电量范围(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,20-90,20-90,20-90,-,20-90,-,-,-,-,-,-,-,-,-,20-90,20-90
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
