セクション,項目,坦克300新能源 2025款 Hi4-T 37.1kWh,坦克300新能源 2025款 Hi4-T 36.7kWh,
主动安全,低速行车警告,●,●,–
主动安全,内置行车记录仪,●,●,–
主动安全,道路救援呼叫,●,●,–
主动安全,防侧翻系统,●,●,–
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地",–
驾驶操控,能量回收系统,●,●,–
驾驶操控,自动驻车,●,●,–
驾驶操控,上坡辅助,●,●,–
驾驶操控,陡坡缓降,●,●,–
四驱/越野,中央差速器锁止功能,●,●,–
四驱/越野,限滑差速器/差速锁,"○ 前桥差速锁 (6000元)
● 后桥差速锁","○ 前桥差速锁 (6000元)
● 后桥差速锁",–
四驱/越野,低速四驱,●,●,–
四驱/越野,蠕行模式,●,●,–
四驱/越野,坦克转弯,●,●,–
四驱/越野,拖挂钩,○ 手动,○ 手动,–
四驱/越野,拖车取电口,○,○,–
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,–
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像",–
驾驶硬件,透明底盘/540度影像,●,●,–
驾驶硬件,前方感知摄像头,● 单目,● 单目,–
驾驶硬件,摄像头数量,● 5个,● 5个,–
驾驶硬件,超声波雷达数量,● 12个,● 12个,–
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,–
驾驶功能,辅助驾驶等级,● L2,● L2,–
驾驶功能,倒车车侧预警系统,●,●,–
驾驶功能,卫星导航系统,●,●,–
驾驶功能,导航路况信息显示,●,●,–
驾驶功能,地图品牌,● 高德,● 高德,–
驾驶功能,并线辅助,●,●,–
驾驶功能,车道保持辅助系统,●,●,–
驾驶功能,车道居中保持,●,●,–
驾驶功能,道路交通标识识别,●,●,–
驾驶功能,辅助泊车入位,●,●,–
驾驶功能,遥控泊车,●,●,–
驾驶功能,循迹倒车,●,●,–
外观/防盗,轮圈材质,● 铝合金,● 铝合金,–
外观/防盗,车顶行李架,●,●,–
外观/防盗,发动机电子防盗,●,●,–
外观/防盗,车内中控锁,●,●,–
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",–
外观/防盗,无钥匙启动系统,●,●,–
外观/防盗,无钥匙进入功能,● 前排,● 前排,–
外观/防盗,远程启动功能,●,●,–
外观/防盗,车侧脚踏板,"● 固定
○ 电动","● 固定
○ 电动",–
外观/防盗,电池预加热,●,●,–
外观/防盗,对外放电,●,●,–
车外灯光,近光灯光源,● LED,● LED,–
车外灯光,远光灯光源,● LED,● LED,–
车外灯光,灯光特色功能,● 矩阵式,● 矩阵式,–
车外灯光,LED日间行车灯,●,●,–
车外灯光,自适应远近光,●,●,–
车外灯光,自动头灯,●,●,–
车外灯光,转向辅助灯,●,●,–
车外灯光,车前雾灯,● LED,● LED,–
车外灯光,大灯高度可调,●,●,–
车外灯光,大灯延时关闭,●,●,–
天窗/玻璃,天窗类型,● 电动天窗,● 电动天窗,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,–
天窗/玻璃,车窗防夹手功能,●,●,–
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",–
天窗/玻璃,后雨刷,●,●,–
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,–
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠",–
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,–
互联/智能化,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,–
互联/智能化,蓝牙/车载电话,●,●,–
互联/智能化,手机互联/映射,"● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联",–
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗",–
互联/智能化,语音助手唤醒词,● 坦克坦克,● 坦克坦克,–
互联/智能化,语音分区域唤醒识别,● 四区域,● 四区域,–
互联/智能化,语音连续识别,●,●,–
互联/智能化,应用商店,●,●,–
互联/智能化,车载智能系统,● Coffee OS,● Coffee OS,–
互联/智能化,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,–
互联/智能化,车机系统内存(GB),● 16,● 16,–
互联/智能化,车机系统存储(GB),● 128,● 128,–
互联/智能化,车联网,●,●,–
互联/智能化,4G/5G网络,● 4G,● 4G,–
互联/智能化,OTA升级,●,●,–
互联/智能化,Wi-Fi热点,●,●,–
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车",–
互联/智能化,主动降噪,●,●,–
互联/智能化,车载KTV,●,●,–
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,–
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,–
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,–
方向盘/内后视镜,多功能方向盘,●,●,–
方向盘/内后视镜,方向盘换挡拨片,●,●,–
方向盘/内后视镜,方向盘加热,●,●,–
方向盘/内后视镜,方向盘记忆,-,-,–
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,–
方向盘/内后视镜,全液晶仪表盘,●,●,–
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,–
方向盘/内后视镜,内后视镜功能,"● 手动防眩目
○ 流媒体","● 手动防眩目
○ 流媒体",–
方向盘/内后视镜,ETC装置,●,●,–
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C",–
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,–
车内充电,USB/Type-C最大充电功率,● 60W,● 60W,–
车内充电,220V/230V电源,●,●,–
车内充电,手机无线充电功能,● 前排,● 前排,–
车内充电,手机无线充电功率,● 50W,● 50W,–
车内充电,行李厢12V电源接口,●,●,–
座椅配置,座椅材质,● 真皮,● 真皮,–
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)",–
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",–
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,–
座椅配置,前排座椅功能,"● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)",–
座椅配置,电动座椅记忆功能,-,-,–
座椅配置,副驾驶位后排可调节按钮,-,-,–
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,–
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,–
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,–
座椅配置,后排杯架,●,●,–
音响/车内灯光,扬声器品牌名称,-,-,–
音响/车内灯光,扬声器数量,● 12喇叭,● 12喇叭,–
音响/车内灯光,车内环境氛围灯,● 64色,● 64色,–
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,–
空调/冰箱,后排独立空调,-,-,–
空调/冰箱,后座出风口,●,●,–
空调/冰箱,温度分区控制,●,●,–
空调/冰箱,车载空气净化器,-,-,–
空调/冰箱,车内PM2.5过滤装置,●,●,–
颜色,外观颜色,–,–,–
颜色,内饰颜色,–,–,–
选装包,个性化时尚外观套件,○ 选配 (2000元),○ 选配 (2000元),–
选装包,户外越野包,○ 选配 (5000元),○ 选配 (5000元),–
选装包,流媒体+电动侧踏,○ 选配 (6000元),○ 选配 (6000元),–
