セクション,項目,风云T11 2026款 220后驱伯牙巨幕奢享版,风云T11 2026款 220后驱双IMAX影院版,风云T11 2026款 220四驱双IMAX影院版,风云T11 2026款 220四驱全家乐,风云T11 2026款 220四驱尊享版
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 30英寸,● 30英寸,● 30英寸,● 30英寸,● 30英寸
互联/智能化,中控屏幕分辨率,● 6K,● 6K,● 6K,● 6K,● 6K
互联/智能化,副驾娱乐屏尺寸,●,●,●,●,●
互联/智能化,蓝牙/车载电话,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink"
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩"
互联/智能化,语音助手唤醒词,● 嗨，小奇,● 嗨，小奇,● 嗨，小奇,● 嗨，小奇,● 嗨，小奇
互联/智能化,语音免唤醒词,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 六区域,● 四区域
互联/智能化,语音连续识别,●,●,●,●,●
互联/智能化,可见即可说,●,●,●,●,●
互联/智能化,应用商店,●,●,●,●,●
互联/智能化,车机智能芯片,● 高通骁龙8255,● 高通骁龙8255,● 高通骁龙8255,● 高通骁龙8255,● 高通骁龙8255
互联/智能化,后排液晶屏幕,-,●,●,●,●
互联/智能化,后排液晶屏幕尺寸,-,● 17.3英寸,● 17.3英寸,● 17.3英寸,● 17.3英寸
互联/智能化,后排液晶屏幕分辨率,-,● 3K,● 3K,● 3K,● 3K
互联/智能化,后排多媒体屏幕数量,-,● 1个,● 1个,● 1个,● 1个
互联/智能化,后排控制多媒体,-,●,●,●,●
互联/智能化,车联网,●,●,●,●,●
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G
互联/智能化,OTA升级,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
互联/智能化,主动降噪,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,●,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排1个/后排2个,● 前排1个/后排4个,● 前排1个/后排4个,● 前排1个/后排4个,● 前排1个/后排4个
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,行李厢12V电源接口,●,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,"● 加热
● 通风
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)"
座椅配置,电动座椅记忆功能,"● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排"
座椅配置,副驾驶位后排可调节按钮,●,●,●,●,●
座椅配置,第二排座椅调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节
● 左右调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节
● 左右调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节
● 左右调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节
● 左右调节"
座椅配置,第二排座椅电动调节,●,●,●,●,●
座椅配置,第二排座椅功能,"● 加热
● 通风","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩"
座椅配置,后排小桌板,-,-,-,●,-
座椅配置,零重力座椅,-,● 第二排（右侧）,● 第二排（右侧）,● 第二排（右侧）,● 第二排（右侧）
座椅配置,第二排独立座椅,●,●,●,●,●
座椅配置,第三排座椅调节,-,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,第三排座椅电动调节,-,●,●,●,●
座椅配置,第三排座椅功能,-,● 加热,● 加热,● 加热,● 加热
座椅配置,座椅布局,● 2-2-2,● 2-2-2,● 2-2-2,● 2-2-2,● 2-2-2
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,后排座椅电动放倒,-,●,●,●,●
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-
音响/车内灯光,扬声器数量,● 23喇叭,● 23喇叭,● 23喇叭,● 23喇叭,● 23喇叭
音响/车内灯光,车内环境氛围灯,● 256色,● 256色,● 256色,● 256色,● 256色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●
空调/冰箱,车载空气净化器,-,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●
空调/冰箱,负离子发生器,-,●,●,●,●
空调/冰箱,车内香氛装置,-,●,●,●,●
空调/冰箱,空气质量监测,-,●,●,●,●
空调/冰箱,车载冰箱,-,○ (5000元),○ (5000元),●,○ (5000元)
颜色,外观颜色,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–
